cycle,phase,pattern,label,target_out,other_out,margin,active_hidden_act,correct,post_update_margin,d_margin_after_update,hidden_delta_net,max_active_hidden_weight_delta
0,initial_eval,0,0,-5.28433e-136,-5.28433e-136,0.0,-5.28433e-136,False,,,,
1,initial_eval,1,1,3.23998e-160,3.23998e-160,0.0,3.23998e-160,False,,,,
2,initial_eval,2,1,-2.01812e-184,-2.01812e-184,0.0,1.3243e-157,False,,,,
3,initial_eval,3,0,1.23737e-208,-2.91961e-205,2.92085e-205,-2.05756e-187,True,,,,
4,train,0,0,-7.70737e-233,1.81857e-229,-1.81934e-229,-4.99476e-158,False,1.13343e-253,1.81934e-229,-7.65303e-50,1.90191e-07
5,train,1,1,4.25299e-278,-4.29937e-267,4.29937e-267,-8.48184e-202,True,-2.63653e-291,-4.29937e-267,1.58338e-80,1.90188e-07
6,train,2,1,0.0,0.0,0.0,5.29148e-240,False,0.0,0.0,3.62904e-111,1.90186e-07
7,train,3,0,0.0,-3.87841e-308,3.83238e-308,1.75357e-290,True,0.0,-3.7869e-308,-7.50833e-142,1.90184e-07
8,final_eval,0,0,0.0,0.0,0.0,3.49894e-289,False,,,,
9,final_eval,1,1,0.0,-9.82197e-206,9.82197e-206,-2.89422e-169,True,,,,
10,final_eval,2,1,0.0,6.11792e-230,-6.11792e-230,5.97972e-168,False,,,,
11,final_eval,3,0,-3.75108e-254,-1.27139e-205,1.27139e-205,3.02888e-177,True,,,,
