epoch,train_accuracy,mse
1,0.36,0.39210720189102477
2,0.37,0.307999368037059
3,0.37,0.28826391471927465
4,0.41,0.27478942106848314
5,0.46,0.26402689975220506
6,0.5,0.25461728411579615
7,0.55,0.2460194575075371
8,0.58,0.23802484517293995
