cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.0219983,0.0235599,-0.00156152,False,0.0969248625,,,,,
1,initial_eval,1,1,0.034826,0.0318965,0.00292955,True,0.116130175,,,,,
2,initial_eval,2,1,-2.31268e-26,-2.10929e-26,-2.03394e-27,False,0.06871917500000001,,,,,
3,initial_eval,3,0,1.29327e-50,1.41798e-50,-1.24707e-51,False,0.08099814999999999,,,,,
4,train,0,0,0.0219983,0.0235599,-0.00156153,False,0.0969247575,-0.00129205,0.000269478,0.0373204,2.17188e-06,8.7282e-07
5,train,1,1,0.0348371,0.0321622,0.00267489,True,0.11615030000000001,0.00386115,0.00118626,0.0774343,7.88714e-06,5.47977e-07
6,train,2,1,-1.4476e-26,-1.28657e-26,-1.61027e-27,False,0.068683025,9.94233e-52,1.61027e-27,8.96511e-08,2.95884e-07,5.10042e-28
7,train,3,0,-2.96172e-75,-3.33241e-75,3.70689e-76,True,0.080955925,-2.28875e-100,-3.70689e-76,8.9651e-08,2.95884e-07,3.50179e-07
8,train,0,0,0.0222913,0.0242739,-0.00198265,False,0.09693239249999999,-0.00167716,0.000305488,0.037476,2.18945e-06,8.65173e-07
9,train,1,1,0.0360961,0.032527,0.00356906,True,0.11626765,0.00514827,0.0015792,0.0778735,7.96645e-06,1.09146e-06
10,train,2,1,-1.51733e-26,-1.30185e-26,-2.15475e-27,False,0.068646075,1.33041e-51,2.15475e-27,1.3401e-07,2.95882e-07,2.57342e-28
11,train,3,0,-2.99691e-75,-3.49294e-75,4.9603e-76,True,0.0809128,-3.06265e-100,-4.9603e-76,1.34009e-07,2.95882e-07,3.50067e-07
12,train,0,0,0.0226252,0.0251951,-0.00256992,False,0.09694062,-0.00222041,0.000349512,0.037636,2.20763e-06,8.57709e-07
13,train,1,1,0.037747,0.0329324,0.0048146,True,0.1163853,0.00706553,0.00225093,0.0783072,0.000292525,0.0158293
14,train,2,1,-1.61734e-26,-1.32026e-26,-2.97072e-27,False,0.0686303,1.83422e-51,2.97072e-27,1.7874e-07,2.96048e-07,1.10483e-10
15,train,3,0,-3.03929e-75,-3.72316e-75,6.83869e-76,True,0.0809106,-4.22243e-100,-6.83869e-76,1.7874e-07,2.96048e-07,3.49993e-07
16,final_eval,0,0,0.0230183,0.0264701,-0.00345181,False,0.0969900025,,,,,
17,final_eval,1,1,0.0400945,0.0330367,0.00705784,True,0.1165361,,,,,
18,final_eval,2,1,-2.68408e-26,-2.18814e-26,-4.95942e-27,False,0.068629975,,,,,
19,final_eval,3,0,1.34161e-50,1.64569e-50,-3.04077e-51,False,0.08090975,,,,,
