cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
20,train,2,0,True,True,0.143702,0.150797,-0.00709504,0.176056,0.185775,-0.00342291,0.00978569,0.143694,0.150795,False,0.06434694999999999,0.0739282,0.0416279,0.103902,0.0341489,0.0514095,0.0564968,0.082894,0.0703683,0.337328,0.336033,0.885718,0.918618,0.0,0.0,0.0,-0.00457364,0.00252139,0.000459377,0.00392638,0.00392638,2.68077e-07
21,train,6,1,True,True,0.154748,0.108268,0.0464802,0.0516685,0.190092,0.00242205,0.00949065,0.108262,0.154758,True,0.255228125,0.266956,0.262356,0.216671,0.287749,0.241831,0.23695,0.266956,0.262356,0.622455,0.330722,0.784344,1.2,0.0,0.0,0.0,0.0560941,0.00961388,0.104657,0.00120465,0.104657,2.68076e-07
22,train,3,0,True,True,0.15197,0.155095,-0.00312542,0.186723,0.190305,-0.00236613,0.0318979,0.151962,0.155098,False,0.0484749625,0.0412257,0.0753345,0.0363442,0.0705253,0.0147851,0.060819,0.0402404,0.0485255,0.336055,0.328015,0.895395,0.908066,0.0,0.0,0.0,-0.00028962,0.0028358,0.000462896,0.00429794,0.00429794,2.68076e-07
23,train,7,1,True,True,0.15442,0.117704,0.0367154,0.0965984,0.189648,-0.00450614,0.0396164,0.117698,0.154424,True,0.13103142499999998,0.110393,0.158192,0.0788655,0.258361,0.108568,0.0805089,0.151574,0.101789,0.346545,0.284236,0.818034,1.2,0.0,0.0,0.0,0.0404344,0.00371901,0.00722553,0.00167113,0.00722553,2.68076e-07
24,final_eval,0,0,False,False,0.126584,0.152651,-0.0260673,0.119017,0.187791,-0.004522,0.035169,0.126577,0.152654,False,0.11172186249999999,0.160013,0.0986605,0.119662,0.115444,0.0692484,0.09681,0.101429,0.132508,0.349283,0.316469,1.15215,1.19674,,,,,,,,,
25,final_eval,1,0,False,False,0.138566,0.152651,-0.0140847,0.169726,0.18779,-0.00532726,0.0342662,0.138558,0.152653,False,0.06296235,0.126534,0.0524836,0.0329458,0.100644,0.022431,0.0752093,0.0452477,0.0482034,0.338014,0.320554,1.14205,1.18622,,,,,,,,,
26,final_eval,2,0,False,False,0.142647,0.15265,-0.0100032,0.174829,0.18779,-0.00731863,0.0329108,0.142639,0.152653,False,0.0643461125,0.0739277,0.0416266,0.103901,0.034148,0.0514086,0.0564961,0.0828933,0.0703676,0.337272,0.325498,1.13962,1.1758,,,,,,,,,
27,final_eval,3,0,False,False,0.15138,0.15265,-0.00127007,0.18611,0.187789,-0.00231455,0.0322384,0.151372,0.152652,False,0.0484744125,0.0412253,0.075334,0.0363438,0.0705244,0.0147846,0.0608182,0.04024,0.048525,0.336006,0.327252,1.13956,1.16545,,,,,,,,,
28,final_eval,4,1,False,False,0.153922,0.11165,0.0422719,0.0557762,0.189153,0.00382798,0.0850087,0.111644,0.153927,True,0.221763,0.238232,0.219279,0.202984,0.24657,0.20282,0.200837,0.228689,0.234693,0.393699,0.00665866,1.13993,1.15517,,,,,,,,,
29,final_eval,5,1,False,False,0.163027,0.109064,0.0539631,0.0508739,0.198594,-0.00191082,0.0980058,0.109058,0.163037,True,0.255226375,0.266954,0.262354,0.21667,0.287747,0.24183,0.236948,0.266954,0.262354,0.662716,0.00527048,1.13976,1.14488,,,,,,,,,
30,final_eval,6,1,False,False,0.163027,0.109072,0.0539553,0.0508738,0.198594,-0.00191082,0.0980057,0.109066,0.163036,True,0.25522625,0.266954,0.262354,0.216669,0.287747,0.24183,0.236948,0.266954,0.262354,0.662722,0.00527048,1.13974,1.13961,,,,,,,,,
31,final_eval,7,1,False,False,0.154402,0.11633,0.0380713,0.0957674,0.18963,-0.00447871,0.0396436,0.116324,0.154406,True,0.1310296875,0.110391,0.158191,0.0788635,0.25836,0.108566,0.080507,0.151572,0.101787,0.346603,0.28395,1.13965,1.13971,,,,,,,,,
