theta,act,read_positive_gain,read_positive_slope,read_negative_gain,read_negative_slope,write_mode,write_low_v,write_high_v,write_charge_v,write_discharge_v,signed_increase_mobility,signed_decrease_mobility,signed_update_sign_aligned,signed_mobility_balance
0.05,0.25,-1.8233e-110,-1.4132699999999998e-109,0.0003795848,0.0,bounded_discharge,0.1,0.16,0.0,-0.00125181,-0.0,1.7691455186999997e-112,False,-0.0
0.1,0.25,-4.64984e-110,0.2843401515151515,0.0003795848,2.2718719984848486,bounded_discharge,0.1,0.16,0.0,0.000109544,0.0002488699462020242,3.114775755757576e-05,True,0.12515676574418938
0.16,0.25,0.1501316,0.761396011904762,1.199928,2.856067655238096,bounded_discharge,0.1,0.16,0.0,0.00159283,0.004549230243292897,0.001212774409642262,True,0.2665889270894348
0.24,0.25,0.45174,0.9439101388888885,1.199928,-2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00332102,-7.374145738481275e-19,0.0031347444494527767,False,-2.3523913535499067e-16
0.34,0.25,0.829996,0.5386596969696966,1.199928,-2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00507491,-1.1268563859800907e-18,0.002733649482748483,False,-4.1221685263288386e-16
0.46,0.25,0.854132,0.02514166666666673,1.199928,0.0,bounded_discharge,0.1,0.16,0.0,0.00657842,0.0,0.00016539244283333374,False,0.0
0.58,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.1,0.16,0.0,0.00742333,0.0,0.0,False,
0.7,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.1,0.16,0.0,0.00766575,0.0,0.0,False,
0.82,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.1,0.16,0.0,0.00776357,0.0,0.0,False,
0.94,0.25,0.854132,0.0,1.199928,-2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00782758,-1.7380719086190767e-18,0.0,False,
1.06,0.25,0.854132,2.220446049250313e-16,1.199928,2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00784851,1.7427193022001574e-18,1.7427193022001574e-18,True,1.0
1.15,0.25,0.854132,0.0,1.199928,0.0,bounded_discharge,0.1,0.16,0.0,0.00784919,0.0,0.0,False,
0.05,0.5,-7.77472e-112,-3.403979999999999e-111,0.000189896,-1.99999999986886e-09,bounded_discharge,0.1,0.16,0.0,-0.00125181,2.5036199998358376e-12,4.2611362037999985e-114,True,1.701990000111599e-102
0.1,0.5,-1.11787e-111,0.28434469696969694,0.0001898958,2.2718716057272728,bounded_discharge,0.1,0.16,0.0,0.000109544,0.00024886990317778834,3.114825548484848e-05,True,0.12515878813436396
0.16,0.5,0.075067,0.761398511904762,0.599964,2.8560671628571432,bounded_discharge,0.1,0.16,0.0,0.00159283,0.004549229459013743,0.001212778391717262,True,0.26658984837845223
0.24,0.5,0.22587,0.9439104166666663,0.599964,-2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00332102,-7.374145738481275e-19,0.003134745371958332,False,-2.352390661278658e-16
0.34,0.5,0.415,0.9471083333333331,0.599964,-2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00507491,-1.1268563859800907e-18,0.004806489551916666,False,-2.3444478008502865e-16
0.46,0.5,0.642726,0.9503208333333335,0.599964,0.0,bounded_discharge,0.1,0.16,0.0,0.00657842,0.0,0.006251609576416668,False,0.0
0.58,0.5,0.871154,0.565983333333334,0.599964,0.0,bounded_discharge,0.1,0.16,0.0,0.00742333,0.0,0.004201481057833338,False,0.0
0.7,0.5,0.914398,0.0900916666666669,0.599964,0.0,bounded_discharge,0.1,0.16,0.0,0.00766575,0.0,0.0006906201937500018,False,0.0
0.82,0.5,0.914398,0.0,0.599964,0.0,bounded_discharge,0.1,0.16,0.0,0.00776357,0.0,0.0,False,
0.94,0.5,0.914398,0.0,0.599964,-2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00782758,-1.7380719086190767e-18,0.0,False,
1.06,0.5,0.914398,4.440892098500626e-16,0.599964,2.220446049250313e-16,bounded_discharge,0.1,0.16,0.0,0.00784851,1.7427193022001574e-18,3.485438604400315e-18,True,0.5
1.15,0.5,0.914398,0.0,0.599964,0.0,bounded_discharge,0.1,0.16,0.0,0.00784919,0.0,0.0,False,
0.05,0.75,1.0424440000000001e-101,-1.5612484400000001e-100,0.0001265976,0.0,bounded_discharge,0.1,0.16,0.0,-0.00125181,-0.0,1.9543864096764e-103,False,-0.0
0.1,0.75,1.6117066666666666e-104,0.28434848484848485,0.0001265976,2.271871604545455,bounded_discharge,0.1,0.16,0.0,0.000109544,0.0002488699030483273,3.114867042424242e-05,True,0.12516045549386404
0.16,0.75,0.05004533333333333,0.7614059523809524,0.39997600000000005,2.8560671600000003,bounded_discharge,0.1,0.16,0.0,0.00159283,0.0045492294544628,0.0012127902431309525,True,0.2665924537926316
