cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
58,train,2,1,True,True,0.149008,0.141422,0.00758609,0.174197,0.182455,0.174161,0.182421,0.14142,0.149006,True,0.08527242500000001,0.149008,0.141422,0.00758609,True,0.149006,0.14142,0.00758602,True,0.149005,0.141419,0.00758594,True,0.149003,0.141417,0.00758586,True,0.0986273,0.0618971,0.145519,0.0350463,0.337336,0.337285,1.20244,0.000120691,1.04533
59,train,3,0,True,True,0.134127,0.141247,-0.00712015,0.158917,0.167814,0.158873,0.16777,0.134126,0.141246,False,0.10660125,0.134127,0.141247,-0.00712015,False,0.134126,0.141246,-0.00712008,False,0.134124,0.141244,-0.00712001,False,0.134123,0.141243,-0.00711994,False,0.188274,0.0541004,0.0915079,0.0925227,0.337684,0.337609,1.20184,9.40074e-05,0.0439628
60,train,0,0,True,True,0.132449,0.139818,-0.00736933,0.161503,0.170135,0.161467,0.170099,0.132447,0.139816,False,0.094818875,0.132449,0.139818,-0.00736933,False,0.132447,0.139817,-0.00736926,False,0.132446,0.139815,-0.00736919,False,0.132445,0.139814,-0.00736911,False,0.0524218,0.193816,0.0430086,0.0900291,0.337102,0.337056,1.20256,0.000120425,0.0130865
61,train,1,1,True,True,0.138513,0.131302,0.00721077,0.157746,0.166621,0.157707,0.166582,0.131301,0.138511,True,0.091784375,0.138513,0.131302,0.00721077,True,0.138511,0.131301,0.0072107,True,0.13851,0.131299,0.00721062,True,0.138509,0.131298,0.00721055,True,0.0567745,0.124279,-1.45779e-26,0.186084,0.337628,0.337563,1.20208,0.000107181,1.04533
62,train,2,1,True,True,0.149187,0.141592,0.00759516,0.174468,0.18272,0.174433,0.182686,0.14159,0.149185,True,0.08479762499999999,0.149187,0.141592,0.00759516,True,0.149185,0.14159,0.00759508,True,0.149184,0.141589,0.00759501,True,0.149182,0.141587,0.00759493,True,0.098303,0.0613132,0.145091,0.0344833,0.337317,0.337266,1.20244,0.000120545,1.04533
63,train,3,0,True,True,0.134062,0.141192,-0.00712926,0.159002,0.167898,0.158959,0.167855,0.134061,0.14119,False,0.10639462499999999,0.134062,0.141192,-0.00712926,False,0.134061,0.14119,-0.00712919,False,0.13406,0.141189,-0.00712912,False,0.134058,0.141187,-0.00712905,False,0.18894,0.0534651,0.0910465,0.0921269,0.337653,0.337578,1.20185,9.4443e-05,0.0388803
64,train,0,0,True,True,0.132328,0.139755,-0.00742616,0.161785,0.170424,0.161748,0.170387,0.132327,0.139753,False,0.0943428,0.132328,0.139755,-0.00742616,False,0.132327,0.139753,-0.00742609,False,0.132326,0.139752,-0.00742601,False,0.132325,0.13975,-0.00742594,False,0.0519192,0.193681,0.0424761,0.0892949,0.337083,0.337038,1.20256,0.000120212,0.012774
65,train,1,1,True,True,0.138518,0.131281,0.0072373,0.157977,0.166859,0.157937,0.166819,0.131279,0.138516,True,0.09154614999999999,0.138518,0.131281,0.0072373,True,0.138517,0.131279,0.00723722,True,0.138515,0.131278,0.00723715,True,0.138514,0.131277,0.00723708,True,0.0562806,0.12386,-1.43873e-26,0.186044,0.337617,0.337552,1.20207,0.000106708,1.04533
66,train,2,1,True,True,0.149372,0.141768,0.00760413,0.174744,0.182989,0.174707,0.182954,0.141766,0.14937,True,0.084310475,0.149372,0.141768,0.00760413,True,0.149371,0.141766,0.00760405,True,0.149369,0.141765,0.00760398,True,0.149368,0.141764,0.0076039,True,0.0979571,0.0607192,0.144651,0.0339146,0.337298,0.337247,3.82452e-06,1.20066,0.0296529
67,train,3,0,True,True,0.133456,0.140696,-0.00723936,0.159062,0.167959,0.159017,0.167914,0.133455,0.140694,False,0.10627712500000001,0.133456,0.140696,-0.00723936,False,0.133455,0.140694,-0.00723929,False,0.133454,0.140693,-0.00723922,False,0.133452,0.140692,-0.00723915,False,0.189281,0.0531193,0.0907955,0.0919127,0.337636,0.337562,1.20186,9.45537e-05,0.027173
68,final_eval,0,0,False,False,0.132564,0.139966,-0.00740206,0.161947,0.17059,0.161909,0.170553,0.132563,0.139965,False,0.09408277500000001,0.132564,0.139966,-0.00740206,False,0.132563,0.139965,-0.00740199,False,0.132562,0.139964,-0.00740192,False,0.13256,0.139962,-0.00740184,False,0.0516468,0.193604,0.0421905,0.0888898,0.337073,0.337028,1.2,1.16471e-09,
69,final_eval,1,1,False,False,0.138368,0.131059,0.0073093,0.158108,0.166995,0.158068,0.166954,0.131057,0.138367,True,0.091419425,0.138368,0.131059,0.0073093,True,0.138367,0.131058,0.00730923,True,0.138365,0.131056,0.00730915,True,0.138364,0.131055,0.00730908,True,0.0560137,0.123633,-2.35111e-26,0.186031,0.337611,0.337545,1.2,1.16471e-09,
70,final_eval,2,1,False,False,0.149432,0.141863,0.0075688,0.174744,0.182989,0.174707,0.182954,0.141861,0.14943,True,0.084302625,0.149432,0.141863,0.0075688,True,0.14943,0.141862,0.00756872,True,0.149429,0.14186,0.00756865,True,0.149427,0.141859,0.00756857,True,0.0979499,0.0607108,0.144643,0.0339068,0.337297,0.337247,1.2,1.16471e-09,
71,final_eval,3,0,False,False,0.133929,0.141126,-0.00719701,0.159061,0.167957,0.159016,0.167912,0.133928,0.141124,False,0.10627130000000001,0.133929,0.141126,-0.00719701,False,0.133928,0.141125,-0.00719694,False,0.133926,0.141123,-0.00719687,False,0.133925,0.141122,-0.00719679,False,0.189281,0.0531105,0.0907883,0.0919054,0.337636,0.337561,1.2,1.16471e-09,
