experiment,vin,wgate,second_input,second_wgate,forced_vpre,vact,vpre_m,eact,vpre,vw0,vw1,epre
relu_transfer,,,,,0.0,-5.94498e-256,0.0,0.0,,,,
relu_transfer,,,,,0.2,-5.94498e-256,0.2,0.0,,,,
relu_transfer,,,,,0.35,2.18965e-252,0.35,0.0,,,,
relu_transfer,,,,,0.5,0.0470439,0.5,2.21313e-17,,,,
relu_transfer,,,,,0.65,0.127923,0.65,1.63643e-16,,,,
relu_transfer,,,,,0.8,0.222877,0.8,4.9674e-16,,,,
relu_transfer,,,,,1.0,0.363785,1.0,1.32339e-15,,,,
single_synapse_relu,0.0,0.2,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.2,0.2,0.0
single_synapse_relu,0.05,0.2,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.2,0.2,0.0
single_synapse_relu,0.1,0.2,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.2,0.2,0.0
single_synapse_relu,0.2,0.2,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.2,0.2,0.0
single_synapse_relu,0.4,0.2,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.2,0.2,0.0
single_synapse_relu,0.8,0.2,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.2,0.2,0.0
single_synapse_relu,1.0,0.2,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.2,0.2,0.0
single_synapse_relu,0.0,0.35,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.35,0.2,0.0
single_synapse_relu,0.05,0.35,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.35,0.2,0.0
single_synapse_relu,0.1,0.35,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.35,0.2,0.0
single_synapse_relu,0.2,0.35,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.35,0.2,0.0
single_synapse_relu,0.4,0.35,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.35,0.2,0.0
single_synapse_relu,0.8,0.35,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.35,0.2,0.0
single_synapse_relu,1.0,0.35,0.0,0.2,,-5.58015e-256,,0.0,-8.42344e-309,0.35,0.2,0.0
single_synapse_relu,0.0,0.45,0.0,0.2,,-1.1377e-266,,0.0,0.0,0.45,0.2,0.0
single_synapse_relu,0.05,0.45,0.0,0.2,,-1.1377e-266,,0.0,0.0263846,0.45,0.2,3.48073e-18
single_synapse_relu,0.1,0.45,0.0,0.2,,-1.1377e-266,,0.0,0.0351127,0.45,0.2,6.16452e-18
single_synapse_relu,0.2,0.45,0.0,0.2,,-1.1377e-266,,0.0,0.0351586,0.45,0.2,6.18063e-18
single_synapse_relu,0.4,0.45,0.0,0.2,,-1.1377e-266,,0.0,0.0352499,0.45,0.2,6.21278e-18
single_synapse_relu,0.8,0.45,0.0,0.2,,-1.1377e-266,,0.0,0.035431,0.45,0.2,6.27678e-18
single_synapse_relu,1.0,0.45,0.0,0.2,,-1.1377e-266,,0.0,0.0355208,0.45,0.2,6.30862e-18
single_synapse_relu,0.0,0.55,0.0,0.2,,-1.1377e-266,,0.0,0.0,0.55,0.2,0.0
single_synapse_relu,0.05,0.55,0.0,0.2,,-1.1377e-266,,0.0,0.037233,0.55,0.2,6.93149e-18
single_synapse_relu,0.1,0.55,0.0,0.2,,-1.1377e-266,,0.0,0.0678125,0.55,0.2,2.29926e-17
single_synapse_relu,0.2,0.55,0.0,0.2,,-1.1377e-266,,0.0,0.0922558,0.55,0.2,4.25556e-17
single_synapse_relu,0.4,0.55,0.0,0.2,,-1.1377e-266,,0.0,0.0924334,0.55,0.2,4.27197e-17
single_synapse_relu,0.8,0.55,0.0,0.2,,-1.12869e-266,,0.0,0.0927852,0.55,0.2,4.30454e-17
single_synapse_relu,1.0,0.55,0.0,0.2,,-1.25885e-266,,0.0,0.0929593,0.55,0.2,4.32071e-17
