vin,cint_f,gsum_siemens,vth_v,sigma_v,trials,fire_probability,tfire_mean_s,time_code_0_1,vint_end_mean,ecap_end_j_mean,source,simulator
0.15,3e-15,1e-07,0.002,0.001,3,1.0,8.368479999999999e-10,0.9914722025316456,0.1501,1.1265e-16,spice,ngspice-46 : Circuit level simulation program
0.0,3e-15,1e-07,0.004,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-15,1e-07,0.004,0.0,3,1.0,5.31e-09,0.8782278481012659,0.0250166,3.12916e-18,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-15,1e-07,0.004,0.0,3,1.0,2.9099999999999997e-09,0.9389873417721519,0.0500333,1.25166e-17,spice,ngspice-46 : Circuit level simulation program
0.075,3e-15,1e-07,0.004,0.0,3,1.0,2.11e-09,0.959240506329114,0.0750499,2.81624e-17,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-15,1e-07,0.004,0.0,3,1.0,1.71e-09,0.9693670886075948,0.100067,5.00665e-17,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-15,1e-07,0.004,0.0,3,1.0,1.4775000000000001e-09,0.9752531645569619,0.125083,7.82289e-17,spice,ngspice-46 : Circuit level simulation program
0.15,3e-15,1e-07,0.004,0.0,3,1.0,1.31e-09,0.9794936708860759,0.1501,1.1265e-16,spice,ngspice-46 : Circuit level simulation program
0.0,3e-15,1e-07,0.004,0.001,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-15,1e-07,0.004,0.001,3,1.0,3.9455e-09,0.9127721518987341,0.0250166,3.12916e-18,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-15,1e-07,0.004,0.001,3,1.0,2.115e-09,0.9591139240506329,0.0500333,1.25166e-17,spice,ngspice-46 : Circuit level simulation program
0.075,3e-15,1e-07,0.004,0.001,3,1.0,1.6925e-09,0.9698101265822784,0.0750499,2.81624e-17,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-15,1e-07,0.004,0.001,3,1.0,1.4699999999999999e-09,0.9754430379746836,0.100067,5.00665e-17,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-15,1e-07,0.004,0.001,3,1.0,1.4716666666666667e-09,0.9754008438818564,0.125083,7.82289e-17,spice,ngspice-46 : Circuit level simulation program
0.15,3e-15,1e-07,0.004,0.001,3,1.0,1.2766666666666668e-09,0.980337552742616,0.1501,1.1265e-16,spice,ngspice-46 : Circuit level simulation program
0.0,3e-15,1e-07,0.008,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-15,1e-07,0.008,0.0,3,1.0,1.0109999999999998e-08,0.7567088607594936,0.0250166,3.12916e-18,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-15,1e-07,0.008,0.0,3,1.0,5.31e-09,0.8782278481012659,0.0500333,1.25166e-17,spice,ngspice-46 : Circuit level simulation program
0.075,3e-15,1e-07,0.008,0.0,3,1.0,3.71e-09,0.9187341772151899,0.0750499,2.81624e-17,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-15,1e-07,0.008,0.0,3,1.0,2.9099999999999997e-09,0.9389873417721519,0.100067,5.00665e-17,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-15,1e-07,0.008,0.0,3,1.0,2.44e-09,0.950886075949367,0.125083,7.82289e-17,spice,ngspice-46 : Circuit level simulation program
0.15,3e-15,1e-07,0.008,0.0,3,1.0,2.11e-09,0.959240506329114,0.1501,1.1265e-16,spice,ngspice-46 : Circuit level simulation program
0.0,3e-15,1e-07,0.008,0.001,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-15,1e-07,0.008,0.001,3,1.0,8.187500000000001e-09,0.805379746835443,0.0250166,3.12916e-18,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-15,1e-07,0.008,0.001,3,1.0,4.676666666666666e-09,0.8942616033755274,0.0500333,1.25166e-17,spice,ngspice-46 : Circuit level simulation program
0.075,3e-15,1e-07,0.008,0.001,3,1.0,3.358166666666667e-09,0.9276413502109704,0.0750499,2.81624e-17,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-15,1e-07,0.008,0.001,3,1.0,2.620833333333333e-09,0.9463080168776371,0.100067,5.00665e-17,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-15,1e-07,0.008,0.001,3,1.0,2.4111666666666668e-09,0.9516160337552743,0.125083,7.82289e-17,spice,ngspice-46 : Circuit level simulation program
0.15,3e-15,1e-07,0.008,0.001,3,1.0,2.0324999999999998e-09,0.9612025316455696,0.1501,1.1265e-16,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,1e-07,0.002,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,1e-07,0.002,0.0,3,1.0,8.51e-09,0.7972151898734176,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,1e-07,0.002,0.0,3,1.0,4.51e-09,0.898481012658228,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,1e-07,0.002,0.0,3,1.0,3.1775e-09,0.9322151898734176,0.022514999999999997,2.53462e-18,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,1e-07,0.002,0.0,3,1.0,2.5099999999999994e-09,0.9491139240506329,0.03002,4.50599e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,1e-07,0.002,0.0,3,1.0,2.11e-09,0.959240506329114,0.0375249,7.04061e-18,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,1e-07,0.002,0.0,3,1.0,1.84e-09,0.9660759493670885,0.04502989999999999,1.01385e-17,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,1e-07,0.002,0.001,3,1.0,5.7925e-09,0.8660126582278481,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,1e-07,0.002,0.001,3,1.0,1.57e-09,0.9729113924050633,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,1e-07,0.002,0.001,3,1.0,1.5875e-09,0.9724683544303797,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,1e-07,0.002,0.001,3,1.0,1.3491666666666667e-09,0.9785021097046412,0.022514999999999997,2.53462e-18,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,1e-07,0.002,0.001,3,1.0,1.4825e-09,0.9751265822784809,0.03002,4.50599e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,1e-07,0.002,0.001,3,1.0,1.0485146666666667e-09,0.986113552742616,0.0375249,7.04061e-18,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,1e-07,0.002,0.001,3,1.0,7.541666666666667e-10,0.9935654008438818,0.04502989999999999,1.01385e-17,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,1e-07,0.004,0.0,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,1e-07,0.004,0.0,3,1.0,1.651e-08,0.5946835443037974,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,1e-07,0.004,0.0,3,1.0,8.51e-09,0.7972151898734176,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,1e-07,0.004,0.0,3,1.0,5.8400000000000005e-09,0.8648101265822786,0.022514999999999997,2.53462e-18,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,1e-07,0.004,0.0,3,1.0,4.51e-09,0.898481012658228,0.03002,4.50599e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,1e-07,0.004,0.0,3,1.0,3.71e-09,0.9187341772151899,0.0375249,7.04061e-18,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,1e-07,0.004,0.0,3,1.0,3.1775e-09,0.9322151898734176,0.04502989999999999,1.01385e-17,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,1e-07,0.004,0.001,3,0.0,,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,1e-07,0.004,0.001,3,1.0,1.1091499999999999e-08,0.7318607594936708,0.00750499,2.81624e-19,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,1e-07,0.004,0.001,3,1.0,5.8825e-09,0.8637341772151897,0.01501,1.1265e-18,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,1e-07,0.004,0.001,3,1.0,4.725833333333333e-09,0.8930168776371308,0.022514999999999997,2.53462e-18,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,1e-07,0.004,0.001,3,1.0,2.8924999999999997e-09,0.9394303797468354,0.03002,4.50599e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,1e-07,0.004,0.001,3,1.0,2.8641666666666663e-09,0.9401476793248945,0.0375249,7.04061e-18,spice,ngspice-46 : Circuit level simulation program
