experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_positive,0.05,0.25,,,,0.0,-4.55825e-111,-4.55825e-111,0.05,,,,,,,-1.4132699999999998e-109,-1.8233e-110,-0.00125181,1.7691455186999997e-112
read_positive,0.1,0.25,,,,0.0,-1.16246e-110,-1.16246e-110,0.1,,,,,,,0.2843401515151515,-4.64984e-110,0.000109544,3.114775755757576e-05
read_positive,0.16,0.25,,,,0.0,0.0375329,0.0375329,0.16,,,,,,,0.761396011904762,0.1501316,0.00159283,0.001212774409642262
read_positive,0.24,0.25,,,,0.0,0.112935,0.112935,0.24,,,,,,,0.9439101388888885,0.45174,0.00332102,0.0031347444494527767
read_positive,0.34,0.25,,,,0.0,0.207499,0.207499,0.34,,,,,,,0.5386596969696966,0.829996,0.00507491,0.002733649482748483
read_positive,0.46,0.25,,,,0.0,0.213533,0.213533,0.46,,,,,,,0.02514166666666673,0.854132,0.00657842,0.00016539244283333374
read_positive,0.58,0.25,,,,0.0,0.213533,0.213533,0.58,,,,,,,0.0,0.854132,0.00742333,0.0
read_positive,0.7,0.25,,,,0.0,0.213533,0.213533,0.7,,,,,,,0.0,0.854132,0.00766575,0.0
read_positive,0.82,0.25,,,,0.0,0.213533,0.213533,0.82,,,,,,,0.0,0.854132,0.00776357,0.0
read_positive,0.94,0.25,,,,0.0,0.213533,0.213533,0.94,,,,,,,0.0,0.854132,0.00782758,0.0
read_positive,1.06,0.25,,,,0.0,0.213533,0.213533,1.06,,,,,,,2.220446049250313e-16,0.854132,0.00784851,1.7427193022001574e-18
read_positive,1.15,0.25,,,,0.0,0.213533,0.213533,1.15,,,,,,,0.0,0.854132,0.00784919,0.0
read_negative,0.05,0.25,,,,0.299982,0.299887,9.48962e-05,0.05,,,,,,,0.0,0.0003795848,-0.00125181,-0.0
read_negative,0.1,0.25,,,,0.299982,0.299887,9.48962e-05,0.1,,,,,,,2.2718719984848486,0.0003795848,0.000109544,0.0002488699462020242
