chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.924,1848,initial,,0.0024957080000000964
5,20,0.924,1848,post_chunk_eval,,0.005424749999999978
10,40,0.9235,1847,post_chunk_eval,,0.008408708000000154
15,60,0.9215,1843,post_chunk_eval,,0.01087045799999986
20,80,0.92,1840,post_chunk_eval,,0.013186624999999896
25,100,0.919,1838,post_chunk_eval,,0.015481666999999977
30,120,0.9185,1837,post_chunk_eval,,0.018093374999999856
35,140,0.918,1836,post_chunk_eval,,0.02079454199999997
40,160,0.9175,1835,post_chunk_eval,,0.023403457999999766
45,180,0.918,1836,post_chunk_eval,,0.0259284580000001
50,200,0.9185,1837,post_chunk_eval,,0.028437707999999784
53,212,0.9185,1837,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_tiny_below_b5_i9_b4_s2_c2_10k2k_e120_lr005_fastcont_lr002_0to212/tiny_below_b5_i9_b4_s2_c2_10k2k_e120_lr005_fastcont_lr002_0to212_chunk0053_weights.npz,0.031448542000000135
