cycle,phase,pattern,label,target_out,other_out,margin,active_hidden_act,correct,post_update_margin,d_margin_after_update,hidden_delta_net,max_active_hidden_weight_delta
0,initial_eval,0,0,-1.00076e-147,1.23143e-114,-1.23143e-114,0.0549718,False,,,,
1,initial_eval,1,1,-7.60193e-139,2.87611e-114,-2.87611e-114,0.0549703,False,,,,
2,initial_eval,2,1,4.66098e-163,-2.61814e-114,2.61814e-114,0.0549699,True,,,,
3,initial_eval,3,0,1.61625e-138,-1.22059e-114,1.22059e-114,0.0549683,True,,,,
4,train,0,0,-9.97754e-163,2.03137e-114,-2.03137e-114,0.0549679,False,-1.07583e-115,1.92379e-114,1.96484e-39,9.73221e-07
5,train,1,1,-4.01114e-140,2.07847e-114,-2.07847e-114,0.0549661,False,-3.55221e-114,-1.47374e-114,1.90294e-104,9.73212e-07
6,train,2,1,-9.20885e-189,-3.77234e-115,3.77234e-115,0.0549654,True,1.0648e-114,6.87571e-115,7.97621e-104,9.73202e-07
7,train,3,0,3.97002e-139,1.33756e-114,-1.33756e-114,0.0549636,False,-2.64627e-114,-1.30871e-114,-7.0047e-104,9.73192e-07
8,final_eval,0,0,9.11445e-188,-1.54127e-114,1.54127e-114,0.054963,True,,,,
9,final_eval,1,1,9.51465e-139,-4.04065e-114,4.04065e-114,0.0549614,True,,,,
10,final_eval,2,1,-5.83373e-163,2.89269e-114,-2.89269e-114,0.054961,False,,,,
11,final_eval,3,0,-1.78574e-138,4.20411e-116,-4.20411e-116,0.0549595,False,,,,
