cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.114896,0.114363,0.000533257,True,0.09056925000000002,0.0587726,0.194423,0.0493458,0.0992387,0.0478418,0.0691865,0.111589,0.0941566,0.339538,0.339727,-9.91072e-106,9.33221e-106,,,,,,,
1,initial_eval,1,1,False,False,0.115705,0.115493,0.000211369,True,0.07119695,0.0629228,0.129432,-3.32792e-26,0.186798,0.0107463,0.081495,0.0435791,0.0546024,0.339775,0.339814,-1.62738e-153,1.53239e-153,,,,,,,
2,initial_eval,2,1,False,False,0.117531,0.117493,3.80769e-05,True,0.09677633749999999,0.101401,0.0690115,0.150533,0.0421628,0.0842041,0.0846053,0.121205,0.121088,0.341812,0.341882,5.95417e-181,-9.36635e-181,,,,,,,
3,initial_eval,3,0,False,False,0.118629,0.117751,0.000878317,True,0.091456275,0.1776,0.0625996,0.0967067,0.0976893,0.0551275,0.112823,0.0751171,0.053987,0.339926,0.340498,-1.40022e-173,-8.14047e-181,,,,,,,
4,train,0,0,True,False,0.116119,0.115652,0.000466917,True,0.09056355,0.0587658,0.194418,0.0493393,0.0992287,0.0478365,0.0691788,0.111592,0.0941493,0.33958,0.339769,-7.79262e-106,7.05576e-106,1.26087e-06,,,,,,
5,train,1,1,False,False,0.115699,0.115487,0.000211407,True,0.07119098750000001,0.0629155,0.129425,-2.02092e-26,0.186792,0.0107414,0.0814846,0.0435752,0.0545942,0.339817,0.339856,-7.61506e-144,6.03883e-144,1.18145e-06,,,,,,
6,train,2,1,False,False,0.116905,0.116867,3.74714e-05,True,0.09677045000000001,0.101396,0.0690034,0.150526,0.0421555,0.0841995,0.0846002,0.1212,0.121083,0.341853,0.341923,-5.48593e-193,4.3504e-193,8.65664e-07,,,,,,
7,train,3,0,False,True,0.118622,0.117744,0.000878516,True,0.09145105,0.177602,0.0625907,0.096701,0.0976821,0.0551226,0.112818,0.0751125,0.0539795,0.339967,0.340539,-6.29197e-181,1.73757e-181,5.89502e-06,0.00081061,-6.79058e-05,0.00159054,0.0195074,0.0195074,2.76584e-06
8,final_eval,0,0,False,False,0.117843,0.117363,0.000479806,True,0.0905577125,0.058759,0.194413,0.0493328,0.0992187,0.0478311,0.0691711,0.111594,0.094142,0.339497,0.339686,-1.30593e-98,1.12401e-96,,,,,,,
9,final_eval,1,1,False,False,0.117439,0.117227,0.000212066,True,0.0711850125,0.0629082,0.129418,-3.32697e-26,0.186786,0.0107364,0.0814741,0.0435714,0.054586,0.339728,0.339768,-2.14438e-146,1.84567e-144,,,,,,,
10,final_eval,2,1,False,False,0.119262,0.119228,3.4174e-05,True,0.0967645375,0.101391,0.068995,0.150519,0.0421481,0.084195,0.0845952,0.121195,0.121078,0.341754,0.341824,1.71233e-181,-1.01861e-180,,,,,,,
11,final_eval,3,0,False,False,0.120426,0.119533,0.000893436,True,0.09144585000000001,0.177605,0.0625812,0.0966953,0.0976749,0.0551176,0.112813,0.0751078,0.053972,0.339881,0.34045,2.45762e-181,-9.34872e-181,,,,,,,
