cycle,phase,pattern,label,target_out,other_out,margin,active_hidden_act,correct,post_update_margin,d_margin_after_update,hidden_delta_net,max_active_hidden_weight_delta
0,initial_eval,0,0,-1.00076e-147,-1.00076e-147,0.0,0.113771,False,,,,
1,initial_eval,1,1,6.17797e-172,6.17797e-172,0.0,0.113762,False,,,,
2,initial_eval,2,1,-3.81382e-196,-3.81382e-196,0.0,0.113754,False,,,,
3,initial_eval,3,0,2.35437e-220,2.35437e-220,0.0,0.113745,False,,,,
4,train,0,0,-1.45342e-244,-1.45342e-244,0.0,0.113737,False,0.0,0.0,5.10342e-28,9.40455e-06
5,train,1,1,-3.36871e-293,-3.36871e-293,0.0,0.113726,False,0.0,0.0,1.32166e-27,9.40436e-06
6,train,2,1,0.0,0.0,0.0,0.113715,False,0.0,0.0,2.96354e-28,9.40417e-06
7,train,3,0,0.0,0.0,0.0,0.113704,False,0.0,0.0,9.26202e-11,9.40398e-06
8,train,0,0,0.0,0.0,0.0,0.113694,False,0.0,0.0,9.27899e-11,9.40379e-06
9,train,1,1,0.0,0.0,0.0,0.113683,False,0.0,0.0,9.29606e-11,9.40361e-06
10,train,2,1,0.0,0.0,0.0,0.113672,False,0.0,0.0,9.31304e-11,9.40342e-06
11,train,3,0,0.0,0.0,0.0,0.113661,False,0.0,0.0,9.3301e-11,9.40323e-06
12,train,0,0,0.0,0.0,0.0,0.113651,False,0.0,0.0,9.34709e-11,9.40304e-06
13,train,1,1,0.0,0.0,0.0,0.11364,False,0.0,0.0,9.36416e-11,9.40286e-06
14,train,2,1,0.0,0.0,0.0,0.113629,False,0.0,0.0,9.38112e-11,9.40267e-06
15,train,3,0,0.0,0.0,0.0,0.113618,False,0.0,0.0,9.39821e-11,9.40248e-06
16,final_eval,0,0,0.0,0.0,0.0,0.113608,False,,,,
17,final_eval,1,1,0.0,0.0,0.0,0.113599,False,,,,
18,final_eval,2,1,0.0,0.0,0.0,0.113591,False,,,,
19,final_eval,3,0,0.0,0.0,0.0,0.113582,False,,,,
