second_weight,heldout_accuracy
0.0,0.879
0.05,0.878
0.1,0.875
0.15000000000000002,0.871
0.2,0.871
0.25,0.871
0.30000000000000004,0.87
0.35000000000000003,0.871
0.4,0.87
0.45,0.869
0.5,0.869
0.55,0.869
0.6000000000000001,0.869
0.65,0.87
0.7000000000000001,0.871
0.75,0.87
0.8,0.868
0.8500000000000001,0.868
0.9,0.867
0.9500000000000001,0.867
1.0,0.867
