image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_values,local_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,multiply_terms_per_sample
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,40,0.905,905,4.422820209,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,41,0.904,904,4.534219125,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,42,0.904,904,4.640339084,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,43,0.901,901,4.747911375,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,44,0.906,906,4.856075167,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,45,0.896,896,4.965560167,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,46,0.905,905,5.076568375,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,47,0.907,907,5.192537459,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,48,0.901,901,5.3024742499999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,49,0.908,908,5.411155375,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,50,0.912,912,5.520069749999999,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,51,0.904,904,5.629059375000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,52,0.909,909,5.7422425839999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,53,0.911,911,5.8552979999999994,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,54,0.909,909,5.963254125000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,55,0.896,896,6.071083334000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,56,0.907,907,6.178168542,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,57,0.91,910,6.2851648749999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,58,0.905,905,6.3985622499999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,59,0.91,910,6.510849584000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.03,0.15,0.0,0,60,0.91,910,6.616698625,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,1,0.696,696,0.11585591699999931,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,2,0.81,810,0.2244678750000002,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,3,0.846,846,0.33750604199999934,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,4,0.849,849,0.44941241699999956,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,5,0.845,845,0.5591735,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,6,0.879,879,0.6706069579999987,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,7,0.879,879,0.7807281669999995,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,8,0.868,868,0.8903569170000001,450,18,180,10,658,658,56,1372,630
10,5,2,9,2,18,2000,1000,0.05,0.25,0.0,0,9,0.89,890,0.9994661669999996,450,18,180,10,658,658,56,1372,630
