cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.00538719,0.00611151,-0.000724326,False,0.067393,,,,,
1,initial_eval,1,1,0.0254872,0.0228626,0.00262461,True,0.09408425,,,,,
2,initial_eval,2,1,-1.66703e-26,-1.4891e-26,-1.77937e-27,False,0.02049395,,,,,
3,initial_eval,3,0,9.13011e-51,1.02211e-50,-1.09098e-51,False,0.020721999999999997,,,,,
4,train,0,0,0.00538742,0.00611176,-0.000724337,False,0.06739325,-0.000723865,4.72338e-07,0.000776076,3.86888e-07,3.35141e-07
5,train,1,1,0.0254874,0.0228654,0.00262206,True,0.09408449999999999,0.00422704,0.00160497,0.079553,0.000365521,5.46544e-07
6,train,2,1,-1.23397e-26,-1.05975e-26,-1.74223e-27,False,0.02049395,1.07571e-51,1.74223e-27,1.1878e-07,3.86732e-07,4.73588e-37
7,train,3,0,-2.43957e-75,-2.84064e-75,4.01068e-76,True,0.02072195,-2.45949e-100,-4.01068e-76,1.1878e-07,3.86732e-07,3.95407e-39
8,train,0,0,0.00519922,0.00608205,-0.000882834,False,0.06656575,-0.000883024,-1.89932e-07,0.000776321,3.86732e-07,3.29958e-07
9,train,1,1,0.0309762,0.0267559,0.00422023,True,0.0984955,0.00732598,0.00310576,0.11953,0.000709946,1.12469e-06
10,train,2,1,-1.44622e-26,-1.14129e-26,-3.04928e-27,False,0.02049395,1.86993e-51,3.04928e-27,2.07847e-07,3.864e-07,1.11919e-36
11,train,3,0,-2.60943e-75,-3.30661e-75,6.97183e-76,True,0.020721875,-4.27538e-100,-6.97183e-76,2.07846e-07,3.864e-07,2.32772e-67
12,train,0,0,0.00483238,0.00594719,-0.00111481,False,0.06316515,-0.00111595,-1.14126e-06,0.00077657,3.86399e-07,3.24753e-07
13,train,1,1,0.0360568,0.0287396,0.00731714,True,0.10069324999999998,0.0217845,0.0144674,0.142104,0.0622712,0.0652017
14,train,2,1,-2.5134e-26,-1.56225e-26,-9.51146e-27,False,0.02049395,5.83277e-51,9.51146e-27,3.13921e-07,4.32774e-07,5.32193e-32
15,train,3,0,-3.57191e-75,-5.7466e-75,2.17468e-75,True,0.020721825,-1.3336e-99,-2.17468e-75,3.13921e-07,4.32773e-07,1.27659e-38
16,final_eval,0,0,0.00483605,0.00676958,-0.00193354,False,0.06316197500000001,,,,,
17,final_eval,1,1,0.0605369,0.0387819,0.021755,True,0.1115265,,,,,
18,final_eval,2,1,-4.18412e-26,-2.59109e-26,-1.59304e-26,False,0.02049395,,,,,
19,final_eval,3,0,1.58867e-50,2.56541e-50,-9.7674e-51,False,0.020721775,,,,,
