cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.0151928,0.0178348,-0.002642,False,0.075130825,,,,,
1,initial_eval,1,1,-1.15116e-26,-9.75898e-27,-1.7526e-27,False,0.020943475,,,,,
2,initial_eval,2,1,7.0581e-51,5.98353e-51,1.07457e-51,True,0.023327675,,,,,
3,initial_eval,3,0,0.00620778,0.0050394,0.00116838,True,0.06739325,,,,,
4,train,0,0,0.0151928,0.0178348,-0.00264201,False,0.0751309,1.75283e-27,0.00264201,0.709997,0.00424079,8.83037e-07
5,train,1,1,4.32199e-51,3.66399e-51,6.57997e-52,True,0.020943475,-4.03508e-76,-6.57997e-52,4.40705e-07,3.86873e-07,5.95732e-37
6,train,2,1,9.88172e-100,8.37729e-100,1.50443e-100,True,0.012425425,-9.28888e-125,-1.50443e-100,4.40705e-07,3.86873e-07,3.52247e-39
7,train,3,0,0.00620808,0.00503967,0.00116841,True,0.0673935,0.00159836,0.000429945,0.0773995,3.86865e-07,5.36239e-07
8,train,0,0,-2.57242e-27,-1.95939e-27,-6.13026e-28,False,0.040692875,3.78503e-52,6.13026e-28,4.40704e-07,3.86872e-07,2.52052e-37
9,train,1,1,-4.54146e-76,-5.96232e-76,1.42086e-76,True,0.020943475,-8.71325e-101,-1.42086e-76,4.40704e-07,3.86872e-07,5.21227e-68
10,train,2,1,-1.03835e-124,-1.36321e-124,3.24864e-125,True,0.012425375,-2.00582e-149,-3.24864e-125,4.40703e-07,3.86871e-07,4.16318e-39
11,train,3,0,0.0066337,0.00503995,0.00159375,True,0.06739375,0.00218494,0.000591189,0.0772378,3.86812e-07,1.05507e-06
12,train,0,0,-2.79911e-27,-1.95971e-27,-8.39402e-28,False,0.040692475,5.18275e-52,8.39402e-28,4.40702e-07,3.86871e-07,4.95694e-37
13,train,1,1,-4.54219e-76,-6.48774e-76,1.94555e-76,True,0.0209435,-1.19308e-100,-1.94555e-76,4.40702e-07,3.8687e-07,3.15998e-39
14,train,2,1,-1.03852e-124,-1.48335e-124,4.44828e-125,True,0.01242535,-2.74652e-149,-4.44828e-125,4.40702e-07,3.8687e-07,6.57223e-70
15,train,3,0,0.00721923,0.00504023,0.002179,True,0.06739425,0.00304604,0.000867039,0.0771065,3.86807e-07,1.57256e-06
16,final_eval,0,0,-3.13261e-27,-1.95961e-27,-1.173e-27,False,0.040692075,,,,,
17,final_eval,1,1,1.20972e-51,1.93384e-51,-7.24122e-52,False,0.0209435,,,,,
18,final_eval,2,1,-7.41716e-76,-1.1857e-75,4.43981e-76,True,0.0124253,,,,,
19,final_eval,3,0,0.00807878,0.00504047,0.00303831,True,0.06739425,,,,,
