experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,lead_mode,pre_gate_mode,pre_boost_v,pre_boost_cap_f,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,lead_mistake,0.3316,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.849709,0.199264,1.34999e-14,0.3,0.197865,1.34663e-14,0.3,-0.100736,-0.102135,-0.00139874,-0.00139874,0.199264,1.34999e-14,0.3,0.199235,1.05468e-11,0.3,-0.100736,-0.100765,-2.94152e-05,2.94152e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.3316,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.849709,0.199264,1.34999e-14,0.3,0.199235,1.05468e-11,0.3,-0.100736,-0.100765,-2.94152e-05,2.94152e-05,0.199264,1.34999e-14,0.3,0.197865,1.34663e-14,0.3,-0.100736,-0.102135,-0.00139874,-0.00139874,True,False,False
error_rule_action_label0_mistake,lead_mistake,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.849709,0.207212,1.34999e-14,0.3,0.20577,1.34663e-14,0.3,-0.0927885,-0.0942302,-0.00144169,-0.00144169,0.207212,1.34999e-14,0.3,0.207179,1.05468e-11,0.3,-0.0927885,-0.0928207,-3.21852e-05,3.21852e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.849709,0.207212,1.34999e-14,0.3,0.207179,1.05468e-11,0.3,-0.0927885,-0.0928207,-3.21852e-05,3.21852e-05,0.207212,1.34999e-14,0.3,0.20577,1.34663e-14,0.3,-0.0927885,-0.0942302,-0.00144169,-0.00144169,True,False,False
error_rule_action_label0_mistake,lead_mistake,0.3488,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.849709,0.21554,1.34999e-14,0.3,0.214053,1.34663e-14,0.3,-0.0844602,-0.085947,-0.00148673,-0.00148673,0.21554,1.34999e-14,0.3,0.215504,1.05468e-11,0.3,-0.0844602,-0.0844957,-3.54586e-05,3.54586e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.3488,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.849709,0.21554,1.34999e-14,0.3,0.215504,1.05468e-11,0.3,-0.0844602,-0.0844957,-3.54586e-05,3.54586e-05,0.21554,1.34999e-14,0.3,0.214053,1.34663e-14,0.3,-0.0844602,-0.085947,-0.00148673,-0.00148673,True,False,False
error_rule_action_label0_mistake,lead_mistake,0.3316,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.974615,0.199266,7.90072e-15,0.3,0.197866,7.8819e-15,0.3,-0.100734,-0.102134,-0.00140022,-0.00140022,0.199266,7.90072e-15,0.3,0.199238,7.52389e-12,0.3,-0.100734,-0.100762,-2.81905e-05,2.81905e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.3316,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.974615,0.199266,7.90072e-15,0.3,0.199238,7.52389e-12,0.3,-0.100734,-0.100762,-2.81905e-05,2.81905e-05,0.199266,7.90072e-15,0.3,0.197866,7.8819e-15,0.3,-0.100734,-0.102134,-0.00140022,-0.00140022,True,False,False
error_rule_action_label0_mistake,lead_mistake,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.974615,0.207214,7.90072e-15,0.3,0.205771,7.8819e-15,0.3,-0.092786,-0.0942292,-0.00144325,-0.00144325,0.207214,7.90072e-15,0.3,0.207183,7.52389e-12,0.3,-0.092786,-0.0928168,-3.07865e-05,3.07865e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.974615,0.207214,7.90072e-15,0.3,0.207183,7.52389e-12,0.3,-0.092786,-0.0928168,-3.07865e-05,3.07865e-05,0.207214,7.90072e-15,0.3,0.205771,7.8819e-15,0.3,-0.092786,-0.0942292,-0.00144325,-0.00144325,True,False,False
error_rule_action_label0_mistake,lead_mistake,0.3488,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.974615,0.215542,7.90072e-15,0.3,0.214054,7.8819e-15,0.3,-0.0844578,-0.0859462,-0.00148839,-0.00148839,0.215542,7.90072e-15,0.3,0.215508,7.52389e-12,0.3,-0.0844578,-0.0844916,-3.38517e-05,3.38517e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake,0.3488,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,state_window,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.974615,0.215542,7.90072e-15,0.3,0.215508,7.52389e-12,0.3,-0.0844578,-0.0844916,-3.38517e-05,3.38517e-05,0.215542,7.90072e-15,0.3,0.214054,7.8819e-15,0.3,-0.0844578,-0.0859462,-0.00148839,-0.00148839,True,False,False
