cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.12822,0.135296,-0.00707552,False,0.0905694,0.0587727,0.194423,0.0493459,0.0992391,0.0478418,0.0691868,0.111589,0.0941569,,,,,
1,initial_eval,1,1,0.135317,0.127951,0.00736541,True,0.0711983125,0.0629245,0.129433,-3.32808e-26,0.1868,0.0107475,0.0814973,0.04358,0.0546042,,,,,
2,initial_eval,2,1,0.136376,0.12967,0.00670683,True,0.09677895,0.101403,0.069015,0.150537,0.0421659,0.0842061,0.0846076,0.121207,0.12109,,,,,
3,initial_eval,3,0,0.131887,0.138652,-0.00676487,False,0.091459475,0.177598,0.0626052,0.0967104,0.0976939,0.0551306,0.112826,0.07512,0.0539917,,,,,
4,train,0,0,0.128219,0.135294,-0.00707549,False,0.090568325,0.0587714,0.194422,0.0493446,0.0992371,0.0478408,0.0691852,0.11159,0.0941555,0.231252,0.238328,0.413654,6.70382e-07,3.68873e-07
5,train,1,1,0.136261,0.361629,-0.225367,False,0.071196925,0.062923,0.129431,-2.02628e-26,0.186798,0.0107466,0.0814952,0.0435791,0.0546025,0.0150394,0.240407,0.428234,5.53205e-07,5.69396e-07
6,train,2,1,0.383199,0.367267,0.0159319,True,0.0967774125,0.101402,0.0690112,0.150535,0.0421644,0.0842052,0.0846065,0.121206,0.121089,0.0159315,-4.09373e-07,0.0936219,5.53203e-07,6.29322e-07
7,train,3,0,0.378116,0.394874,-0.016758,False,0.09145822499999999,0.177599,0.0626012,0.0967093,0.0976924,0.0551296,0.112825,0.0751191,0.0539902,-0.0167581,-8.24636e-08,0.0891309,5.53203e-07,2.16034e-07
8,final_eval,0,0,0.366678,0.383241,-0.0165632,False,0.09056769999999999,0.05877,0.194426,0.0493433,0.0992349,0.0478397,0.0691837,0.11159,0.094154,,,,,
9,final_eval,1,1,0.376665,0.361626,0.0150398,True,0.0711958125,0.0629215,0.12943,-3.32789e-26,0.186797,0.0107456,0.0814931,0.0435784,0.0546009,,,,,
10,final_eval,2,1,0.388517,0.372121,0.0163967,True,0.0967762625,0.101401,0.0690096,0.150534,0.0421628,0.0842042,0.0846055,0.121205,0.121088,,,,,
11,final_eval,3,0,0.378827,0.395641,-0.0168139,False,0.091457125,0.177599,0.0625994,0.0967082,0.0976909,0.0551286,0.112824,0.0751182,0.0539887,,,,,
