cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
29,train,6,1,True,True,0.144559,0.113233,0.0313255,0.0983557,0.179576,0.00599728,0.0103297,0.113227,0.144567,True,0.2570345,0.269924,0.264636,0.216237,0.290487,0.243116,0.237992,0.269961,0.263923,0.337435,0.332558,0.811126,1.2,0.252967,0.292314,0.292314,1.2,1.2,0.0419509,0.0106254,0.0743244,0.00341459,0.0743244,0.000343125
30,train,3,0,True,True,0.162778,0.177174,-0.0143959,0.19784,0.21301,0.000320669,0.0301906,0.16277,0.177175,False,0.048272587500000005,0.0421561,0.0759294,0.0359479,0.0697936,0.014312,0.0591363,0.0410474,0.047858,0.335988,0.329823,0.882655,0.922936,1.62813e-08,0.000745965,0.0156944,0.0587582,1.19944,-0.0137781,0.000617852,8.07409e-07,0.00331325,0.00331325,0.000176304
31,train,7,1,True,True,0.172529,0.125653,0.046876,0.114261,0.208212,0.0113567,0.0205121,0.125646,0.172529,True,0.13234415,0.110892,0.162879,0.0773643,0.264454,0.108345,0.0791589,0.154644,0.101016,0.340587,0.331286,0.826009,1.2,0.227632,0.211971,0.211998,1.2,1.2,0.0492639,0.00238794,0.000296187,0.00339963,0.00339963,0.000465781
32,final_eval,0,0,False,False,0.137477,0.167275,-0.0297986,0.127452,0.202689,0.014136,0.0228175,0.137469,0.167271,False,0.11289398749999999,0.164539,0.0995503,0.119192,0.116069,0.0682341,0.0981985,0.102466,0.134903,0.343155,0.3341,1.14704,1.19674,,,,,,,,,,,
33,final_eval,1,0,False,False,0.149107,0.177912,-0.0288051,0.179452,0.213773,0.00644107,0.0321262,0.149099,0.177913,False,0.06414277500000001,0.129922,0.0531602,0.0322281,0.104974,0.0218414,0.0761972,0.0461438,0.0486755,0.337747,0.327244,1.13953,1.18599,,,,,,,,,,,
34,final_eval,2,0,False,False,0.154178,0.170793,-0.0166144,0.186653,0.206341,0.00204045,0.0145525,0.15417,0.17079,False,0.0645688125,0.0761703,0.0411276,0.103005,0.0340181,0.0508304,0.056397,0.083934,0.0710681,0.337231,0.335491,1.13958,1.17545,,,,,,,,,,,
35,final_eval,3,0,False,False,0.163466,0.177869,-0.0144031,0.198544,0.213725,0.000318434,0.0302978,0.163458,0.17787,False,0.0482351625,0.0422453,0.0759921,0.0358608,0.069732,0.0142743,0.0589097,0.04113,0.0477371,0.335935,0.329712,1.13952,1.16488,,,,,,,,,,,
36,final_eval,4,1,False,False,0.149157,0.119152,0.0300055,0.0920295,0.18415,0.0449346,0.0699132,0.119145,0.149157,True,0.222874625,0.240967,0.219762,0.204934,0.247733,0.202794,0.200337,0.230412,0.236058,0.230738,0.00980121,1.13993,1.15474,,,,,,,,,,,
37,final_eval,5,1,False,False,0.158355,0.113376,0.0449787,0.0985044,0.193751,0.0059579,0.0165206,0.11337,0.158362,True,0.25749412499999996,0.270563,0.265214,0.216473,0.291074,0.243674,0.238156,0.270616,0.264183,0.337378,0.329353,1.13978,1.14449,,,,,,,,,,,
38,final_eval,6,1,False,False,0.158355,0.113126,0.0452284,0.0985042,0.193751,0.00595794,0.0165207,0.11312,0.158361,True,0.25749350000000004,0.270562,0.265214,0.216472,0.291073,0.243673,0.238156,0.270616,0.264182,0.337378,0.329353,1.13973,1.13962,,,,,,,,,,,
39,final_eval,7,1,False,False,0.173196,0.125652,0.0475437,0.114208,0.208898,0.0113315,0.0204915,0.125645,0.173196,True,0.13247815,0.111035,0.1633,0.0772215,0.264913,0.108473,0.0790017,0.154968,0.100913,0.340527,0.331215,1.13958,1.13945,,,,,,,,,,,
