cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.114895,0.114362,0.000533258,True,0.09056923750000001,0.0587725,0.194423,0.0493458,0.0992387,0.0478418,0.0691865,0.111589,0.0941566,0.339538,0.339727,,,,,,,
1,initial_eval,1,1,False,False,0.115704,0.115493,0.000211381,True,0.07119695,0.0629228,0.129432,-3.3279e-26,0.186798,0.0107463,0.081495,0.0435791,0.0546024,0.339775,0.339814,,,,,,,
2,initial_eval,2,1,False,False,0.117531,0.117493,3.80769e-05,True,0.0967762,0.101401,0.0690114,0.150533,0.0421628,0.0842041,0.0846053,0.121205,0.121087,0.341812,0.341882,,,,,,,
3,initial_eval,3,0,False,False,0.118629,0.117751,0.000878317,True,0.091456275,0.1776,0.0625996,0.0967067,0.0976893,0.0551275,0.112823,0.0751171,0.053987,0.339926,0.340498,,,,,,,
4,train,0,0,True,False,0.116119,0.115652,0.000466891,True,0.09056355,0.0587658,0.194418,0.0493393,0.0992287,0.0478365,0.0691788,0.111592,0.0941493,0.33958,0.339769,1.26087e-06,,,,,,
5,train,1,1,False,False,0.115698,0.115487,0.000211419,True,0.07119098750000001,0.0629155,0.129425,-2.02096e-26,0.186792,0.0107414,0.0814846,0.0435752,0.0545942,0.339817,0.339856,1.18145e-06,,,,,,
6,train,2,1,False,False,0.117525,0.117487,3.80781e-05,True,0.096770475,0.101396,0.0690035,0.150526,0.0421555,0.0841995,0.0846003,0.1212,0.121083,0.341853,0.341923,8.63465e-07,,,,,,
7,train,3,0,False,True,0.118622,0.117744,0.000878516,True,0.09145105,0.177602,0.0625907,0.096701,0.0976821,0.0551226,0.112818,0.0751125,0.0539795,0.339967,0.340539,5.89499e-06,0.000810609,-6.7907e-05,0.00159052,0.0195049,0.0195049,2.76584e-06
8,train,0,0,True,False,0.117146,0.116626,0.00051984,True,0.090557725,0.0587591,0.194413,0.0493328,0.0992187,0.0478311,0.0691711,0.111594,0.094142,0.339539,0.339728,1.27162e-06,,,,,,
9,train,1,1,False,False,0.117438,0.117226,0.000212077,True,0.071184875,0.0629082,0.129417,-2.02068e-26,0.186786,0.0107364,0.0814741,0.0435713,0.054586,0.33977,0.33981,1.18135e-06,,,,,,
10,train,2,1,False,False,0.119262,0.119228,3.41736e-05,True,0.0967645375,0.101391,0.068995,0.150519,0.0421481,0.084195,0.0845952,0.121195,0.121078,0.341796,0.341866,8.61963e-07,,,,,,
11,train,3,0,False,True,0.120426,0.119532,0.000893436,True,0.09144585000000001,0.177605,0.0625812,0.0966953,0.0976749,0.0551176,0.112813,0.0751078,0.053972,0.339923,0.340492,6.37681e-06,0.0009087,1.52645e-05,0.00159014,0.0191774,0.0191774,2.76575e-06
12,train,0,0,True,False,0.119671,0.119173,0.000497598,True,0.0905521375,0.0587523,0.194409,0.0493263,0.0992086,0.0478258,0.0691634,0.111597,0.0941347,0.339497,0.339686,1.28237e-06,,,,,,
13,train,1,1,False,False,0.119281,0.119069,0.000212381,True,0.07117892499999999,0.0629009,0.12941,-2.0204e-26,0.18678,0.0107315,0.0814636,0.0435675,0.0545779,0.33972,0.339761,1.18126e-06,,,,,,
14,train,2,1,False,False,0.121101,0.121071,2.98266e-05,True,0.096758725,0.101387,0.0689865,0.150512,0.0421407,0.0841904,0.0845902,0.12119,0.121073,0.341736,0.341806,8.60345e-07,,,,,,
15,train,3,0,False,True,0.122336,0.121428,0.000908641,True,0.09144053749999999,0.177607,0.0625718,0.0966895,0.0976677,0.0551126,0.112808,0.0751032,0.0539645,0.339877,0.340443,6.98578e-06,0.000924044,1.54031e-05,0.00158975,0.01884,0.01884,2.76567e-06
16,final_eval,0,0,False,False,0.121631,0.121115,0.000515964,True,0.09054641249999999,0.0587455,0.194405,0.0493198,0.0991985,0.0478205,0.0691557,0.111599,0.0941273,0.339411,0.339601,,,,,,,
17,final_eval,1,1,False,False,0.121235,0.121023,0.000212204,True,0.0711730625,0.0628935,0.129403,-3.32603e-26,0.186775,0.0107265,0.0814532,0.0435636,0.0545697,0.339627,0.339669,,,,,,,
18,final_eval,2,1,False,False,0.123051,0.123026,2.49948e-05,True,0.0967529375,0.101382,0.068978,0.150505,0.0421334,0.0841859,0.0845852,0.121186,0.121068,0.341633,0.341703,,,,,,,
19,final_eval,3,0,False,False,0.124363,0.123439,0.000924011,True,0.091435325,0.17761,0.0625623,0.0966838,0.0976604,0.0551076,0.112803,0.0750985,0.053957,0.339787,0.34035,,,,,,,
