0,1,2,3,4,5,6,7,8,9
13,0,0,0,0,0,0,0,0,0
0,17,0,0,0,0,1,0,0,0
0,0,20,0,1,0,0,0,0,0
0,0,1,14,0,0,0,0,0,0
1,1,0,0,16,0,0,0,0,0
0,0,0,2,0,14,0,0,1,0
0,0,0,0,0,0,30,0,0,0
0,0,0,0,0,0,0,17,0,2
0,0,2,1,0,0,0,0,21,1
0,0,0,0,1,0,0,0,1,22
