cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.0219983,0.0235599,-0.00156152,False,0.0969248625,,,,,
1,initial_eval,1,1,0.034826,0.0318965,0.00292955,True,0.116130175,,,,,
2,initial_eval,2,1,-2.31268e-26,-2.10929e-26,-2.03394e-27,False,0.06871917500000001,,,,,
3,initial_eval,3,0,1.29327e-50,1.41798e-50,-1.24707e-51,False,0.08099814999999999,,,,,
4,train,0,0,0.0219983,0.0235599,-0.00156153,False,0.0969247575,-0.00151304,4.84852e-05,0.00746678,2.17188e-06,8.7282e-07
5,train,1,1,0.0348371,0.0319561,0.00288098,True,0.11615030000000001,0.00310523,0.000224252,0.0154987,7.88714e-06,5.4798e-07
6,train,2,1,-1.4073e-26,-1.27809e-26,-1.29206e-27,False,0.068683025,7.9776e-52,1.29206e-27,7.40071e-08,2.95884e-07,5.36279e-28
7,train,3,0,-2.9422e-75,-3.23964e-75,2.97436e-76,True,0.080955925,-1.83647e-100,-2.97436e-76,7.4007e-08,2.95884e-07,3.50141e-07
8,train,0,0,0.0220714,0.0237075,-0.00163608,False,0.0969326675,-0.00158616,4.9914e-05,0.00750346,2.19182e-06,8.71246e-07
9,train,1,1,0.0351327,0.0320812,0.0030515,True,0.11626689999999999,0.00328912,0.000237618,0.0156105,7.97561e-06,6.54189e-07
10,train,2,1,-1.42037e-26,-1.28341e-26,-1.36965e-27,False,0.068646075,8.45668e-52,1.36965e-27,7.40073e-08,2.95882e-07,2.2238e-28
11,train,3,0,-2.95445e-75,-3.26974e-75,3.15298e-76,True,0.0809128,-1.94675e-100,-3.15298e-76,7.40068e-08,2.95882e-07,3.50067e-07
12,train,0,0,0.0221478,0.0238633,-0.00171545,False,0.09694062,-0.00166404,5.14081e-05,0.00754115,2.21237e-06,8.69707e-07
13,train,1,1,0.0354452,0.0322114,0.00323382,True,0.1163853,0.00348581,0.000251991,0.0157233,8.06519e-06,7.60918e-07
14,train,2,1,-1.43402e-26,-1.28874e-26,-1.45273e-27,False,0.06860859999999999,8.96966e-52,1.45273e-27,7.4007e-08,2.9588e-07,6.08296e-28
15,train,3,0,-2.96673e-75,-3.30115e-75,3.34424e-76,True,0.080869225,-2.06484e-100,-3.34424e-76,7.40066e-08,2.95879e-07,3.49993e-07
16,final_eval,0,0,0.0222237,0.0240237,-0.00180001,False,0.0969472525,,,,,
17,final_eval,1,1,0.0357588,0.0322771,0.00348166,True,0.11648159999999999,,,,,
18,final_eval,2,1,-2.37778e-26,-2.1355e-26,-2.42283e-27,False,0.068608275,,,,,
19,final_eval,3,0,1.30934e-50,1.45789e-50,-1.48551e-51,False,0.080868375,,,,,
