experiment,vin,wgate,second_input,second_wgate,forced_vpre,vact,vpre_m,eact,vpre,vw0,vw1,epre
relu_transfer,,,,,0.0,3.15934e-222,0.0,0.0,,,,
relu_transfer,,,,,0.2,3.15934e-222,0.2,0.0,,,,
relu_transfer,,,,,0.35,5.54336e-223,0.35,0.0,,,,
relu_transfer,,,,,0.5,0.0321129,0.5,2.06247e-17,,,,
relu_transfer,,,,,0.65,0.0953995,0.65,1.82021e-16,,,,
relu_transfer,,,,,0.8,0.174302,0.8,6.07623e-16,,,,
relu_transfer,,,,,1.0,0.296097,1.0,1.75347e-15,,,,
single_synapse_relu,0.0,0.2,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.2,0.2,0.0
single_synapse_relu,0.05,0.2,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.2,0.2,0.0
single_synapse_relu,0.1,0.2,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.2,0.2,0.0
single_synapse_relu,0.2,0.2,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.2,0.2,0.0
single_synapse_relu,0.4,0.2,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.2,0.2,0.0
single_synapse_relu,0.8,0.2,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.2,0.2,0.0
single_synapse_relu,0.0,0.35,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.35,0.2,0.0
single_synapse_relu,0.05,0.35,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.35,0.2,0.0
single_synapse_relu,0.1,0.35,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.35,0.2,0.0
single_synapse_relu,0.2,0.35,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.35,0.2,0.0
single_synapse_relu,0.4,0.35,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.35,0.2,0.0
single_synapse_relu,0.8,0.35,0.0,0.2,,3.06733e-222,,0.0,-5.58015e-256,0.35,0.2,0.0
single_synapse_relu,0.0,0.45,0.0,0.2,,3.81904e-234,,0.0,1.24782e-306,0.45,0.2,0.0
single_synapse_relu,0.05,0.45,0.0,0.2,,3.81904e-234,,0.0,0.012111,0.45,0.2,1.46677e-18
single_synapse_relu,0.1,0.45,0.0,0.2,,3.81904e-234,,0.0,0.0159887,0.45,0.2,2.55637e-18
single_synapse_relu,0.2,0.45,0.0,0.2,,3.81904e-234,,0.0,0.0160221,0.45,0.2,2.56706e-18
single_synapse_relu,0.4,0.45,0.0,0.2,,3.81904e-234,,0.0,0.0160887,0.45,0.2,2.58846e-18
single_synapse_relu,0.8,0.45,0.0,0.2,,3.81904e-234,,0.0,0.0162213,0.45,0.2,2.6313e-18
single_synapse_relu,0.0,0.55,0.0,0.2,,3.81904e-234,,0.0,0.0,0.55,0.2,0.0
single_synapse_relu,0.05,0.55,0.0,0.2,,3.81904e-234,,0.0,0.0217398,0.55,0.2,4.72619e-18
single_synapse_relu,0.1,0.55,0.0,0.2,,3.81904e-234,,0.0,0.03782,0.55,0.2,1.43035e-17
single_synapse_relu,0.2,0.55,0.0,0.2,,3.81904e-234,,0.0,0.0501091,0.55,0.2,2.51092e-17
single_synapse_relu,0.4,0.55,0.0,0.2,,3.81904e-234,,0.0,0.050279,0.55,0.2,2.52798e-17
single_synapse_relu,0.8,0.55,0.0,0.2,,3.8189e-234,,0.0,0.0506165,0.55,0.2,2.56203e-17
single_synapse_relu,0.0,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0,0.7,0.2,0.0
single_synapse_relu,0.05,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0297313,0.7,0.2,8.83949e-18
single_synapse_relu,0.1,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0562948,0.7,0.2,3.1691e-17
single_synapse_relu,0.2,0.7,0.0,0.2,,3.81904e-234,,0.0,0.0971809,0.7,0.2,9.44413e-17
single_synapse_relu,0.4,0.7,0.0,0.2,,3.84312e-234,,0.0,0.11899,0.7,0.2,1.41586e-16
single_synapse_relu,0.8,0.7,0.0,0.2,,4.22429e-234,,0.0,0.119641,0.7,0.2,1.4314e-16
single_synapse_relu,0.0,0.9,0.0,0.2,,3.81904e-234,,0.0,0.0,0.9,0.2,0.0
single_synapse_relu,0.05,0.9,0.0,0.2,,3.81904e-234,,0.0,0.0353586,0.9,0.2,1.25023e-17
single_synapse_relu,0.1,0.9,0.0,0.2,,3.81904e-234,,0.0,0.0691167,0.9,0.2,4.77712e-17
single_synapse_relu,0.2,0.9,0.0,0.2,,3.81904e-234,,0.0,0.130462,0.9,0.2,1.70204e-16
single_synapse_relu,0.4,0.9,0.0,0.2,,3.96498e-234,,0.0,0.215356,0.9,0.2,4.63783e-16
single_synapse_relu,0.8,0.9,0.0,0.2,,4.04139e-234,,0.0,0.232089,0.9,0.2,5.38653e-16
single_synapse_relu,0.0,1.1,0.0,0.2,,3.81904e-234,,0.0,0.0,1.1,0.2,0.0
single_synapse_relu,0.05,1.1,0.0,0.2,,3.81904e-234,,0.0,0.038563,1.1,0.2,1.4871e-17
single_synapse_relu,0.1,1.1,0.0,0.2,,3.81904e-234,,0.0,0.0762407,1.1,0.2,5.81265e-17
single_synapse_relu,0.2,1.1,0.0,0.2,,3.81904e-234,,0.0,0.148285,1.1,0.2,2.19884e-16
single_synapse_relu,0.4,1.1,0.0,0.2,,3.59509e-234,,0.0,0.272255,1.1,0.2,7.4123e-16
single_synapse_relu,0.8,1.1,0.0,0.2,,0.000300031,,1.80038e-21,0.361432,1.1,0.2,1.30633e-15
two_synapse_relu,0.1,0.7,0.1,0.7,,3.81904e-234,,0.0,0.0714696,0.7,0.7,5.1079e-17
