cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,-1.89526e-159,-1.89526e-159,0.0,False,0.067393,,,,,
1,initial_eval,1,1,1.16204e-183,1.16204e-183,0.0,False,0.09408449999999999,,,,,
2,initial_eval,2,1,-7.17358e-208,-7.17358e-208,0.0,False,0.02049395,,,,,
3,initial_eval,3,0,4.39834e-232,4.39834e-232,0.0,False,0.020721875,,,,,
4,train,0,0,-2.69676e-256,-2.69676e-256,0.0,False,0.067394,0.0,0.0,0.679986,1.9344e-06,3.35158e-07
5,train,1,1,-6.25074e-305,-6.25074e-305,0.0,False,0.094086,-2.23832e-151,-2.23832e-151,0.619984,0.519989,5.46535e-07
6,train,2,1,8.37972e-176,-1.18685e-214,8.37972e-176,True,0.02049395,-5.13875e-200,-8.37972e-176,2.64979e-06,1.82289e-06,4.93608e-37
7,train,3,0,-2.71359e-263,1.91593e-224,-1.91593e-224,False,0.020721575,1.17492e-248,1.91593e-224,2.64978e-06,1.82289e-06,3.50027e-39
8,final_eval,0,0,0.0,4.38054e-273,-4.38054e-273,False,0.03993225,,,,,
9,final_eval,1,1,-2.68585e-297,0.0,-2.68585e-297,False,0.0366735,,,,,
10,final_eval,2,1,0.0,0.0,0.0,False,0.020493974999999998,,,,,
11,final_eval,3,0,0.0,0.0,0.0,False,0.020721299999999998,,,,,
