cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.0219983,0.0235599,-0.00156152,False,0.0969248625,,,,,
1,initial_eval,1,1,0.034826,0.0318965,0.00292955,True,0.116130175,,,,,
2,initial_eval,2,1,-2.31268e-26,-2.10929e-26,-2.03394e-27,False,0.06871917500000001,,,,,
3,initial_eval,3,0,1.29327e-50,1.41798e-50,-1.24707e-51,False,0.08099814999999999,,,,,
4,train,0,0,0.0219983,0.0235599,-0.00156153,False,0.0969247575,-0.000122594,0.00143894,0.679997,0.479998,8.7282e-07
5,train,1,1,0.0419758,0.0712793,-0.0293034,False,0.127715775,2.17758e-26,0.0293034,0.619997,0.519998,5.47976e-07
6,train,2,1,1.04827e-50,1.86343e-50,-8.1516e-51,False,0.03239375,4.99886e-75,8.1516e-51,5.3001e-07,3.64568e-07,2.82084e-29
7,train,3,0,4.28967e-99,2.41052e-05,-2.41052e-05,False,0.0361772,-4.18324e-05,-1.77272e-05,5.30009e-07,3.64568e-07,3.50175e-07
8,train,0,0,9.80783e-148,-1.7577e-29,1.7577e-29,True,0.0021909725,-1.08527e-53,-1.7577e-29,5.30009e-07,3.64567e-07,1.12956e-35
9,train,1,1,-4.07363e-78,2.27305e-196,-4.07363e-78,False,0.003612625,2.4981e-102,4.07363e-78,5.30009e-07,3.64568e-07,2.33887e-66
10,train,2,1,-9.31387e-127,5.19706e-245,-9.31387e-127,False,0.03239355,5.71161e-151,9.31387e-127,5.30008e-07,3.64567e-07,8.19522e-29
11,train,3,0,1.19638e-293,2.40386e-05,-2.40386e-05,False,0.03617675,-4.17365e-05,-1.76979e-05,5.30007e-07,3.64567e-07,3.50086e-07
12,train,0,0,0.0,-1.75385e-29,1.75385e-29,True,0.0021908375,-1.08289e-53,-1.75385e-29,5.30007e-07,3.64566e-07,1.68725e-34
13,train,1,1,-4.0647e-78,0.0,-4.0647e-78,False,0.003612475,2.49262e-102,4.0647e-78,5.30007e-07,3.64566e-07,6.07583e-39
14,train,2,1,-9.29346e-127,0.0,-9.29346e-127,False,0.0323931,5.69909e-151,9.29346e-127,5.30006e-07,3.64566e-07,1.25943e-29
15,train,3,0,0.0,2.39722e-05,-2.39722e-05,False,0.036176324999999995,-4.16408e-05,-1.76686e-05,5.30005e-07,3.64565e-07,3.49996e-07
16,final_eval,0,0,0.0,-1.75e-29,1.75e-29,True,0.002190705,,,,,
17,final_eval,1,1,1.07298e-53,0.0,1.07298e-53,True,0.0036123,,,,,
18,final_eval,2,1,-6.57877e-78,0.0,-6.57877e-78,False,0.032392675,,,,,
19,final_eval,3,0,0.0,2.39157e-05,-2.39157e-05,False,0.03617615,,,,,
