cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.143912,0.131151,0.0127616,True,0.0762220875,0.0886798,0.0478095,0.141338,0.0670567,0.0438381,0.0741644,0.0110472,0.135843,,,,,
1,initial_eval,1,1,0.139546,0.152866,-0.0133198,False,0.07093735000000001,0.039856,0.121275,0.0628629,0.0733127,0.0749737,0.0847426,0.0350285,0.0754474,,,,,
2,initial_eval,2,1,0.139245,0.152586,-0.0133403,False,0.0655337125,0.0557167,0.0288762,0.131341,0.0650341,0.0586021,0.0257094,0.0710842,0.087906,,,,,
3,initial_eval,3,0,0.144728,0.131798,0.0129307,True,0.075908245,0.00535206,0.141884,0.0786177,0.0747287,0.0804869,0.0515922,0.13513,0.0394744,,,,,
4,train,0,0,0.143911,0.131149,0.0127616,True,0.076221175,0.0886784,0.0478086,0.141338,0.0670559,0.0438367,0.074163,0.0110458,0.135843,0.0556693,0.0429078,0.15528,5.4028e-07,1.7954e-07
5,train,1,1,0.139545,0.197977,-0.0584315,False,0.070936,0.0398544,0.121273,0.0628617,0.0733112,0.0749737,0.0847408,0.0350275,0.0754457,-0.0210815,0.0373499,0.159615,5.40279e-07,1.02457e-07
6,train,2,1,0.176209,0.197186,-0.0209771,False,0.065532425,0.0557152,0.028875,0.131339,0.0650331,0.0586006,0.0257085,0.0710828,0.0879052,0.0798583,0.100835,0.121553,5.40278e-07,2.88435e-07
7,train,3,0,0.187619,0.267752,-0.0801334,False,0.0759071625,0.0053508,0.141883,0.0786166,0.0747269,0.0804862,0.0515908,0.13513,0.039473,0.0289281,0.109062,0.117393,5.40277e-07,2.92176e-07
8,final_eval,0,0,0.297836,0.268958,0.0288778,True,0.0762198875,0.0886769,0.0478075,0.141337,0.0670549,0.0438351,0.0741615,0.0110442,0.135842,,,,,
9,final_eval,1,1,0.278772,0.307771,-0.0289994,False,0.07093474999999999,0.0398528,0.121272,0.0628605,0.0733097,0.0749736,0.084739,0.0350265,0.0754439,,,,,
10,final_eval,2,1,0.277177,0.306012,-0.0288352,False,0.06553125,0.0557137,0.0288738,0.131338,0.0650321,0.0585992,0.0257075,0.0710813,0.0879044,,,,,
11,final_eval,3,0,0.296608,0.267692,0.0289164,True,0.07590598125,0.00534955,0.141882,0.0786156,0.0747251,0.0804855,0.0515895,0.135129,0.0394716,,,,,
