experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.46,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213413,2.16602e-14,0.3,0.213413,1.0174e-08,0.3,-0.0865872,-0.0865872,4.19749e-09,4.19749e-09,0.46,0.13,0.459644,0.129129,-0.000355612,-0.000871102,0.00051549,True
pair_action_decrease,0.46,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213413,2.16602e-14,0.3,0.213413,7.87391e-18,0.3,-0.0865872,-0.0865872,-5.65138e-08,5.65138e-08,0.46,0.13,0.456714,0.13055,-0.00328613,0.000549735,-0.00383587,True
pair_action_increase,0.46,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213413,-3.07867e-88,0.3,0.213413,1.93611e-87,0.3,-0.0865872,-0.0865872,-5.91664e-09,-5.91664e-09,0.46,0.16,0.459644,0.158407,-0.000355612,-0.00159282,0.00123721,False
pair_action_decrease,0.46,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213413,-3.07867e-88,0.3,0.213413,-3.44003e-88,0.3,-0.0865872,-0.0865872,-5.66267e-08,5.66267e-08,0.46,0.16,0.456714,0.159832,-0.00328613,-0.000168065,-0.00311807,True
pair_action_increase,0.46,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213413,-1.39436e-112,0.3,0.213413,-9.19736e-112,0.3,-0.0865872,-0.0865872,-5.99686e-09,-5.99686e-09,0.46,0.24,0.459644,0.236679,-0.000355616,-0.00332101,0.00296539,False
pair_action_decrease,0.46,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213413,-1.39436e-112,0.3,0.213413,-5.17886e-112,0.3,-0.0865872,-0.0865872,-5.67035e-08,5.67035e-08,0.46,0.24,0.456714,0.238123,-0.00328613,-0.00187733,-0.00140881,True
pair_action_increase,0.58,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,0.29988,0.000120048,0.213414,0.299748,0.000252114,0.213294,0.213162,-0.000132069,-0.000132069,0.58,0.1,0.579382,0.0998904,-0.000617501,-0.000109542,-0.000507959,False
pair_action_decrease,0.58,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,0.29988,0.000120048,0.213414,0.299748,0.000252114,0.213294,0.213162,-0.000132084,0.000132084,0.58,0.1,0.57619,0.101311,-0.00380993,0.00131127,-0.0051212,True
pair_action_increase,0.58,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,2.16602e-14,0.3,0.213414,1.0174e-08,0.3,-0.0865861,-0.0865861,7.36821e-09,7.36821e-09,0.58,0.13,0.579382,0.129129,-0.000617501,-0.000871102,0.000253601,True
pair_action_decrease,0.58,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,none,0.213414,2.16602e-14,0.3,0.213414,7.87391e-18,0.3,-0.0865861,-0.0865862,-1.75345e-08,1.75345e-08,0.58,0.13,0.57619,0.13055,-0.00380993,0.000549735,-0.00435967,True
