cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
77,train,5,0,True,True,0.0994018,0.0722132,0.0271886,0.13198,0.104962,0.00341364,0.0410818,0.0993963,0.0722207,True,0.0515822,0.0657314,0.056727,0.0625436,0.0256222,0.0261937,0.045922,0.0600362,0.0698815,0.335887,0.271916,3.02615e-07,1.2
78,train,6,1,True,True,0.104919,0.0710094,0.0339094,0.0410946,0.138805,-0.000459429,0.0872502,0.0710055,0.10498,True,0.24564587499999999,0.258403,0.251622,0.208411,0.276839,0.233368,0.226499,0.258403,0.251622,1.04088,0.00636623,1.2,3.02606e-07
79,train,7,1,True,True,0.104514,0.065884,0.0386301,0.0408891,0.138387,-0.000429608,0.087008,0.0658804,0.104575,True,0.245477375,0.258248,0.251437,0.208264,0.276649,0.233216,0.22632,0.258248,0.251437,1.04751,0.0063965,1.2,3.02607e-07
80,train,8,1,True,True,0.0706139,0.0843039,-0.01369,0.10265,0.103313,-0.00265573,0.0410498,0.0842992,0.0706215,False,0.07729555,0.0823925,0.102026,0.0866048,0.0412178,0.0559392,0.0521395,0.106834,0.0912106,0.339972,0.272352,3.02649e-07,1.2
81,train,9,1,True,True,0.103925,0.069114,0.0348105,0.0402836,0.137778,-0.000352749,0.0866819,0.0691102,0.103984,True,0.24513900000000002,0.257935,0.251066,0.20797,0.276267,0.232911,0.225962,0.257935,0.251066,1.06245,0.00643775,1.2,3.02608e-07
82,train,10,1,True,True,0.103596,0.0667452,0.0368511,0.0399911,0.13744,-0.000313691,0.0864647,0.0667415,0.103655,True,0.244968,0.257777,0.250878,0.207821,0.276074,0.232757,0.225781,0.257777,0.250879,1.07069,0.00646554,1.2,3.02608e-07
83,train,11,1,True,True,0.103223,0.0662633,0.0369594,0.039781,0.137054,-0.000283546,0.0862159,0.0662596,0.103281,True,0.24479700000000001,0.257619,0.250691,0.207672,0.275882,0.232602,0.2256,0.257619,0.250691,1.07587,0.00649769,1.2,3.02609e-07
84,train,0,0,True,True,0.0981202,0.0689782,0.029142,0.131508,0.101628,0.0231689,0.0401127,0.0981201,0.0689859,True,0.0320695375,0.020999,0.079659,-2.53799e-25,0.0780527,-2.99453e-25,0.0338549,0.020383,0.0236077,0.332776,0.281857,3.02617e-07,1.2
85,train,1,0,True,True,0.0930317,0.0684637,0.024568,0.125938,0.101097,0.0111947,0.0399753,0.0930266,0.0684714,True,0.05674793000000001,0.0769386,0.0858812,-9.67982e-74,0.15715,0.00643674,0.0663717,0.0379608,0.0232444,0.335975,0.283205,3.02628e-07,1.2
86,train,2,0,True,True,0.0730948,0.0681599,0.00493488,0.0603211,0.100799,-0.00102239,0.0415939,0.0730907,0.0681684,True,0.135597625,0.187016,0.121272,0.128914,0.145812,0.0976,0.12854,0.130347,0.14528,0.363343,0.26659,3.0269e-07,1.2
87,train,3,0,True,True,0.0976892,0.0674014,0.0302879,0.130924,0.100002,0.0197513,0.039594,0.0976856,0.0674092,True,0.0429889375,0.0370479,0.0660459,0.0371181,0.0570649,0.0135238,0.0487448,0.0426822,0.0416839,0.333709,0.286831,3.02618e-07,1.2
