cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,sum_d_readout_out0_signed,sum_d_readout_out1_signed,d_output_bias_out0_signed,d_output_bias_out1_signed
71,train,11,1,True,True,0.0416088,0.0945213,-0.0529125,0.286802,0.206318,0.283161,0.168021,0.069223,0.0323518,False,0.41236625000000005,0.0416088,0.0945213,-0.0529125,False,0.248555,0.648563,0.26177,0.516055,0.769846,0.300008,0.152067,0.402066,0.00136934,0.00252546,3.32306e-08,1.2,1.0464,0.000801577,1.04386,-1.04306,1.04386,0.000801577,1.04306,1.04306,1.04386,0.0432965,0.096209,0.075058,5.85748e-07,0.075058,1.39892e-06,-0.3899918,0.4442164,-5.76476e-07,-5.85748e-07
72,train,4,0,True,True,0.0518988,0.0796461,-0.0277473,0.227981,0.27126,0.181725,0.267064,0.036336,0.0600469,False,0.6073775,0.0518988,0.0796461,-0.0277473,False,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00229414,0.00146276,1.2,3.32972e-08,1.0464,1.04386,0.000801577,1.04306,0.000801577,1.04386,-1.04306,1.04306,1.04386,0.0666231,0.0943704,0.0734875,5.85746e-07,0.0734875,1.39892e-06,0.48752460000000003,-0.4128178,-5.76474e-07,-5.85746e-07
73,train,12,1,True,True,0.0351387,0.098091,-0.0629523,0.280976,0.187521,0.276202,0.136452,0.0678983,0.0308008,False,0.2552052,0.0351387,0.098091,-0.0629523,False,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00140822,0.00329323,3.32383e-08,1.2,1.0464,0.000801577,1.04386,-1.04306,1.04386,0.000801577,1.04306,1.04306,1.04386,0.0041432,0.0670955,0.0625306,5.85743e-07,0.0625306,1.39891e-06,-0.3749246,0.3815571,-5.76472e-07,-5.85743e-07
74,train,5,0,True,True,0.0641811,0.0683731,-0.00419202,0.252001,0.25861,0.217231,0.248523,0.0462081,0.0527468,False,0.54547575,0.0641811,0.0683731,-0.00419202,False,0.769845,0.769842,0.608496,0.769845,0.409298,0.234623,0.168272,0.633585,0.00185493,0.00158757,1.19999,3.33886e-08,1.0464,1.04386,0.000801577,1.04306,0.000801577,1.04386,-1.04306,1.04306,1.04386,0.0774467,0.0816387,0.0656134,5.85741e-07,0.0656134,1.39891e-06,0.4299255,-0.36683389999999994,-5.76469e-07,-5.85741e-07
75,train,13,1,True,True,0.0342209,0.114889,-0.0806681,0.308642,0.190803,0.305744,0.125358,0.0833049,0.0281125,False,0.339744875,0.0342209,0.114889,-0.0806681,False,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00125678,0.00368965,3.3173e-08,1.2,1.0464,0.000801577,1.04386,-1.04306,1.04386,0.000801577,1.04306,1.04306,1.04386,0.0131082,0.0937763,0.0770247,5.85738e-07,0.0770247,1.3989e-06,-0.4096086,0.4287052,-5.76467e-07,-5.85738e-07
76,train,6,0,True,True,0.0668546,0.0646717,0.00218292,0.255348,0.251908,0.212298,0.239587,0.0441232,0.0480134,True,0.5985944999999999,0.0668546,0.0646717,0.00218292,True,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00190556,0.00165569,1.19999,3.34875e-08,1.0464,1.04386,0.000801577,1.04306,0.000801577,1.04386,-1.04306,1.04306,1.04386,0.083119,0.0809361,0.0639797,5.85736e-07,0.0639797,1.39889e-06,0.43624640000000003,-0.3660788,-5.76465e-07,-5.85736e-07
77,train,14,1,True,True,0.0386755,0.107668,-0.0689927,0.306133,0.202863,0.30303,0.130246,0.0764557,0.0313597,False,0.31750670000000003,0.0386755,0.107668,-0.0689927,False,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769846,0.26136,0.00126932,0.00350362,3.31967e-08,1.2,1.0464,0.000801577,1.04386,-1.04306,1.04386,0.000801577,1.04306,1.04306,1.04386,0.0339812,0.102974,0.073874,5.85734e-07,0.073874,1.39889e-06,-0.3966621,0.3957691,-5.76462e-07,-5.85734e-07
78,train,7,0,True,True,0.072877,0.0582239,0.0146532,0.263318,0.240298,0.214328,0.218141,0.0480387,0.0425431,True,0.472466,0.072877,0.0582239,0.0146532,True,0.699473,0.769842,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.0018844,0.00184588,3.34869e-08,1.19999,0.0186571,1.04386,0.000801577,1.04306,0.000801577,1.04386,-1.04306,1.04306,1.04386,0.0130068,-0.00164637,0.00124077,5.85731e-07,0.00124077,1.39888e-06,-0.004566708000000001,0.003876562,-5.7646e-07,-5.85731e-07
79,train,15,1,True,True,0.0892889,0.0513648,0.037924,0.232424,0.291521,0.19039,0.272558,0.0399475,0.0616257,True,0.258585,0.0892889,0.0513648,0.037924,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.0021687,0.00142947,1.2,3.3283e-08,0.00895245,0.000801577,1.04386,-1.04306,1.04386,0.000801577,1.04306,1.04306,1.04386,0.033536,-0.00438801,0.00388641,5.85729e-07,0.00388641,1.39888e-06,0.00923009,-0.023413809999999997,-5.76458e-07,-5.85729e-07
80,final_eval,0,0,False,False,0.0747291,0.0553484,0.0193807,0.264386,0.234027,0.22527,0.216312,0.0503694,0.0407059,True,0.41148750000000006,0.0747291,0.0553484,0.0193807,True,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00177797,0.00186416,1.1972,1.14702,,,,,,,,,,,,,,,,,,,
