cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
17,train,1,1,True,True,0.130683,0.124725,0.00595856,0.14544,0.154066,0.0286858,0.0286228,0.124718,0.130676,True,0.0711960875,0.0629218,0.129431,-3.35884e-26,0.186797,0.0107456,0.0814936,0.0435785,0.0546012,0.339668,0.339359,0.877877,0.928619,0.0,0.00675871,0.000800151,0.0208569,0.00089617,0.0208569,2.68077e-07
18,train,2,1,True,True,0.131358,0.125604,0.00575448,0.13641,0.143256,0.0119695,0.0118768,0.125597,0.131351,True,0.09677670000000001,0.101401,0.0690121,0.150534,0.0421634,0.0842044,0.0846057,0.121205,0.121088,0.341568,0.341563,0.879104,0.926845,0.0,0.00645399,0.000699504,0.00663917,0.00117736,0.00663917,2.68077e-07
19,train,3,0,True,True,0.126654,0.132947,-0.00629277,0.139526,0.146777,0.00826261,0.00816675,0.126647,0.132939,False,0.0914577625,0.177599,0.0626023,0.0967085,0.0976915,0.055129,0.112824,0.0751185,0.0539893,0.340001,0.339959,0.878475,0.927821,0.0,-0.00571769,0.000575075,0.0182105,0.00110459,0.0182105,2.68077e-07
20,train,0,0,True,True,0.123327,0.129121,-0.00579426,0.138095,0.144882,0.00794096,0.00787682,0.12332,0.129114,False,0.0905664375,0.0587694,0.19442,0.0493427,0.099234,0.0478392,0.0691829,0.11159,0.0941533,0.339411,0.339375,0.877181,0.929599,0.0,-0.00509918,0.00069508,0.0252747,0.00127182,0.0252747,2.68077e-07
21,train,1,1,True,True,0.129369,0.123577,0.00579191,0.143963,0.152575,0.028752,0.0287319,0.12357,0.129361,True,0.07119551249999999,0.062921,0.12943,-3.35879e-26,0.186797,0.0107451,0.0814925,0.0435781,0.0546004,0.339686,0.339337,0.877405,0.929268,0.0,0.00662718,0.00083527,0.0205919,0.00086806,0.0205919,2.68076e-07
22,train,2,1,True,True,0.129463,0.123926,0.00553785,0.13473,0.141339,0.0120013,0.0119068,0.123919,0.129456,True,0.09677601250000001,0.101401,0.0690113,0.150533,0.0421626,0.084204,0.0846052,0.121204,0.121087,0.341591,0.341592,0.878419,0.927772,0.0,0.00607227,0.000534424,0.00657559,0.00113497,0.00657559,2.68076e-07
23,train,3,0,True,True,0.125352,0.131346,-0.005994,0.138146,0.144931,0.00827612,0.00820463,0.125345,0.131339,False,0.09145726250000001,0.177599,0.0626014,0.0967079,0.0976908,0.0551285,0.112824,0.075118,0.0539885,0.339998,0.339973,0.878278,0.928051,0.0,-0.00543906,0.000554941,0.017979,0.00106073,0.017979,2.68076e-07
24,train,0,0,True,True,0.122082,0.127565,-0.00548233,0.13695,0.143219,0.00794999,0.00792152,0.122076,0.127558,False,0.0905660375,0.0587687,0.19442,0.0493421,0.0992331,0.0478387,0.0691822,0.111591,0.0941525,0.339399,0.339391,0.877008,0.929783,0.0,-0.00479542,0.000686905,0.0248459,0.00122968,0.0248459,2.68076e-07
25,train,1,1,True,True,0.127909,0.122246,0.00566261,0.142536,0.15116,0.0288126,0.0288421,0.122239,0.127902,True,0.07119485,0.0629203,0.129429,-3.35874e-26,0.186796,0.0107447,0.0814915,0.0435777,0.0545996,0.339705,0.339313,0.876608,0.930401,0.0,0.00651203,0.000849419,0.0202862,0.000835743,0.0202862,2.68075e-07
26,train,2,1,True,True,0.127865,0.122554,0.00531119,0.133087,0.139465,0.0120328,0.0119359,0.122547,0.127858,True,0.096775575,0.1014,0.0690105,0.150533,0.0421619,0.0842035,0.0846047,0.121204,0.121087,0.341613,0.341621,0.877951,0.928388,0.0,0.00582433,0.000513139,0.00651983,0.00110074,0.00651983,2.68075e-07
