theta_p,act,read_p_gain,read_p_slope,write_p_charge_v,write_p_discharge_v,theta_n,read_n_gain,read_n_slope,write_n_charge_v,write_n_discharge_v,write_mode,signed_read_gain,signed_increase_mobility,signed_decrease_mobility,signed_update_sign_aligned,signed_mobility_balance
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,0.1497520152,0.0,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,0.1497520152,0.00024886994620202426,-0.001101945606149405,False,-4.427797019953878
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-1.0497964000000002,0.004549230243292897,-0.001101945606149405,False,-0.2422268267854865
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-1.0497964000000002,-7.374145738481275e-19,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-1.0497964000000002,-1.1268563859800907e-18,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-1.0497964000000002,-1.7380719086190767e-18,-0.001101945606149405,False,
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-1.0497964000000002,1.7427193022001574e-18,-0.001101945606149405,False,-632313881391119.6
0.16,0.25,0.1501316,0.761396011904762,0.0,-0.00144727,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-1.0497964000000002,0.0,-0.001101945606149405,False,
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,0.4513604152,0.0,0.0002502815489669443,False,0.0
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.1,0.0003795848,2.271871998484849,0.0,0.000109544,bounded_discharge,0.4513604152,0.00024886994620202426,0.0002502815489669443,True,0.9943599407517392
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.16,1.199928,2.856067655238096,0.0,0.00159283,bounded_discharge,-0.7481880000000001,0.004549230243292897,0.0002502815489669443,True,0.055016241337959085
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.24,1.199928,-2.220446049250313e-16,0.0,0.00332102,bounded_discharge,-0.7481880000000001,-7.374145738481275e-19,0.0002502815489669443,False,-2.946340139302561e-15
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.34,1.199928,-2.220446049250313e-16,0.0,0.00507491,bounded_discharge,-0.7481880000000001,-1.1268563859800907e-18,0.0002502815489669443,False,-4.502355010312482e-15
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.46,1.199928,0.0,0.0,0.00657842,bounded_discharge,-0.7481880000000001,0.0,0.0002502815489669443,False,0.0
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.58,1.199928,0.0,0.0,0.00742333,bounded_discharge,-0.7481880000000001,0.0,0.0002502815489669443,False,0.0
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.7,1.199928,0.0,0.0,0.00766575,bounded_discharge,-0.7481880000000001,0.0,0.0002502815489669443,False,0.0
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.82,1.199928,0.0,0.0,0.00776357,bounded_discharge,-0.7481880000000001,0.0,0.0002502815489669443,False,0.0
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,0.94,1.199928,-2.220446049250313e-16,0.0,0.00782758,bounded_discharge,-0.7481880000000001,-1.7380719086190767e-18,0.0002502815489669443,False,-6.9444668046569855e-15
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,1.06,1.199928,2.220446049250313e-16,0.0,0.00784851,bounded_discharge,-0.7481880000000001,1.7427193022001574e-18,0.0002502815489669443,True,6.963035467030473e-15
0.24,0.25,0.45174,0.9439101388888884,0.0,0.000265154,1.15,1.199928,0.0,0.0,0.00784919,bounded_discharge,-0.7481880000000001,0.0,0.0002502815489669443,False,0.0
0.34,0.25,0.829996,0.5386596969696966,0.0,0.00194956,0.05,0.0003795848,0.0,0.0,-0.00125181,bounded_discharge,0.8296164152,0.0,0.0010501493988242416,False,0.0
