cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.41073e-114,-2.02493e-114,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,True,0.07119832499999999,0.0629245,0.129433,-3.32793e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,2.31648e-162,-3.32501e-162,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846075,0.121207,0.12109,0.341442,0.341417,9.56514e-183,7.61861e-199,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670613,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.57063e-230,1.25101e-246,,,,,,,
4,train,0,0,True,False,0.128787,0.135701,-0.00691319,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,-1.40176e-96,-1.02535e-96,3.68873e-07,,,,,,
5,train,1,1,False,False,0.135687,0.128409,0.00727766,True,0.071197075,0.062923,0.129432,-2.02108e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,-1.01192e-145,-7.40193e-146,5.69398e-07,,,,,,
6,train,2,1,False,False,0.137388,0.130803,0.00658475,True,0.09677767500000001,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846065,0.121206,0.121089,0.341484,0.341459,-7.28994e-195,-5.33239e-195,6.29169e-07,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670609,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,3.1568e-199,-1.08287e-198,2.16034e-07,-0.00659454,0.000111547,0.0159834,0.00355335,0.0159834,5.53194e-07
8,train,0,0,True,False,0.129025,0.135916,-0.00689025,False,0.09056709999999998,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691836,0.11159,0.094154,0.339422,0.339308,-3.68222e-114,5.22976e-115,2.60504e-07,,,,,,
9,train,1,1,False,False,0.136222,0.128912,0.00730949,True,0.0711958375,0.0629216,0.12943,-2.02103e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339624,0.339389,-2.67844e-163,3.00287e-164,5.69389e-07,,,,,,
10,train,2,1,False,False,0.137354,0.13078,0.00657382,True,0.096776525,0.101401,0.0690116,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341468,0.341446,-2.97089e-181,-2.31449e-172,6.29164e-07,,,,,,
11,train,3,0,False,True,0.132036,0.138724,-0.00668829,False,0.09145737500000001,0.177599,0.0626015,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.339974,0.339903,5.95075e-199,8.70121e-198,1.74776e-07,-0.00657678,0.00011151,0.0159768,0.00353886,0.0159768,5.53191e-07
12,train,0,0,True,False,0.129448,0.136304,-0.00685688,False,0.0905660125,0.0587687,0.19442,0.0493421,0.099233,0.0478387,0.0691821,0.111591,0.0941525,0.339402,0.339296,-2.59557e-105,-8.9531e-106,1.52168e-07,,,,,,
13,train,1,1,False,False,0.136766,0.129423,0.00734281,True,0.0711947,0.0629201,0.129429,-2.02097e-26,0.186796,0.0107444,0.0814912,0.0435776,0.0545993,0.339603,0.339364,-1.87304e-154,-6.46949e-155,5.6938e-07,,,,,,
14,train,2,1,False,False,0.137844,0.131278,0.00656563,True,0.09677526249999999,0.1014,0.0690099,0.150532,0.0421615,0.0842033,0.0846044,0.121204,0.121087,0.341451,0.341433,7.27336e-181,-7.56319e-172,6.29159e-07,,,,,,
15,train,3,0,False,True,0.132569,0.139239,-0.00667022,False,0.0914563875,0.1776,0.0625996,0.0967069,0.0976895,0.0551277,0.112823,0.0751172,0.0539872,0.339958,0.33989,4.42037e-200,9.0418e-198,1.33522e-07,-0.00655846,0.000111765,0.0159702,0.00352431,0.0159702,5.53187e-07
16,final_eval,0,0,False,False,0.129977,0.136788,-0.00681133,False,0.09056480000000001,0.0587673,0.194419,0.0493408,0.099231,0.0478376,0.0691806,0.111591,0.0941511,0.33934,0.339243,-8.80079e-106,-1.75266e-105,,,,,,,
17,final_eval,1,1,False,False,0.137406,0.130037,0.00736886,True,0.0711936,0.0629186,0.129428,-3.32755e-26,0.186795,0.0107435,0.0814891,0.0435769,0.0545977,0.33954,0.339297,-1.44512e-153,-2.87794e-153,,,,,,,
18,final_eval,2,1,False,False,0.13834,0.131783,0.0065571,True,0.09677415,0.101399,0.0690082,0.150531,0.0421601,0.0842024,0.0846035,0.121203,0.121086,0.341393,0.341378,4.03133e-181,4.91579e-172,,,,,,,
19,final_eval,3,0,False,False,0.132731,0.139408,-0.00667661,False,0.09145528750000001,0.1776,0.0625977,0.0967058,0.0976881,0.0551267,0.112822,0.0751163,0.0539857,0.3399,0.339835,6.6196e-229,8.07192e-220,,,,,,,
