cycle,phase,pattern,label,target_out,other_out,margin,active_hidden_act,correct,post_update_margin,d_margin_after_update,hidden_delta_net,max_active_hidden_weight_delta
0,initial_eval,0,0,-1.00076e-147,-1.00076e-147,0.0,0.113771,False,,,,
1,initial_eval,1,1,6.17797e-172,6.17797e-172,0.0,0.113762,False,,,,
2,initial_eval,2,1,-3.81382e-196,-3.81382e-196,0.0,0.113754,False,,,,
3,initial_eval,3,0,2.35437e-220,2.35437e-220,0.0,0.113745,False,,,,
4,train,0,0,-1.45342e-244,-1.45342e-244,0.0,0.113737,False,0.0,0.0,-1.33742e-28,9.40456e-06
5,train,1,1,-3.34581e-293,-3.34581e-293,0.0,0.113726,False,0.0,0.0,-7.30276e-28,9.40437e-06
6,train,2,1,0.0,0.0,0.0,0.113715,False,0.0,0.0,7.14797e-11,9.40417e-06
7,train,3,0,0.0,0.0,0.0,0.113704,False,0.0,0.0,-5.16504e-28,9.40399e-06
8,train,0,0,0.0,0.0,0.0,0.113694,False,0.0,0.0,-2.0552e-28,9.40381e-06
9,train,1,1,0.0,0.0,0.0,0.113683,False,0.0,0.0,7.18755e-11,9.4036e-06
10,train,2,1,0.0,0.0,0.0,0.113672,False,0.0,0.0,-6.74227e-29,9.40343e-06
11,train,3,0,0.0,0.0,0.0,0.113661,False,0.0,0.0,-2.6182e-28,9.40325e-06
12,train,0,0,0.0,0.0,0.0,0.113651,False,0.0,0.0,7.22711e-11,9.40304e-06
13,train,1,1,0.0,0.0,0.0,0.11364,False,0.0,0.0,-2.4667e-28,9.40287e-06
14,train,2,1,0.0,0.0,0.0,0.113629,False,0.0,0.0,-3.3703e-28,9.40268e-06
15,train,3,0,0.0,0.0,0.0,0.113618,False,0.0,0.0,4.89979e-11,9.40248e-06
16,final_eval,0,0,0.0,0.0,0.0,0.113608,False,,,,
17,final_eval,1,1,0.0,0.0,0.0,0.113599,False,,,,
18,final_eval,2,1,0.0,0.0,0.0,0.113591,False,,,,
19,final_eval,3,0,0.0,0.0,0.0,0.113582,False,,,,
