cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.0219983,0.0235599,-0.00156152,False,0.0969248625,,,,,
1,initial_eval,1,1,0.034826,0.0318965,0.00292955,True,0.116130175,,,,,
2,initial_eval,2,1,-2.31268e-26,-2.10929e-26,-2.03394e-27,False,0.06871917500000001,,,,,
3,initial_eval,3,0,1.29327e-50,1.41798e-50,-1.24707e-51,False,0.08099814999999999,,,,,
4,train,0,0,0.0219983,0.0235599,-0.00156153,False,0.0969247575,0.028506,0.0300675,0.677684,0.00196345,8.7282e-07
5,train,1,1,0.0419758,0.06806,-0.0260843,False,0.1277158,1.92979e-26,0.0260843,0.619997,0.472282,5.47976e-07
6,train,2,1,1.04827e-50,1.77067e-50,-7.22403e-51,False,0.0339086975,4.43004e-75,7.22403e-51,4.05761e-07,2.78819e-07,2.49894e-28
7,train,3,0,4.07613e-99,2.41139e-05,-2.41139e-05,False,0.036177225,-4.18492e-05,-1.77352e-05,4.0576e-07,2.78818e-07,3.50187e-07
8,train,0,0,0.155243,0.155243,-4.90565e-08,False,0.058967995,2.52597e-32,4.90565e-08,0.659994,0.0406222,7.44547e-07
9,train,1,1,7.67814e-50,7.67814e-50,1.54972e-56,True,0.00361265,-9.56851e-81,-1.54972e-56,4.0576e-07,2.78818e-07,6.50294e-37
10,train,2,1,1.76753e-98,1.76753e-98,3.56751e-105,True,0.0323936,-2.2027e-129,-3.56751e-105,4.0576e-07,2.78818e-07,6.53741e-39
11,train,3,0,4.09676e-147,2.4059e-05,-2.4059e-05,False,0.036176824999999996,-4.17701e-05,-1.77111e-05,4.05759e-07,2.78818e-07,3.50113e-07
12,train,0,0,9.43087e-196,-1.7552e-29,1.7552e-29,True,0.002190885,-1.08372e-53,-1.7552e-29,4.05759e-07,2.78818e-07,7.52906e-38
13,train,1,1,-4.04053e-78,2.17102e-244,-4.04053e-78,False,0.003612525,2.49476e-102,4.04053e-78,4.05759e-07,2.78817e-07,1.07077e-38
14,train,2,1,-9.30142e-127,4.99775e-293,-9.30142e-127,False,0.032393174999999996,5.74301e-151,9.30142e-127,4.05759e-07,2.78817e-07,2.22702e-69
15,train,3,0,0.0,2.40042e-05,-2.40042e-05,False,0.03617665,-4.16911e-05,-1.76869e-05,4.05758e-07,2.78817e-07,3.50039e-07
16,final_eval,0,0,0.0,-1.75203e-29,1.75203e-29,True,0.002190775,,,,,
17,final_eval,1,1,1.07422e-53,0.0,1.07422e-53,True,0.0036124,,,,,
18,final_eval,2,1,-6.63145e-78,0.0,-6.63145e-78,False,0.032393025,,,,,
19,final_eval,3,0,0.0,2.39506e-05,-2.39506e-05,False,0.03617625,,,,,
