cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal
22,train,2,1,True,True,0.00261331,0.00237202,0.00024129,0.0329801,0.0332154,0.0329865,0.0332212,0.00242297,0.00266173,True,0.08867,0.00261331,0.00237202,0.00024129,True,0.00265767,0.00241871,0.000238964,True,0.00269558,0.00245849,0.000237084,True,0.00270702,0.00247058,0.000236439,True,0.100494,0.0662191,0.148595,0.0393719,1.1886,1.1867,1.2,1.16471e-09,1.04533
23,train,3,0,True,True,0.0056465,0.00578203,-0.000135533,0.0364456,0.0365916,0.036453,0.0365994,0.0057141,0.00585093,False,0.107848025,0.0056465,0.00578203,-0.000135533,False,0.00570852,0.00584525,-0.000136727,False,0.00576001,0.00589767,-0.000137663,False,0.00577485,0.00591269,-0.000137839,False,0.182279,0.0589566,0.0946762,0.0954803,1.14729,1.14491,1.1647e-09,1.2,1.04533
24,train,0,0,True,True,0.010485,0.011117,-0.000631954,0.0414403,0.0420953,0.0414448,0.0421,0.0105524,0.011185,False,0.0979846,0.010485,0.011117,-0.000631954,False,0.0105469,0.0111794,-0.0006325,False,0.0105979,0.0112308,-0.000632932,False,0.0106127,0.0112454,-0.000632757,False,0.0559065,0.194333,0.0465871,0.0951118,1.03379,1.01442,1.16469e-09,1.2,1.04533
25,train,1,1,True,True,0.010192,0.00937136,0.00082068,0.0403383,0.0411886,0.0403491,0.0411997,0.00944957,0.010271,True,0.09335317500000001,0.010192,0.00937136,0.00082068,True,0.0102645,0.00944315,0.000821369,True,0.0103242,0.0095023,0.000821914,True,0.0103433,0.00952232,0.000820964,True,0.0599657,0.127056,-1.4536e-26,0.186391,1.06379,1.04069,1.2,1.16469e-09,1.04533
26,train,2,1,True,True,0.00236172,0.00271468,-0.000352956,0.0333339,0.0329531,0.0333397,0.0329589,0.00276558,0.00240969,False,0.08789765000000001,0.00236172,0.00271468,-0.000352956,False,0.00240566,0.00276132,-0.000355659,False,0.00244325,0.00280101,-0.00035776,False,0.00245473,0.00281292,-0.000358183,False,0.100126,0.0652079,0.147908,0.0383487,1.18575,1.18877,1.16471e-09,1.2,0.0313671
27,train,3,0,True,True,0.0058422,0.00607886,-0.000236662,0.0366461,0.0368963,0.0366534,0.0369039,0.00590947,0.00614739,False,0.107650075,0.0058422,0.00607886,-0.000236662,False,0.00590392,0.00614174,-0.000237817,False,0.00595517,0.00619389,-0.000238715,False,0.00596994,0.00620878,-0.000238843,False,0.18335,0.0581027,0.094178,0.0949696,1.14394,1.13968,1.1647e-09,1.2,1.04533
28,train,0,0,True,True,0.0105526,0.0112075,-0.00065483,0.0415099,0.0421884,0.0415144,0.0421931,0.01062,0.0112754,False,0.097410225,0.0105526,0.0112075,-0.00065483,False,0.0106145,0.0112699,-0.000655366,False,0.0106654,0.0113212,-0.00065579,False,0.0106803,0.0113359,-0.0006556,False,0.0552567,0.194296,0.0459439,0.0941443,1.03176,1.01155,1.16469e-09,1.2,1.04533
29,train,1,1,True,True,0.0101882,0.00935486,0.000833292,0.0403212,0.0411846,0.0403321,0.0411957,0.00943306,0.0102671,True,0.09303985000000001,0.0101882,0.00935486,0.000833292,True,0.0102606,0.00942664,0.000833995,True,0.0103203,0.00948578,0.000834551,True,0.0103394,0.00950589,0.000833558,True,0.0593254,0.1265,-1.63224e-26,0.186334,1.06423,1.04079,1.16469e-09,1.2,0.0390959
30,train,2,1,True,True,0.00261127,0.00234261,0.000268659,0.0329515,0.0332157,0.0329576,0.0332211,0.00239385,0.00266008,True,0.087483325,0.00261127,0.00234261,0.000268659,True,0.002656,0.00238957,0.000266427,True,0.00269414,0.00242952,0.000264614,True,0.00270566,0.00244169,0.00026397,True,0.0999127,0.0646729,0.147538,0.0378097,1.18874,1.18662,1.16471e-09,1.2,0.0129527
31,train,3,0,True,True,0.00569446,0.00646308,-0.000768618,0.0364968,0.0372925,0.0365042,0.0372999,0.0057624,0.0065315,False,0.10750455,0.00569446,0.00646308,-0.000768618,False,0.0057568,0.00652586,-0.00076906,False,0.00580853,0.00657791,-0.000769377,False,0.00582352,0.00659266,-0.000769141,False,0.184125,0.0574904,0.0938034,0.0945994,1.14644,1.13255,1.2,1.1647e-09,0.0238581
