experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.34,0.13,0.25,0.25,1.0,0.0008,bounded_charge_discharge,none,0.20739,2.16602e-14,0.3,0.207037,2.79717e-13,0.3,-0.0926097,-0.0929627,-0.000352986,-0.000352986,0.34,0.13,0.339627,0.129824,-0.000372976,-0.000176326,-0.00019665,False
pair_action_decrease,0.34,0.13,0.25,0.25,1.0,0.0008,bounded_charge_discharge,none,0.20739,2.16602e-14,0.3,0.207037,1.67941e-13,0.3,-0.0926097,-0.0929632,-0.000353504,0.000353504,0.34,0.13,0.339626,0.129858,-0.000373523,-0.000141663,-0.000231861,True
pair_action_increase,0.34,0.13,0.5,0.25,1.0,0.0008,bounded_charge_discharge,none,0.207395,1.30119e-14,0.3,0.207042,1.82483e-13,0.3,-0.0926048,-0.0929581,-0.000353308,-0.000353308,0.34,0.13,0.339627,0.129824,-0.000372976,-0.000176326,-0.00019665,False
pair_action_decrease,0.34,0.13,0.5,0.25,1.0,0.0008,bounded_charge_discharge,none,0.207395,1.30119e-14,0.3,0.207041,1.07808e-13,0.3,-0.0926048,-0.0929587,-0.000353827,0.000353827,0.34,0.13,0.339626,0.129858,-0.000373523,-0.000141663,-0.000231861,True
pair_action_increase,0.34,0.13,0.75,0.25,1.0,0.0008,bounded_charge_discharge,none,0.207398,7.61178e-15,0.3,0.207044,1.10377e-13,0.3,-0.0926023,-0.0929556,-0.000353307,-0.000353307,0.34,0.13,0.339627,0.129824,-0.000372976,-0.000176326,-0.00019665,False
pair_action_decrease,0.34,0.13,0.75,0.25,1.0,0.0008,bounded_charge_discharge,none,0.207398,7.61178e-15,0.3,0.207044,6.4788e-14,0.3,-0.0926023,-0.0929561,-0.000353826,0.000353826,0.34,0.13,0.339626,0.129858,-0.000373523,-0.000141663,-0.000231861,True
