image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,35,0.8575,1715,9.601830292,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,36,0.858,1716,9.891074167000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,37,0.8585,1717,10.162087375,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,38,0.8575,1715,10.429710833,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,39,0.8565,1713,10.695891208,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,40,0.857,1714,10.982344750000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,41,0.859,1718,11.274918125000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,42,0.858,1716,11.571162375,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,43,0.8615,1723,11.837108833,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,44,0.857,1714,12.102168292,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,45,0.862,1724,12.375305708,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,46,0.862,1724,12.648154875000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,47,0.86,1720,12.913355792,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,48,0.86,1720,13.178377292000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,49,0.8615,1723,13.443968542000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,50,0.8625,1725,13.72239825,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,51,0.861,1722,13.987196542000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,52,0.864,1728,14.256189791999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,53,0.866,1732,14.524398667000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,54,0.8625,1725,14.808188625000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,55,0.8645,1729,15.091006917,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,56,0.865,1730,15.373232332999999,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,57,0.8605,1721,15.637779917000001,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,58,0.867,1734,15.902971333000002,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,59,0.865,1730,16.168790082999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,60,0.867,1734,16.436514582999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,61,0.866,1732,16.702407082999997,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,62,0.867,1734,16.968867541999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,63,0.8675,1735,17.262722083,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,64,0.8695,1739,17.528776667,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,65,0.8675,1735,17.795016333,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,66,0.867,1734,18.060965292,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,67,0.8685,1737,18.35557975,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,68,0.866,1732,18.627046042,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,69,0.8665,1733,18.8920545,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,70,0.8685,1737,19.164113,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,71,0.8705,1741,19.446483167,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,72,0.87,1740,19.716015875,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,73,0.8725,1745,19.997227291999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,74,0.87,1740,20.293986333,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,75,0.8685,1737,20.582409082999998,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,76,0.8675,1735,20.850581583,shared_kernel,32,2,180,10,224,224,56,504,288,468
9,4,2,9,2,18,5000,2000,0.005,0.025,0.0,0,77,0.868,1736,21.13067925,shared_kernel,32,2,180,10,224,224,56,504,288,468
