experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,lead_mode,pre_gate_mode,pre_boost_v,pre_boost_cap_f,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3488,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.724803,0.213372,2.16628e-14,0.3,0.213359,1.38066e-12,0.3,-0.0866285,-0.0866412,-1.26731e-05,-1.26731e-05,0.213372,2.16628e-14,0.3,0.213359,1.38066e-12,0.3,-0.0866285,-0.0866412,-1.26731e-05,1.26731e-05,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3488,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.724803,0.213372,2.16628e-14,0.3,0.213359,1.38066e-12,0.3,-0.0866285,-0.0866412,-1.26731e-05,1.26731e-05,0.213372,2.16628e-14,0.3,0.213359,1.38066e-12,0.3,-0.0866285,-0.0866412,-1.26731e-05,-1.26731e-05,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3316,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.849709,0.19944,1.30135e-14,0.3,0.198754,9.47779e-13,0.3,-0.10056,-0.101246,-0.000685762,-0.000685762,0.19944,1.30135e-14,0.3,0.198754,9.47779e-13,0.3,-0.10056,-0.101246,-0.000685762,0.000685762,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3316,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.849709,0.19944,1.30135e-14,0.3,0.198754,9.47779e-13,0.3,-0.10056,-0.101246,-0.000685762,0.000685762,0.19944,1.30135e-14,0.3,0.198754,9.47779e-13,0.3,-0.10056,-0.101246,-0.000685762,-0.000685762,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.849709,0.207395,1.30135e-14,0.3,0.206692,9.47779e-13,0.3,-0.0926049,-0.0933081,-0.000703257,-0.000703257,0.207395,1.30135e-14,0.3,0.206692,9.47779e-13,0.3,-0.0926049,-0.0933081,-0.000703257,0.000703257,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.849709,0.207395,1.30135e-14,0.3,0.206692,9.47779e-13,0.3,-0.0926049,-0.0933081,-0.000703257,0.000703257,0.207395,1.30135e-14,0.3,0.206692,9.47779e-13,0.3,-0.0926049,-0.0933081,-0.000703257,-0.000703257,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3488,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.849709,0.215732,1.30135e-14,0.3,0.21501,9.47779e-13,0.3,-0.0842684,-0.08499,-0.000721586,-0.000721586,0.215732,1.30135e-14,0.3,0.21501,9.47779e-13,0.3,-0.0842684,-0.08499,-0.000721586,0.000721586,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3488,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.849709,0.215732,1.30135e-14,0.3,0.21501,9.47779e-13,0.3,-0.0842684,-0.08499,-0.000721586,0.000721586,0.215732,1.30135e-14,0.3,0.21501,9.47779e-13,0.3,-0.0842684,-0.08499,-0.000721586,-0.000721586,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3316,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.974615,0.199442,7.61271e-15,0.3,0.198756,5.85481e-13,0.3,-0.100558,-0.101244,-0.000686063,-0.000686063,0.199442,7.61271e-15,0.3,0.198756,5.85481e-13,0.3,-0.100558,-0.101244,-0.000686063,0.000686063,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3316,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.974615,0.199442,7.61271e-15,0.3,0.198756,5.85481e-13,0.3,-0.100558,-0.101244,-0.000686063,0.000686063,0.199442,7.61271e-15,0.3,0.198756,5.85481e-13,0.3,-0.100558,-0.101244,-0.000686063,-0.000686063,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.974615,0.207398,7.61271e-15,0.3,0.206694,5.85481e-13,0.3,-0.0926024,-0.0933059,-0.000703577,-0.000703577,0.207398,7.61271e-15,0.3,0.206694,5.85481e-13,0.3,-0.0926024,-0.0933059,-0.000703577,0.000703577,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.974615,0.207398,7.61271e-15,0.3,0.206694,5.85481e-13,0.3,-0.0926024,-0.0933059,-0.000703577,0.000703577,0.207398,7.61271e-15,0.3,0.206694,5.85481e-13,0.3,-0.0926024,-0.0933059,-0.000703577,-0.000703577,True,False,False
error_rule_action_label0_mistake,lead_mistake_lowtarget,0.3488,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,5.10322e-39,0.0,0.0,5.10322e-39,0.974615,0.215734,7.61271e-15,0.3,0.215012,5.85481e-13,0.3,-0.0842659,-0.0849879,-0.000721928,-0.000721928,0.215734,7.61271e-15,0.3,0.215012,5.85481e-13,0.3,-0.0842659,-0.0849879,-0.000721928,0.000721928,False,True,False
error_rule_action_label1_mistake,lead_mistake_lowtarget,0.3488,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,out_senseamp,boosted,1.2,2.0,0.0,5.10322e-39,5.10322e-39,0.0,0.974615,0.215734,7.61271e-15,0.3,0.215012,5.85481e-13,0.3,-0.0842659,-0.0849879,-0.000721928,0.000721928,0.215734,7.61271e-15,0.3,0.215012,5.85481e-13,0.3,-0.0842659,-0.0849879,-0.000721928,-0.000721928,True,False,False
