cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.32064e-114,-1.77072e-114,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,True,0.07119832499999999,0.0629245,0.129433,-3.32793e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,2.16854e-162,-2.90759e-162,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846075,0.121207,0.12109,0.341442,0.341417,9.56514e-183,7.5258e-199,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670613,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.57388e-230,1.23832e-246,,,,,,,
4,train,0,0,True,False,0.128787,0.135701,-0.00691319,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,-1.26433e-96,-9.86147e-97,3.68873e-07,,,,,,
5,train,1,1,False,False,0.135687,0.128409,0.00727766,True,0.071197075,0.062923,0.129432,-2.02108e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,-9.12711e-146,-7.11894e-146,5.69398e-07,,,,,,
6,train,2,1,False,False,0.136535,0.129894,0.00664075,True,0.0967776625,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,0.341484,0.341459,-6.57522e-195,-5.12852e-195,6.29169e-07,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670609,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,3.00923e-199,-1.13553e-198,2.16034e-07,-0.00660606,0.000100024,0.159917,3.41143e-06,0.159917,5.5254e-07
8,train,0,0,True,False,0.128962,0.13544,-0.00647796,False,0.09056709999999998,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691836,0.11159,0.094154,0.33932,0.33929,2.34539e-114,1.55864e-114,7.15656e-07,,,,,,
9,train,1,1,False,False,0.136258,0.12851,0.00774882,True,0.0711959625,0.0629216,0.129431,-2.02103e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339537,0.339251,-6.04779e-158,4.41994e-158,1.04004e-06,,,,,,
10,train,2,1,False,False,0.136534,0.129902,0.0066328,True,0.0967765375,0.101401,0.0690117,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341455,0.341459,-4.35686e-207,3.18415e-207,6.29164e-07,,,,,,
11,train,3,0,False,True,0.131625,0.138231,-0.00660611,False,0.09145738750000001,0.177599,0.0626016,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.339937,0.339884,3.11118e-199,6.40999e-198,1.95718e-07,-0.00648589,0.000120226,0.159268,3.4114e-06,0.159268,5.52536e-07
12,train,0,0,True,False,0.129902,0.135468,-0.00556632,False,0.0905660125,0.0587687,0.19442,0.0493421,0.099233,0.0478387,0.0691821,0.111591,0.0941525,0.339103,0.339241,8.47339e-106,2.63894e-105,0.0263552,,,,,,
13,train,1,1,False,False,0.13725,0.12871,0.00854004,True,0.0711947,0.0629201,0.129429,-2.02097e-26,0.186796,0.0107444,0.0814912,0.0435776,0.0545993,0.339329,0.338974,6.11689e-155,1.90503e-154,0.0353706,,,,,,
14,train,2,1,False,False,0.137386,0.130817,0.00656885,True,0.0967752875,0.1014,0.0690101,0.150532,0.0421615,0.0842033,0.0846044,0.121204,0.121087,0.341412,0.341458,-2.56241e-181,8.20843e-172,6.29159e-07,,,,,,
15,train,3,0,False,True,0.131772,0.138258,-0.00648595,False,0.0914564125,0.1776,0.0625998,0.0967069,0.0976895,0.0551277,0.112823,0.0751172,0.0539872,0.339869,0.339832,-8.13628e-199,-4.97267e-198,6.06811e-07,-0.00635023,0.000135717,0.158596,3.41137e-06,0.158596,5.52533e-07
16,final_eval,0,0,False,False,0.132809,0.135529,-0.00272079,False,0.0905648,0.0587673,0.194419,0.0493408,0.099231,0.0478377,0.0691806,0.111591,0.094151,0.338519,0.339103,1.03331e-105,-9.3199e-106,,,,,,,
17,final_eval,1,1,False,False,0.139454,0.129303,0.0101516,True,0.07119358749999999,0.0629186,0.129428,-3.32755e-26,0.186795,0.0107434,0.0814891,0.0435769,0.0545977,0.338668,0.338336,1.69674e-153,-1.53036e-153,,,,,,,
18,final_eval,2,1,False,False,0.137385,0.13083,0.00655489,True,0.09677416250000001,0.101399,0.0690085,0.150531,0.04216,0.0842024,0.0846034,0.121203,0.121086,0.341282,0.341414,6.6735e-181,2.70747e-172,,,,,,,
19,final_eval,3,0,False,False,0.131967,0.138317,-0.00635032,False,0.09145531250000001,0.1776,0.062598,0.0967057,0.0976881,0.0551267,0.112822,0.0751163,0.0539857,0.339724,0.339687,1.33791e-105,-4.12314e-106,,,,,,,
