cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.12822,0.135296,-0.00707552,False,0.0905694,0.0587727,0.194423,0.0493459,0.0992391,0.0478418,0.0691868,0.111589,0.0941569,,,,,
1,initial_eval,1,1,0.135317,0.127951,0.00736541,True,0.0711983125,0.0629245,0.129433,-3.32808e-26,0.1868,0.0107475,0.0814973,0.04358,0.0546042,,,,,
2,initial_eval,2,1,0.136376,0.12967,0.00670683,True,0.09677895,0.101403,0.069015,0.150537,0.0421659,0.0842061,0.0846076,0.121207,0.12109,,,,,
3,initial_eval,3,0,0.131887,0.138652,-0.00676487,False,0.091459475,0.177598,0.0626052,0.0967104,0.0976939,0.0551306,0.112826,0.07512,0.0539917,,,,,
4,train,0,0,0.128219,0.135294,-0.00707549,False,0.090568325,0.0587714,0.194422,0.0493446,0.0992371,0.0478408,0.0691852,0.11159,0.0941555,-0.0065814,0.000494092,0.00347854,5.53203e-07,3.68873e-07
5,train,2,1,0.136375,0.130168,0.00620726,True,0.096777775,0.101402,0.0690132,0.150535,0.0421648,0.0842054,0.0846068,0.121206,0.121089,0.00669988,0.000492611,0.00356166,5.53202e-07,6.29171e-07
6,train,1,1,0.135802,0.128442,0.00736027,True,0.07119673750000001,0.0629227,0.129431,-7.17144e-26,0.186798,0.0107463,0.0814947,0.043579,0.0546022,0.00785567,0.000495403,0.0035471,5.53201e-07,5.69395e-07
7,train,3,0,0.132397,0.139664,-0.00726766,False,0.091458425,0.177599,0.0626028,0.0967093,0.0976924,0.0551296,0.112825,0.0751191,0.0539902,-0.00674918,0.000518475,0.00346373,5.53201e-07,2.16034e-07
8,train,0,0,0.12921,0.136273,-0.00706333,False,0.0905672125,0.05877,0.194422,0.0493433,0.099235,0.0478397,0.0691837,0.11159,0.094154,-0.00655599,0.000507337,0.00344889,5.532e-07,3.63222e-07
9,train,2,1,0.137366,0.131186,0.0061799,True,0.0967765875,0.101401,0.0690111,0.150534,0.0421633,0.0842045,0.0846058,0.121205,0.121088,0.00668545,0.000505554,0.00353247,5.53198e-07,6.29166e-07
10,train,1,1,0.136796,0.129444,0.00735219,True,0.07119560000000001,0.0629212,0.12943,-7.17135e-26,0.186797,0.0107453,0.0814926,0.0435782,0.0546005,0.00786055,0.000508353,0.00351782,5.53198e-07,5.69386e-07
