experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,lead_mode,pre_gate_mode,pre_boost_v,pre_boost_cap_f,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label1_mistake,lead_mistake_outlow,0.3488,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.724803,0.213369,2.24437e-14,0.3,0.213368,2.32683e-18,0.3,-0.0866311,-0.0866318,-6.68225e-07,6.68225e-07,0.213369,2.24437e-14,0.3,0.213384,2.2388e-14,0.3,-0.0866311,-0.0866159,1.52402e-05,1.52402e-05,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3316,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.849709,0.199264,1.34999e-14,0.3,0.203285,1.34663e-14,0.3,-0.100736,-0.0967152,0.00402086,0.00402086,0.199264,1.34999e-14,0.3,0.199235,2.37362e-19,0.3,-0.100736,-0.100765,-2.94151e-05,2.94151e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3316,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.849709,0.199264,1.34999e-14,0.3,0.199235,2.37362e-19,0.3,-0.100736,-0.100765,-2.94151e-05,2.94151e-05,0.199264,1.34999e-14,0.3,0.203285,1.34663e-14,0.3,-0.100736,-0.0967152,0.00402086,0.00402086,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.849709,0.207212,1.34999e-14,0.3,0.211022,1.34663e-14,0.3,-0.0927885,-0.0889782,0.00381026,0.00381026,0.207212,1.34999e-14,0.3,0.207179,2.37362e-19,0.3,-0.0927885,-0.0928207,-3.2185e-05,3.2185e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.849709,0.207212,1.34999e-14,0.3,0.207179,2.37362e-19,0.3,-0.0927885,-0.0928207,-3.2185e-05,3.2185e-05,0.207212,1.34999e-14,0.3,0.211022,1.34663e-14,0.3,-0.0927885,-0.0889782,0.00381026,0.00381026,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3488,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.849709,0.21554,1.34999e-14,0.3,0.219132,1.34663e-14,0.3,-0.0844603,-0.0808675,0.00359275,0.00359275,0.21554,1.34999e-14,0.3,0.215504,2.37362e-19,0.3,-0.0844603,-0.0844957,-3.54584e-05,3.54584e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3488,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.849709,0.21554,1.34999e-14,0.3,0.215504,2.37362e-19,0.3,-0.0844603,-0.0844957,-3.54584e-05,3.54584e-05,0.21554,1.34999e-14,0.3,0.219132,1.34663e-14,0.3,-0.0844603,-0.0808675,0.00359275,0.00359275,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3316,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.974615,0.199266,7.90072e-15,0.3,0.204533,7.8819e-15,0.3,-0.100734,-0.0954665,0.00526703,0.00526703,0.199266,7.90072e-15,0.3,0.199238,3.16907e-20,0.3,-0.100734,-0.100762,-2.819e-05,2.819e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3316,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.974615,0.199266,7.90072e-15,0.3,0.199238,3.16907e-20,0.3,-0.100734,-0.100762,-2.819e-05,2.819e-05,0.199266,7.90072e-15,0.3,0.204533,7.8819e-15,0.3,-0.100734,-0.0954665,0.00526703,0.00526703,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.974615,0.207214,7.90072e-15,0.3,0.212257,7.8819e-15,0.3,-0.092786,-0.0877431,0.00504293,0.00504293,0.207214,7.90072e-15,0.3,0.207183,3.16907e-20,0.3,-0.092786,-0.0928168,-3.078e-05,3.078e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.974615,0.207214,7.90072e-15,0.3,0.207183,3.16907e-20,0.3,-0.092786,-0.0928168,-3.078e-05,3.078e-05,0.207214,7.90072e-15,0.3,0.212257,7.8819e-15,0.3,-0.092786,-0.0877431,0.00504293,0.00504293,True,True,True
error_rule_action_label0_mistake,lead_mistake_outlow,0.3488,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,1.1418,0.0,0.0,1.1418,0.974615,0.215542,7.90072e-15,0.3,0.220353,7.8819e-15,0.3,-0.0844578,-0.0796468,0.00481101,0.00481101,0.215542,7.90072e-15,0.3,0.215508,3.16907e-20,0.3,-0.0844578,-0.0844916,-3.38514e-05,3.38514e-05,True,True,True
error_rule_action_label1_mistake,lead_mistake_outlow,0.3488,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,state_high_discharge,out_senseamp,boosted,1.2,2.0,0.0,1.1418,1.1418,0.0,0.974615,0.215542,7.90072e-15,0.3,0.215508,3.16907e-20,0.3,-0.0844578,-0.0844916,-3.38514e-05,3.38514e-05,0.215542,7.90072e-15,0.3,0.220353,7.8819e-15,0.3,-0.0844578,-0.0796468,0.00481101,0.00481101,True,True,True
