cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.12822,0.135296,-0.00707552,False,0.0905694,0.0587727,0.194423,0.0493459,0.0992391,0.0478418,0.0691868,0.111589,0.0941569,,,,,
1,initial_eval,1,1,0.135317,0.127951,0.00736541,True,0.0711983125,0.0629245,0.129433,-3.32808e-26,0.1868,0.0107475,0.0814973,0.04358,0.0546042,,,,,
2,initial_eval,2,1,0.136376,0.12967,0.00670683,True,0.09677895,0.101403,0.069015,0.150537,0.0421659,0.0842061,0.0846076,0.121207,0.12109,,,,,
3,initial_eval,3,0,0.131887,0.138652,-0.00676487,False,0.091459475,0.177598,0.0626052,0.0967104,0.0976939,0.0551306,0.112826,0.07512,0.0539917,,,,,
4,train,1,1,0.135316,0.12795,0.00736539,True,0.071197425,0.0629234,0.129432,-7.02807e-26,0.186799,0.0107468,0.0814958,0.0435794,0.054603,0.00785452,0.000489127,0.00356165,5.53203e-07,5.69398e-07
5,train,0,0,0.130649,0.138036,-0.00738696,False,0.09056797500000001,0.058771,0.194422,0.0493443,0.0992364,0.0478405,0.0691847,0.11159,0.0941549,-0.00706843,0.000318533,0.00347854,5.53202e-07,3.68873e-07
6,train,2,1,0.136868,0.130168,0.00670004,True,0.096777625,0.101402,0.0690128,0.150535,0.0421644,0.0842052,0.0846066,0.121206,0.121089,0.00719904,0.000499004,0.0035471,5.53201e-07,6.2917e-07
7,train,3,0,0.132397,0.139664,-0.00726766,False,0.091458425,0.177599,0.0626028,0.0967093,0.0976924,0.0551296,0.112825,0.0751191,0.0539902,-0.00674918,0.000518475,0.00346373,5.53201e-07,2.16034e-07
8,train,1,1,0.136297,0.128939,0.00735779,True,0.07119614999999999,0.0629219,0.129431,-4.24831e-26,0.186797,0.0107458,0.0814936,0.0435786,0.0546013,0.00785961,0.000501814,0.00353247,5.532e-07,5.69389e-07
9,train,0,0,0.129209,0.136772,-0.00756315,False,0.09056692499999999,0.0587696,0.194422,0.049343,0.0992345,0.0478394,0.0691833,0.11159,0.0941536,-0.00705578,0.000507367,0.00344888,5.53199e-07,3.63221e-07
10,train,2,1,0.137872,0.131186,0.00668561,True,0.096776425,0.101401,0.0690107,0.150534,0.0421629,0.0842043,0.0846055,0.121205,0.121088,0.00719783,0.000512218,0.00351782,5.53197e-07,6.29165e-07
