cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
59,train,29,1,True,True,0.214487,0.152816,0.0616715,0.18796,0.251378,0.0356536,0.0295981,0.152818,0.214486,True,0.3406239999999999,0.214487,0.152816,0.0616715,True,0.101853,0.563537,0.583379,0.113727,0.314033,0.329134,1.2,0.147685,0.0256395,0.118943,0.118943,0.0616717,1.9234e-07,2.33777e-06,1.61522e-06,2.33777e-06,2.83616e-06
60,train,14,0,True,True,0.169085,0.115348,0.0537369,0.204697,0.149178,0.0707757,0.0215449,0.169087,0.115345,True,0.7427905,0.169085,0.115348,0.0537369,True,0.77022,0.660504,0.770218,0.77022,0.0095321,0.335105,0.129666,1.2,0.0255525,0.0825459,0.0825459,0.0538268,8.99127e-05,2.33775e-06,1.61521e-06,2.33775e-06,2.83615e-06
61,train,30,1,True,True,0.220795,0.152812,0.0679831,0.187956,0.257861,0.0374234,0.0221901,0.152815,0.220794,True,0.16665275000000002,0.220795,0.152812,0.0679831,True,0.08,0.214809,0.209604,0.162198,0.302703,0.330509,1.2,0.145897,0.0256407,0.118936,0.118936,0.0679834,2.66753e-07,2.33773e-06,1.6152e-06,2.33773e-06,2.83614e-06
62,train,15,0,True,True,0.169054,0.117193,0.0518609,0.204665,0.151228,0.0707685,0.0215318,0.169056,0.117194,True,0.6019215,0.169054,0.117193,0.0518609,True,0.684605,0.467712,0.570865,0.684504,0.00953427,0.335042,0.132447,1.2,0.0257514,0.084341,0.084341,0.0518862,2.53076e-05,2.33772e-06,1.61518e-06,2.33772e-06,2.83613e-06
63,train,31,1,True,True,0.212827,0.152809,0.0600179,0.187953,0.249672,0.0547032,0.051643,0.152811,0.212826,True,0.29591825,0.212827,0.152809,0.0600179,True,0.106901,0.507163,0.389555,0.180054,0.0494237,0.111055,1.2,0.148181,0.0255453,0.118937,0.118937,0.060018,1.53635e-07,2.3377e-06,1.61517e-06,2.3377e-06,2.83611e-06
64,final_eval,0,0,False,False,0.169002,0.122486,0.0465158,0.204611,0.156725,0.0707545,0.0214914,0.169003,0.122489,True,0.5246405,0.169002,0.122486,0.0465158,True,0.531747,0.513496,0.535893,0.517426,0.00953852,0.334828,1.19653,1.15074,,,,,,,,,
65,final_eval,1,0,False,False,0.169053,0.116794,0.0522586,0.204664,0.150814,0.0707707,0.0215352,0.169054,0.116795,True,0.5838835,0.169053,0.116794,0.0522586,True,0.699919,0.417568,0.496653,0.721394,0.00953361,0.335014,1.18589,1.14137,,,,,,,,,
66,final_eval,2,0,False,False,0.168963,0.129084,0.0398782,0.204571,0.163529,0.0707443,0.021438,0.168964,0.129087,True,0.64020725,0.168963,0.129084,0.0398782,True,0.421678,0.770219,0.770219,0.598713,0.00954159,0.334626,1.17534,1.13958,,,,,,,,,
67,final_eval,3,0,False,False,0.169046,0.116982,0.0520643,0.204657,0.151012,0.0707701,0.0215317,0.169048,0.116983,True,0.71299175,0.169046,0.116982,0.0520643,True,0.69252,0.690144,0.722441,0.746862,0.0095338,0.335003,1.16487,1.13983,,,,,,,,,
68,final_eval,4,0,False,False,0.168988,0.123218,0.0457702,0.204598,0.157481,0.0542637,0.026924,0.16899,0.123221,True,0.674525,0.168988,0.123218,0.0457702,True,0.516261,0.744649,0.77022,0.66697,0.058161,0.333146,1.15448,1.13965,,,,,,,,,
69,final_eval,5,0,False,False,0.164709,0.136024,0.0286855,0.200196,0.170676,0.0681099,0.0213828,0.164711,0.136026,True,0.438589,0.164709,0.136024,0.0286855,True,0.350727,0.486348,0.453581,0.4637,0.0104258,0.33444,1.14423,1.13956,,,,,,,,,
70,final_eval,6,0,False,False,0.169034,0.11744,0.0515941,0.204645,0.151494,0.0707695,0.0215305,0.169036,0.117442,True,0.5992375,0.169034,0.11744,0.0515941,True,0.674625,0.525695,0.662635,0.533995,0.00953397,0.334991,1.13955,1.13988,,,,,,,,,
71,final_eval,7,0,False,False,0.163688,0.137223,0.0264654,0.199146,0.17191,0.0672462,0.0213735,0.16369,0.137225,True,0.43275425,0.163688,0.137223,0.0264654,True,0.341263,0.434023,0.518626,0.437105,0.0107599,0.33441,1.13966,1.13949,,,,,,,,,
