vin,cint_f,rleak_ohm,vth_v,sigma_v,trials,pulse_width_mean_s,pulse_width_std_s,pulse_width_code_0_1,vmax_mean,ecap_peak_j_mean,source,simulator
0.075,3e-15,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0212895,2.26621e-18,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-15,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.028386000000000005,4.02881e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-15,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0354825,6.2950199999999995e-18,spice,ngspice-46 : Circuit level simulation program
0.15,3e-15,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0425789,9.06483e-18,spice,ngspice-46 : Circuit level simulation program
0.0,3e-15,10000000.0,0.004,0.001,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-15,10000000.0,0.004,0.001,3,5.133333333333334e-11,1.890987396397272e-11,0.0008555555555555557,0.00709649,2.51801e-19,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-15,10000000.0,0.004,0.001,3,6.483333333333333e-11,3.0579132318189365e-11,0.0010805555555555555,0.014193000000000002,1.0072e-18,spice,ngspice-46 : Circuit level simulation program
0.075,3e-15,10000000.0,0.004,0.001,3,1.571e-08,2.7126098710467012e-08,0.26183333333333336,0.0212895,2.26621e-18,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-15,10000000.0,0.004,0.001,3,1.89225e-08,3.258856701360156e-08,0.315375,0.028386000000000005,4.02881e-18,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-15,10000000.0,0.004,0.001,3,1.0983333333333333e-10,2.8811166816589243e-11,0.0018305555555555555,0.0354825,6.2950199999999995e-18,spice,ngspice-46 : Circuit level simulation program
0.15,3e-15,10000000.0,0.004,0.001,3,1.1666666666666668e-10,1.2583057392117918e-10,0.0019444444444444448,0.0425789,9.06483e-18,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00196973,1.93993e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00393947,7.7597e-20,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,2000000.0,0.004,0.0,3,1.163e-08,0.0,0.19383333333333336,0.0059092,1.74593e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,2000000.0,0.004,0.0,3,1.9115e-08,0.0,0.31858333333333333,0.00787893,3.10388e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,2000000.0,0.004,0.0,3,2.45675e-08,0.0,0.40945833333333337,0.00984867,4.84981e-19,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,2000000.0,0.004,0.0,3,2.88265e-08,0.0,0.4804416666666667,0.0118184,6.983729999999999e-19,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,2000000.0,0.004,0.001,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,2000000.0,0.004,0.001,3,0.0,0.0,0.0,0.00196973,1.93993e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,2000000.0,0.004,0.001,3,5.5e-11,6.49519052838329e-11,0.0009166666666666668,0.00393947,7.7597e-20,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,2000000.0,0.004,0.001,3,2.8500000000000002e-11,2.944486372867091e-11,0.00047500000000000005,0.0059092,1.74593e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,2000000.0,0.004,0.001,3,5.8000000000000007e-11,4.442127868488255e-11,0.0009666666666666669,0.00787893,3.10388e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,2000000.0,0.004,0.001,3,1.29e-10,1.1696901299062076e-10,0.00215,0.00984867,4.84981e-19,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,2000000.0,0.004,0.001,3,1.0966666666666666e-10,1.0333965034454749e-10,0.0018277777777777778,0.0118184,6.983729999999999e-19,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00226949,2.5753e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,5000000.0,0.004,0.0,3,7.638e-09,0.0,0.12730000000000002,0.00453898,1.03012e-19,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,5000000.0,0.004,0.0,3,3.1e-08,0.0,0.5166666666666667,0.00680847,2.31777e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,5000000.0,0.004,0.0,3,4.68445e-08,0.0,0.7807416666666668,0.00907797,4.12047e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.011347500000000002,6.438239999999999e-19,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0136169,9.27106e-19,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,5000000.0,0.004,0.001,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,5000000.0,0.004,0.001,3,4.844000000000001e-11,5.985625113553304e-11,0.0008073333333333335,0.00226949,2.5753e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,5000000.0,0.004,0.001,3,1.15e-11,0.0,0.0001916666666666667,0.00453898,1.03012e-19,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,5000000.0,0.004,0.001,3,2.5500000000000002e-11,6.928203230275509e-12,0.0004250000000000001,0.00680847,2.31777e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,5000000.0,0.004,0.001,3,6.383333333333333e-11,2.0312147432837656e-11,0.001063888888888889,0.00907797,4.12047e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,5000000.0,0.004,0.001,3,8.750000000000001e-11,2.1650635094610966e-11,0.0014583333333333336,0.011347500000000002,6.438239999999999e-19,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,5000000.0,0.004,0.001,3,5.3000000000000004e-11,4.0703193977868616e-11,0.0008833333333333335,0.0136169,9.27106e-19,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00238334,2.84015e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,10000000.0,0.004,0.0,3,1.92375e-08,0.0,0.320625,0.00476667,1.13606e-19,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.007150010000000001,2.55613e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00953335,4.54424e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0119167,7.10037e-19,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0143,1.02245e-18,spice,ngspice-46 : Circuit level simulation program
0.0,1e-14,10000000.0,0.004,0.001,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,1e-14,10000000.0,0.004,0.001,3,2.25e-11,8.660254037844386e-12,0.000375,0.00238334,2.84015e-20,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,1e-14,10000000.0,0.004,0.001,3,3.85e-11,2.1000000000000002e-11,0.0006416666666666668,0.00476667,1.13606e-19,spice,ngspice-46 : Circuit level simulation program
0.075,1e-14,10000000.0,0.004,0.001,3,7.366666666666666e-11,5.328304921204615e-11,0.0012277777777777777,0.007150010000000001,2.55613e-19,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,1e-14,10000000.0,0.004,0.001,3,6.949999999999999e-11,8.492349498224857e-11,0.0011583333333333333,0.00953335,4.54424e-19,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,1e-14,10000000.0,0.004,0.001,3,5.983333333333333e-11,4.1292654714044885e-11,0.0009972222222222223,0.0119167,7.10037e-19,spice,ngspice-46 : Circuit level simulation program
0.15,1e-14,10000000.0,0.004,0.001,3,1.656666666666667e-10,2.2034083446636333e-10,0.0027611111111111118,0.0143,1.02245e-18,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.000768869,2.9558e-21,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00153774,1.18232e-20,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00230661,2.66022e-20,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00307548,4.72928e-20,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,2000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00384435,7.3895e-20,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,2000000.0,0.004,0.0,3,1.0000000000000002e-08,2.0261704258777473e-24,0.1666666666666667,0.00461322,1.06409e-19,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,2000000.0,0.004,0.001,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,2000000.0,0.004,0.001,3,0.0,0.0,0.0,0.000768869,2.9558e-21,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,2000000.0,0.004,0.001,3,0.0,0.0,0.0,0.00153774,1.18232e-20,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,2000000.0,0.004,0.001,3,2.5500000000000002e-11,6.928203230275509e-12,0.0004250000000000001,0.00230661,2.66022e-20,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,2000000.0,0.004,0.001,3,2.4500000000000003e-11,1.7578395831246945e-11,0.0004083333333333334,0.00307548,4.72928e-20,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,2000000.0,0.004,0.001,3,8.816666666666666e-11,6.900966115938647e-11,0.0014694444444444444,0.00384435,7.3895e-20,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,2000000.0,0.004,0.001,3,7.033333333333334e-11,4.1001016247567977e-11,0.0011722222222222223,0.00461322,1.06409e-19,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.000807664,3.2616e-21,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00161533,1.30464e-20,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00242299,2.93544e-20,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,5000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00323065,5.21857e-20,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,5000000.0,0.004,0.0,3,1.5375e-09,0.0,0.025625000000000002,0.00403832,8.15401e-20,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,5000000.0,0.004,0.0,3,3.0582e-08,0.0,0.5097,0.00484598,1.17418e-19,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,5000000.0,0.004,0.001,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,5000000.0,0.004,0.001,3,0.0,0.0,0.0,0.000807664,3.2616e-21,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,5000000.0,0.004,0.001,3,0.0,0.0,0.0,0.00161533,1.30464e-20,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,5000000.0,0.004,0.001,3,3.0500000000000005e-11,1.3527749258468684e-11,0.0005083333333333334,0.00242299,2.93544e-20,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,5000000.0,0.004,0.001,3,5.116666666666667e-11,3.55117351495718e-11,0.0008527777777777779,0.00323065,5.21857e-20,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,5000000.0,0.004,0.001,3,4.4333333333333335e-11,2.886751345948119e-13,0.000738888888888889,0.00403832,8.15401e-20,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,5000000.0,0.004,0.001,3,9.816666666666668e-11,6.476946296931397e-11,0.0016361111111111114,0.00484598,1.17418e-19,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.000821178,3.37167e-21,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00164236,1.34867e-20,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00246353,3.0345e-20,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00328471,5.39467e-20,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,10000000.0,0.004,0.0,3,8.1175e-09,0.0,0.13529166666666667,0.00410589,8.429170000000001e-20,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,10000000.0,0.004,0.0,3,0.0,0.0,0.0,0.00492707,1.2138e-19,spice,ngspice-46 : Circuit level simulation program
0.0,3e-14,10000000.0,0.004,0.001,3,0.0,0.0,0.0,0.0,0.0,spice,ngspice-46 : Circuit level simulation program
0.024999999999999998,3e-14,10000000.0,0.004,0.001,3,0.0,0.0,0.0,0.000821178,3.37167e-21,spice,ngspice-46 : Circuit level simulation program
0.049999999999999996,3e-14,10000000.0,0.004,0.001,3,0.0,0.0,0.0,0.00164236,1.34867e-20,spice,ngspice-46 : Circuit level simulation program
0.075,3e-14,10000000.0,0.004,0.001,3,1.25e-11,4.5825756949558405e-12,0.00020833333333333335,0.00246353,3.0345e-20,spice,ngspice-46 : Circuit level simulation program
0.09999999999999999,3e-14,10000000.0,0.004,0.001,3,2.4500000000000003e-11,1.7578395831246945e-11,0.0004083333333333334,0.00328471,5.39467e-20,spice,ngspice-46 : Circuit level simulation program
0.12499999999999999,3e-14,10000000.0,0.004,0.001,3,4.033333333333333e-11,2.8268062072475596e-11,0.0006722222222222223,0.00410589,8.429170000000001e-20,spice,ngspice-46 : Circuit level simulation program
0.15,3e-14,10000000.0,0.004,0.001,3,6.483333333333333e-11,2.8019338559882768e-11,0.0010805555555555555,0.00492707,1.2138e-19,spice,ngspice-46 : Circuit level simulation program
