chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.905,905,initial,,0.0036946249999996184
5,20,0.904,904,post_chunk_eval,,0.007459583999999797
10,40,0.9,900,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212/overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212_chunk0010_weights.npz,0.011887791999999564
15,60,0.894,894,post_chunk_eval,,0.015381708999999688
20,80,0.894,894,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212/overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212_chunk0020_weights.npz,0.019472208999999907
25,100,0.89,890,post_chunk_eval,,0.022991541999999754
30,120,0.877,877,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212/overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212_chunk0030_weights.npz,0.028695249999999728
35,140,0.888,888,post_chunk_eval,,0.03227254199999985
40,160,0.893,893,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212/overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212_chunk0040_weights.npz,0.03639733399999967
45,180,0.9,900,post_chunk_eval,,0.039880958999999994
50,200,0.89,890,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212/overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212_chunk0050_weights.npz,0.043933999999999696
53,212,0.894,894,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212/overlap12_b6_s2_c2_batch2_lr005_e6_fast_0to212_chunk0053_weights.npz,0.04745279199999963
