cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,-3.17722e-114,-3.17722e-114,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,True,0.07119829999999999,0.0629245,0.129433,-3.32792e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.88309e-144,1.88309e-144,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,-1.10556e-174,-1.10556e-174,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670614,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,6.55251e-205,6.55251e-205,,,,,,,
4,train,0,0,True,False,0.128787,0.1357,-0.00691317,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,-1.47073e-180,1.95895e-180,1.02518e-243,,,,,,
5,train,1,1,False,False,0.135685,0.128407,0.00727798,True,0.071197075,0.062923,0.129432,-3.32782e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,8.37207e-42,9.27897e-42,7.39408e-273,,,,,,
6,train,2,1,False,False,0.137388,0.130803,0.00658475,True,0.0967776625,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,0.341484,0.341459,-4.91525e-72,-5.44769e-72,0.0,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670609,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,2.88575e-102,3.19834e-102,0.0,-0.00670594,1.55102e-07,1.11738e-07,1.35198e-07,1.35198e-07,5.53194e-07
8,train,0,0,True,False,0.128416,0.135355,-0.00693985,False,0.09056711249999999,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691837,0.11159,0.094154,0.339441,0.339319,-1.69422e-132,-1.87775e-132,0.0,,,,,,
9,train,1,1,False,False,0.135684,0.128406,0.00727796,True,0.071195825,0.0629215,0.12943,-3.32772e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339644,0.339413,2.02973e-41,1.31974e-41,0.0,,,,,,
10,train,2,1,False,False,0.137386,0.130802,0.00658471,True,0.0967765375,0.101401,0.0690117,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341484,0.341459,-1.19166e-71,-7.74818e-72,0.0,,,,,,
11,train,3,0,False,True,0.131508,0.138214,-0.00670605,False,0.09145738750000001,0.177599,0.0626016,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.339989,0.339916,6.99623e-102,4.54896e-102,0.0,-0.00670589,1.55102e-07,1.11737e-07,1.35197e-07,1.35197e-07,5.5319e-07
12,train,0,0,True,False,0.128414,0.135354,-0.00693981,False,0.0905660125,0.0587687,0.19442,0.0493421,0.099233,0.0478387,0.0691821,0.111591,0.0941525,0.339441,0.339319,-4.10749e-132,-2.6707e-132,0.0,,,,,,
13,train,1,1,False,False,0.135683,0.128405,0.00727794,True,0.0711947,0.0629201,0.129429,-3.32763e-26,0.186796,0.0107444,0.0814912,0.0435776,0.0545993,0.339644,0.339413,-1.77037e-41,-4.21266e-43,0.0,,,,,,
14,train,2,1,False,False,0.137385,0.1308,0.00658468,True,0.0967752875,0.1014,0.0690101,0.150532,0.0421615,0.0842033,0.0846044,0.121204,0.121087,0.341484,0.341459,1.03939e-71,2.47325e-73,0.0,,,,,,
15,train,3,0,False,True,0.131507,0.138213,-0.006706,False,0.0914564125,0.1776,0.0625998,0.0967069,0.0976895,0.0551277,0.112823,0.0751172,0.0539872,0.339989,0.339915,-6.10225e-102,-1.45205e-103,0.0,-0.00670585,1.55101e-07,1.11736e-07,1.35196e-07,1.35196e-07,5.53187e-07
16,final_eval,0,0,False,False,0.128413,0.135353,-0.00693977,False,0.09056478750000001,0.0587673,0.194419,0.0493408,0.099231,0.0478376,0.0691806,0.111591,0.094151,0.339399,0.339277,3.58264e-132,8.525e-134,,,,,,,
17,final_eval,1,1,False,False,0.135681,0.128403,0.00727792,True,0.07119358749999999,0.0629186,0.129428,-3.32754e-26,0.186795,0.0107434,0.0814891,0.0435769,0.0545977,0.339602,0.339371,-2.12337e-162,-5.05263e-164,,,,,,,
18,final_eval,2,1,False,False,0.137384,0.130799,0.00658464,True,0.09677416250000001,0.101399,0.0690085,0.150531,0.04216,0.0842024,0.0846034,0.121203,0.121086,0.341442,0.341417,1.24663e-192,2.96641e-194,,,,,,,
19,final_eval,3,0,False,False,0.131119,0.137851,-0.0067318,False,0.0914553625,0.1776,0.0625981,0.0967058,0.0976881,0.0551267,0.112822,0.0751164,0.0539858,0.339947,0.339873,-7.31901e-223,-1.74158e-224,,,,,,,
