experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,pre_gate_mode,pre_boost_v,pre_boost_width_u,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.0,4.0,1.14029,0.0,0.0,1.14029,0.62482,0.20739,2.16628e-14,0.3,0.207342,1.06244e-08,0.3,-0.0926097,-0.0926583,-4.86378e-05,-4.86378e-05,0.20739,2.16628e-14,0.3,0.205598,4.27794e-16,0.3,-0.0926097,-0.0944023,-0.00179258,0.00179258,False,True,False
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.0,4.0,0.0,1.14029,1.14029,0.0,0.62482,0.20739,2.16628e-14,0.3,0.205598,4.27794e-16,0.3,-0.0926097,-0.0944023,-0.00179258,0.00179258,0.20739,2.16628e-14,0.3,0.207342,1.06244e-08,0.3,-0.0926097,-0.0926583,-4.86378e-05,-4.86378e-05,True,False,False
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.0,4.0,1.14029,0.0,0.0,1.14029,0.749726,0.207395,1.30135e-14,0.3,0.209308,5.85676e-08,0.3,-0.0926049,-0.0906923,0.00191254,0.00191254,0.207395,1.30135e-14,0.3,0.205122,3.56344e-17,0.3,-0.0926049,-0.0948785,-0.0022736,0.0022736,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.0,4.0,0.0,1.14029,1.14029,0.0,0.749726,0.207395,1.30135e-14,0.3,0.205122,3.56344e-17,0.3,-0.0926049,-0.0948785,-0.0022736,0.0022736,0.207395,1.30135e-14,0.3,0.209308,5.85676e-08,0.3,-0.0926049,-0.0906923,0.00191254,0.00191254,True,True,True
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.0,4.0,1.14029,0.0,0.0,1.14029,0.874633,0.207398,7.61271e-15,0.3,0.211189,1.74964e-07,0.3,-0.0926023,-0.0888105,0.00379187,0.00379187,0.207398,7.61271e-15,0.3,0.204786,3.87018e-18,0.3,-0.0926023,-0.0952144,-0.00261208,0.00261208,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.0,4.0,0.0,1.14029,1.14029,0.0,0.874633,0.207398,7.61271e-15,0.3,0.204786,3.87018e-18,0.3,-0.0926023,-0.0952144,-0.00261208,0.00261208,0.207398,7.61271e-15,0.3,0.211189,1.74964e-07,0.3,-0.0926023,-0.0888105,0.00379187,0.00379187,True,True,True
