experiment,vin,delta_p,delta_n,pre_before,act_before,wp_before,wn_before,gp_after_acc,gn_after_acc,wp_after_apply,wn_after_apply,pre_after,act_after,wp_final,wn_final,signed_before,signed_after,d_signed,d_act
positive_input_sweep,0.0,1.1,0.2,-5.19967e-87,1.13348e-39,0.95,0.25,0.0,0.0,0.949999,0.25,0.0,1.33776e-66,0.949999,0.25,0.7,0.699999,-8.2178e-07,-1.13348e-39
negative_input_sweep,0.0,0.2,1.1,-5.19967e-87,1.13348e-39,0.95,0.25,0.0,0.0,0.949999,0.25,0.0,1.33776e-66,0.949999,0.25,0.7,0.699999,-8.2178e-07,-1.13348e-39
positive_input_sweep,0.2,1.1,0.2,0.2,1.17874e-39,0.95,0.25,0.0,0.0,0.949999,0.25,0.2,1.39118e-66,0.949999,0.25,0.7,0.699999,-8.2178e-07,-1.17874e-39
negative_input_sweep,0.2,0.2,1.1,0.2,1.17874e-39,0.95,0.25,0.0,0.0,0.949999,0.25,0.2,1.39118e-66,0.949999,0.25,0.7,0.699999,-8.2178e-07,-1.17874e-39
positive_input_sweep,0.5,1.1,0.2,0.5,0.132537,0.95,0.25,0.132222,6.14491e-94,0.949999,0.25,0.5,0.13303,0.949999,0.25,0.7,0.699999,-8.22089e-07,0.00049341
negative_input_sweep,0.5,0.2,1.1,0.5,0.132537,0.95,0.25,6.14491e-94,0.132222,0.949999,0.25,0.5,0.13303,0.949999,0.25,0.7,0.699999,-8.22089e-07,0.00049341
positive_input_sweep,0.8,1.1,0.2,0.540948,0.169044,0.95,0.25,0.402969,1.86924e-111,0.949999,2.21919e-09,0.541057,0.169733,0.949999,2.21919e-09,0.7,0.949999,0.249999,0.00068811
negative_input_sweep,0.8,0.2,1.1,0.540948,0.169044,0.95,0.25,1.86924e-111,0.402969,0.249427,0.25,4.44912e-16,-5.83566e-15,0.249427,0.25,0.7,-0.00057277,-0.700573,-0.169044
positive_input_sweep,1.0,1.1,0.2,0.540953,0.169062,0.95,0.25,0.585377,-1.18305e-77,0.949999,3.82956e-46,0.541058,0.169734,0.949999,3.82955e-46,0.7,0.949999,0.249999,0.000671752
negative_input_sweep,1.0,0.2,1.1,0.540953,0.169062,0.95,0.25,-1.18305e-77,0.585377,7.33572e-44,0.25,4.43983e-16,-5.93727e-15,7.33572e-44,0.25,0.7,-0.25,-0.949999,-0.169062
positive_delta_sweep,0.8,0.2,0.2,0.540948,0.169044,0.95,0.25,-3.74698e-35,-3.74698e-35,0.949999,0.25,0.541057,0.169733,0.949999,0.25,0.7,0.699999,-8.21936e-07,0.000688107
positive_delta_sweep,0.8,0.45,0.2,0.540948,0.169044,0.95,0.25,0.0875281,2.62768e-111,0.949999,0.25,0.541057,0.169733,0.949999,0.25,0.7,0.699999,-8.22089e-07,0.000688102
positive_delta_sweep,0.8,0.7,0.2,0.540948,0.169044,0.95,0.25,0.312265,-1.98695e-84,0.949999,0.25,0.541057,0.169733,0.949999,0.25,0.7,0.699999,-8.2194e-07,0.000688103
positive_delta_sweep,0.8,0.9,0.2,0.540948,0.169044,0.95,0.25,0.402904,9.42411e-88,0.949999,2.30648e-09,0.541057,0.169733,0.949999,2.30648e-09,0.7,0.949999,0.249999,0.00068811
positive_delta_sweep,0.8,1.1,0.2,0.540948,0.169044,0.95,0.25,0.402969,1.86924e-111,0.949999,2.21919e-09,0.541057,0.169733,0.949999,2.21919e-09,0.7,0.949999,0.249999,0.00068811
negative_delta_sweep,0.8,0.2,0.2,0.540948,0.169044,0.95,0.25,-3.74698e-35,-3.74698e-35,0.949999,0.25,0.541057,0.169733,0.949999,0.25,0.7,0.699999,-8.21936e-07,0.000688107
negative_delta_sweep,0.8,0.2,0.45,0.540948,0.169044,0.95,0.25,2.62768e-111,0.0875281,0.949999,0.25,0.541057,0.169733,0.949999,0.25,0.7,0.699999,-8.22089e-07,0.000688102
negative_delta_sweep,0.8,0.2,0.7,0.540948,0.169044,0.95,0.25,-1.98695e-84,0.312265,0.949999,0.25,0.541057,0.169733,0.949999,0.25,0.7,0.699999,-8.2194e-07,0.000688103
negative_delta_sweep,0.8,0.2,0.9,0.540948,0.169044,0.95,0.25,9.42411e-88,0.402904,0.251115,0.25,4.44912e-16,-5.83566e-15,0.251115,0.25,0.7,0.00111506,-0.698885,-0.169044
negative_delta_sweep,0.8,0.2,1.1,0.540948,0.169044,0.95,0.25,1.86924e-111,0.402969,0.249427,0.25,4.44912e-16,-5.83566e-15,0.249427,0.25,0.7,-0.00057277,-0.700573,-0.169044
balanced_low,0.8,0.2,0.2,0.540948,0.169044,0.95,0.25,-3.74698e-35,-3.74698e-35,0.949999,0.25,0.541057,0.169733,0.949999,0.25,0.7,0.699999,-8.21936e-07,0.000688107
balanced_high,0.8,1.1,1.1,0.540948,0.169044,0.95,0.25,0.402969,0.402969,0.249427,0.0147548,4.45723e-16,-5.82521e-15,0.249427,0.0147548,0.7,0.234672,-0.465328,-0.169044
