chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.926,926,initial,,0.002183167000000097
5,20,0.923,923,post_chunk_eval,,0.005010541999999951
10,40,0.919,919,post_chunk_eval,,0.009477583000000234
15,60,0.923,923,post_chunk_eval,,0.012217292000000324
20,80,0.926,926,post_chunk_eval,,0.01479029200000026
25,100,0.923,923,post_chunk_eval,,0.01735875000000009
30,120,0.92,920,post_chunk_eval,,0.020169542000000096
35,140,0.918,918,post_chunk_eval,,0.022641125000000262
40,160,0.92,920,post_chunk_eval,,0.025189792000000377
45,180,0.92,920,post_chunk_eval,,0.02809695800000034
50,200,0.918,918,post_chunk_eval,,0.03051704200000005
53,212,0.917,917,post_chunk_eval,,0.03249975000000038
