cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_0500ps,other_out_0500ps,margin_0500ps,correct_0500ps,target_out_0750ps,other_out_0750ps,margin_0750ps,correct_0750ps,target_out_1000ps,other_out_1000ps,margin_1000ps,correct_1000ps,target_out_1250ps,other_out_1250ps,margin_1250ps,correct_1250ps,target_out_1500ps,other_out_1500ps,margin_1500ps,correct_1500ps,target_out_1750ps,other_out_1750ps,margin_1750ps,correct_1750ps,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4050ps,other_out_4050ps,margin_4050ps,correct_4050ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,target_out_5000ps,other_out_5000ps,margin_5000ps,correct_5000ps,target_out_5500ps,other_out_5500ps,margin_5500ps,correct_5500ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
78,train,6,1,True,True,4.02056e-25,6.1896e-25,-2.16904e-25,9.92169e-32,2.76971e-31,0.00139253,0.0530577,0.0635959,0.0968806,False,2.78701e-25,4.02056e-25,6.1896e-25,-2.16904e-25,False,0.0452017,0.0636064,-0.0184047,False,0.0911252,0.0636056,0.0275196,True,0.0942383,0.0636048,0.0306335,True,0.0953366,0.063604,0.0317326,True,0.0958979,0.0636032,0.0322946,True,0.0962385,0.0636024,0.0326361,True,0.0966311,0.0636008,0.0330302,True,0.0968329,0.0635994,0.0332336,True,0.0968833,0.0635976,0.0332856,True,0.0968806,0.0635959,0.0332847,True,0.0968784,0.0635944,0.033284,True,0.096876,0.0635928,0.0332831,True,0.0968736,0.0635912,0.0332823,True,3.77567e-25,2.90966e-25,3.40221e-25,1.17757e-25,1.20108e-25,2.53088e-25,3.3067e-25,3.99231e-25,1.06303,0.0826603,1.2,4.82206e-07
79,train,7,1,True,True,6.27243e-25,3.82008e-25,2.45235e-25,7.10392e-34,5.55818e-31,0.00509208,0.0652552,0.0621706,0.0964288,True,1.9993900000000003e-24,6.27243e-25,3.82008e-25,2.45235e-25,True,0.0444573,0.0621809,-0.0177236,False,0.0906523,0.0621801,0.0284721,True,0.0937693,0.0621794,0.0315899,True,0.0948691,0.0621786,0.0326905,True,0.0954312,0.0621778,0.0332533,True,0.0957722,0.062177,0.0335952,True,0.0961654,0.0621755,0.0339899,True,0.0963675,0.0621741,0.0341935,True,0.0964314,0.0621723,0.0342591,True,0.0964288,0.0621706,0.0342582,True,0.0964266,0.0621692,0.0342574,True,0.0964242,0.0621677,0.0342565,True,0.0964218,0.0621661,0.0342557,True,2.1563e-24,2.05534e-24,1.57743e-24,2.38026e-24,1.85299e-24,1.76115e-24,2.15631e-24,2.05534e-24,1.0674,0.0116393,1.2,4.82207e-07
80,train,8,1,True,True,6.24063e-25,3.79016e-25,2.45046e-25,9.76993e-34,5.53872e-31,-0.00119011,0.039437,0.0801971,0.063855,True,1.99571125e-24,6.24063e-25,3.79016e-25,2.45046e-25,True,0.0432169,0.0737254,-0.0305086,False,0.0608478,0.0802094,-0.0193616,False,0.0624167,0.0802084,-0.0177917,False,0.0630074,0.0802074,-0.0171999,False,0.0633175,0.0802063,-0.0168889,False,0.0635084,0.0802053,-0.0166969,False,0.0637313,0.0802033,-0.016472,False,0.0638471,0.0802015,-0.0163544,False,0.0638568,0.0801993,-0.0163425,False,0.063855,0.0801971,-0.0163421,False,0.0638536,0.0801953,-0.0163417,False,0.063852,0.0801933,-0.0163413,False,0.0638504,0.0801913,-0.0163409,False,2.15268e-24,2.05131e-24,1.57462e-24,2.37567e-24,1.84979e-24,1.75762e-24,2.15269e-24,2.05131e-24,0.338593,0.288579,4.82248e-07,1.2
81,train,9,1,True,True,3.92799e-25,5.02023e-25,-1.09225e-25,-7.63886e-33,2.79937e-31,0.000198894,0.0801066,0.0599051,0.0957631,False,4.4565575e-25,3.92799e-25,5.02023e-25,-1.09225e-25,False,0.0429103,0.059915,-0.0170047,False,0.0899583,0.0599143,0.030044,True,0.0931015,0.0599135,0.033188,True,0.0942076,0.0599128,0.0342948,True,0.0947723,0.059912,0.0348603,True,0.0951148,0.0599112,0.0352036,True,0.0955095,0.0599097,0.0355997,True,0.0957123,0.0599084,0.035804,True,0.0957657,0.0599067,0.035859,True,0.0957631,0.0599051,0.035858,True,0.0957609,0.0599037,0.0358572,True,0.0957585,0.0599022,0.0358563,True,0.0957561,0.0599007,0.0358554,True,5.05224e-25,5.66072e-25,5.214e-25,1.95251e-25,3.03168e-25,2.84589e-25,6.34632e-25,5.5491e-25,1.08189,0.00741122,1.2,4.82208e-07
82,train,10,1,True,True,6.19039e-25,3.69986e-25,2.49053e-25,5.70034e-33,4.92327e-31,0.00320046,0.0695326,0.0602319,0.0953213,True,1.98852625e-24,6.19039e-25,3.69986e-25,2.49053e-25,True,0.0434217,0.0602418,-0.0168202,False,0.0895157,0.0602411,0.0292747,True,0.0926594,0.0602403,0.032419,True,0.0937666,0.0602396,0.0335271,True,0.0943321,0.0602388,0.0340932,True,0.094675,0.0602381,0.034437,True,0.0950702,0.0602366,0.0348337,True,0.0952734,0.0602352,0.0350382,True,0.095324,0.0602335,0.0350904,True,0.0953213,0.0602319,0.0350895,True,0.0953192,0.0602305,0.0350887,True,0.0953168,0.060229,0.0350878,True,0.0953144,0.0602275,0.0350869,True,2.14564e-24,2.04343e-24,1.5691e-24,2.36675e-24,1.84354e-24,1.75067e-24,2.14565e-24,2.04343e-24,1.08623,0.00992566,1.2,4.82209e-07
83,train,11,1,True,True,6.1594e-25,3.72248e-25,2.43692e-25,2.3387e-32,4.83934e-31,0.00324649,0.0695443,0.0608462,0.0949064,True,1.9848762500000003e-24,6.1594e-25,3.72248e-25,2.43692e-25,True,0.0432801,0.0608563,-0.0175762,False,0.0890921,0.0608555,0.0282366,True,0.0922405,0.0608548,0.0313858,True,0.0933494,0.060854,0.0324953,True,0.0939155,0.0608532,0.0330623,True,0.0942589,0.0608525,0.0334064,True,0.0946545,0.0608509,0.0338036,True,0.0948579,0.0608496,0.0340084,True,0.0949091,0.0608479,0.0340612,True,0.0949064,0.0608462,0.0340602,True,0.0949043,0.0608448,0.0340595,True,0.0949019,0.0608433,0.0340586,True,0.0948995,0.0608418,0.0340578,True,2.14205e-24,2.03943e-24,1.5663e-24,2.36221e-24,1.84037e-24,1.74716e-24,2.14206e-24,2.03943e-24,1.09016,0.00992179,1.2,4.8221e-07
84,train,0,0,True,True,3.63972e-25,6.12885e-25,-2.48913e-25,2.24774e-33,5.47047e-31,0.0247397,0.0380362,0.0916228,0.0620259,False,1.98114125e-24,3.63972e-25,6.12885e-25,-2.48913e-25,False,0.0713394,0.0411235,0.0302159,True,0.0900073,0.0590116,0.0309957,True,0.0909005,0.0605855,0.030315,True,0.0912111,0.0611773,0.0300337,True,0.0913677,0.0614878,0.0298799,True,0.0914617,0.061679,0.0297827,True,0.0915686,0.061902,0.0296667,True,0.0916228,0.0620178,0.0296049,True,0.0916253,0.0620276,0.0295977,True,0.0916228,0.0620259,0.0295969,True,0.0916207,0.0620245,0.0295962,True,0.0916184,0.062023,0.0295954,True,0.0916161,0.0620214,0.0295947,True,2.13837e-24,2.03535e-24,1.56344e-24,2.35756e-24,1.83711e-24,1.74358e-24,2.13837e-24,2.03535e-24,0.332615,0.300476,4.82217e-07,1.2
85,train,1,0,True,True,5.88072e-25,3.793e-25,2.08772e-25,1.77437e-31,2.69586e-31,0.016006,0.0378732,0.0880334,0.0615243,True,1.70528225e-25,5.88072e-25,3.793e-25,2.08772e-25,True,0.0703882,0.0404466,0.0299416,True,0.0873167,0.0585078,0.0288089,True,0.0877986,0.0600832,0.0277154,True,0.0879289,0.0606754,0.0272534,True,0.087982,0.060986,0.026996,True,0.0880081,0.0611772,0.0268309,True,0.0880304,0.0614003,0.0266301,True,0.0880376,0.0615162,0.0265214,True,0.0880358,0.061526,0.0265098,True,0.0880334,0.0615243,0.0265091,True,0.0880314,0.0615229,0.0265085,True,0.0880292,0.0615214,0.0265078,True,0.088027,0.0615198,0.0265071,True,9.20143e-26,4.82301e-25,5.9224e-73,4.41322e-25,6.95908e-73,1.54196e-25,9.16385e-26,1.02754e-25,0.335476,0.301779,4.82225e-07,1.2
86,train,2,0,True,True,5.60724e-25,3.75429e-25,1.85295e-25,1.16379e-31,2.68492e-31,-0.000597443,0.0399605,0.069562,0.0610258,True,3.3003518705875003e-25,5.60724e-25,3.75429e-25,1.85295e-25,True,0.0680234,0.0401847,0.0278387,True,0.0695726,0.0580148,0.0115578,True,0.0695718,0.0595863,0.00998546,True,0.0695709,0.0601776,0.00939329,True,0.06957,0.0604878,0.00908218,True,0.0695692,0.0606789,0.00889026,True,0.0695674,0.0609018,0.00866559,True,0.0695658,0.0610176,0.00854819,True,0.0695639,0.0610275,0.00853646,True,0.069562,0.0610258,0.00853622,True,0.0695604,0.0610244,0.00853603,True,0.0695587,0.0610229,0.00853581,True,0.0695569,0.0610213,0.0085356,True,4.05507e-25,5.15238e-25,-7.50849e-86,1.10071e-24,-3.10353e-30,3.36574e-25,1.95662e-25,8.65936e-26,0.354319,0.284031,4.82294e-07,1.2
87,train,3,0,True,True,4.30721e-25,3.72063e-25,5.86575e-26,2.68651e-32,3.42544e-31,0.0287789,0.0375517,0.092551,0.06053,True,8.27621875e-25,4.30721e-25,3.72063e-25,5.86575e-26,True,0.0711429,0.040889,0.0302539,True,0.0909522,0.0575492,0.0334029,True,0.0919067,0.0590992,0.0328075,True,0.0922073,0.0596856,0.0325217,True,0.0923482,0.059994,0.0323542,True,0.092428,0.0601842,0.0322438,True,0.0925127,0.0604063,0.0321064,True,0.0925524,0.0605218,0.0320306,True,0.0925535,0.0605316,0.0320219,True,0.092551,0.06053,0.032021,True,0.0925489,0.0605286,0.0320203,True,0.0925465,0.0605271,0.0320194,True,0.0925442,0.0605256,0.0320186,True,1.31762e-24,6.77103e-25,7.63311e-25,8.83049e-25,5.10075e-25,7.85271e-25,7.72755e-25,9.11791e-25,0.330877,0.304285,4.82215e-07,1.2
