chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.916,1832,initial,,0.0024908749999998925
5,20,0.916,1832,post_chunk_eval,,0.0069793329999998655
10,40,0.9115,1823,post_chunk_eval,,0.009434833000000253
15,60,0.9145,1829,post_chunk_eval,,0.011880749999999995
20,80,0.9125,1825,post_chunk_eval,,0.01431300000000002
25,100,0.911,1822,post_chunk_eval,,0.016824875000000183
30,120,0.9095,1819,post_chunk_eval,,0.019315957999999966
35,140,0.911,1822,post_chunk_eval,,0.022530457999999864
40,160,0.91,1820,post_chunk_eval,,0.024863917000000235
45,180,0.9125,1825,post_chunk_eval,,0.027152749999999948
50,200,0.9125,1825,post_chunk_eval,,0.0295300420000002
53,212,0.91,1820,post_chunk_eval,/Users/ahle/kode/stochastic-local-computer/spice/results/fast_checkpoint_continuation_tiny_below_b5_i10_b4_s2_c1_10k2k_e120_lr003_fastcont_lr003_0to212/tiny_below_b5_i10_b4_s2_c1_10k2k_e120_lr003_fastcont_lr003_0to212_chunk0053_weights.npz,0.0325089580000002
