experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_negative,0.82,0.5,,,,0.299982,0.0,0.299982,0.82,,,,,,,0.0,0.599964,0.00404922,0.0
read_negative,0.94,0.5,,,,0.299982,0.0,0.299982,0.94,,,,,,,-2.220446049250313e-16,0.599964,0.00412665,-9.163003689138804e-19
read_negative,1.06,0.5,,,,0.299982,0.0,0.299982,1.06,,,,,,,2.220446049250313e-16,0.599964,0.00415115,9.217404617345437e-19
read_negative,1.15,0.5,,,,0.299982,0.0,0.299982,1.15,,,,,,,0.0,0.599964,0.00415163,0.0
read_positive,0.05,0.75,,,,0.0,7.81833e-102,7.81833e-102,0.05,,,,,,,-1.5612484400000001e-100,1.0424440000000001e-101,-0.00432693,6.7554127124892e-103
read_positive,0.1,0.75,,,,0.0,1.20878e-104,1.20878e-104,0.1,,,,,,,0.28434848484848485,1.6117066666666666e-104,-0.00294403,-0.0008371304698484848
read_positive,0.16,0.75,,,,0.0,0.037534,0.037534,0.16,,,,,,,0.7614059523809524,0.05004533333333333,-0.00144727,-0.001101959992702381
read_positive,0.24,0.75,,,,0.0,0.112936,0.112936,0.24,,,,,,,0.9439138888888887,0.15058133333333332,0.000265154,0.00025028254329444437
read_positive,0.34,0.75,,,,0.0,0.207501,0.207501,0.34,,,,,,,0.9471045454545453,0.27666799999999997,0.00194956,0.0018464371376363633
read_positive,0.46,0.75,,,,0.0,0.321363,0.321363,0.46,,,,,,,0.9503166666666668,0.42848400000000003,0.00328614,0.0031228736110000006
read_positive,0.58,0.75,,,,0.0,0.435577,0.435577,0.58,,,,,,,0.9530208333333337,0.5807693333333334,0.00380994,0.003630952193750001
read_positive,0.7,0.75,,,,0.0,0.550088,0.550088,0.7,,,,,,,0.9553291666666668,0.7334506666666667,0.00393976,0.0037637676376666668
read_positive,0.82,0.75,,,,0.0,0.664856,0.664856,0.82,,,,,,,0.631075,0.8864746666666666,0.00404922,0.0025553615115000003
read_positive,0.94,0.75,,,,0.0,0.701546,0.701546,0.94,,,,,,,0.15287499999999943,0.9353946666666667,0.00412665,0.0006308616187499977
read_positive,1.06,0.75,,,,0.0,0.701546,0.701546,1.06,,,,,,,6.3492063491210615e-06,0.9353946666666667,0.00415115,2.6356507936153897e-08
