chunk,samples_seen,heldout_accuracy,phase_wall_time_s,eval_wall_time_s,note,phase_fast_accuracy,phase_fast_correct,fast_reference_accuracy,fast_reference_correct,fast_reference_local_weights_max_abs_diff,fast_reference_local_weights_mean_abs_diff,fast_reference_local_weights_rms_diff,fast_reference_local_bias_max_abs_diff,fast_reference_local_bias_mean_abs_diff,fast_reference_local_bias_rms_diff,fast_reference_readout_max_abs_diff,fast_reference_readout_mean_abs_diff,fast_reference_readout_rms_diff,fast_reference_output_bias_max_abs_diff,fast_reference_output_bias_mean_abs_diff,fast_reference_output_bias_rms_diff,fast_reference_state_max_abs_diff,fast_reference_state_mean_abs_diff,fast_reference_state_rms_diff
1,4,,53.730357125,0.0,phase_chunk_no_eval,0.1,20,0.1,20,0.002257193150984327,0.00025324882937614716,0.0003738229834096938,0.0037396969176854977,0.0012685693106204306,0.0015659558136499714,0.002871220573363198,0.0006585208035487955,0.0008176002120152178,0.009329567152744273,0.006770620067837299,0.006843652517651285,0.009329567152744273,0.00037104727472312955,0.0007125285909144528
2,8,,52.886495499999995,0.0,phase_chunk_no_eval,0.115,23,0.115,23,0.006333670460026503,0.0005275516088554435,0.0008482996177062878,0.006523753488615565,0.0018468427366540277,0.0023505297722281417,0.012622292628714227,0.0020189232895399837,0.0034420137249332526,0.01985864067878995,0.00816547880645712,0.01000392766894765,0.01985864067878995,0.0008362746792619846,0.0017773946240507922
3,12,,51.303091084,0.0,phase_chunk_no_eval,0.12,24,0.115,23,0.006510205972567264,0.000608855201262081,0.0010087856318422577,0.005789857033857121,0.0019420198656616362,0.0023213537806354616,0.01323253831848259,0.0018278043604069115,0.0032480213754834753,0.018895506590254962,0.007808653551924424,0.00961303995371793,0.018895506590254962,0.00087036970058527,0.0017731593717901395
