cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.12822,0.135296,-0.00707552,False,0.0905694,0.0587727,0.194423,0.0493459,0.0992391,0.0478418,0.0691868,0.111589,0.0941569,,,,,
1,initial_eval,1,1,0.135317,0.127951,0.00736541,True,0.0711983125,0.0629245,0.129433,-3.32808e-26,0.1868,0.0107475,0.0814973,0.04358,0.0546042,,,,,
2,initial_eval,2,1,0.136376,0.12967,0.00670683,True,0.09677895,0.101403,0.069015,0.150537,0.0421659,0.0842061,0.0846076,0.121207,0.12109,,,,,
3,initial_eval,3,0,0.131887,0.138652,-0.00676487,False,0.091459475,0.177598,0.0626052,0.0967104,0.0976939,0.0551306,0.112826,0.07512,0.0539917,,,,,
4,train,0,0,0.128219,0.135294,-0.00707549,False,0.090568325,0.0587714,0.194422,0.0493446,0.0992371,0.0478408,0.0691852,0.11159,0.0941555,-0.0045483,0.00252719,0.0172449,5.53203e-07,3.68873e-07
5,train,1,1,0.135315,0.130474,0.00484105,True,0.07119706249999999,0.062923,0.129432,-2.02628e-26,0.186798,0.0107465,0.0814952,0.0435792,0.0546026,0.00733953,0.00249848,0.0176628,5.53202e-07,5.69397e-07
6,train,2,1,0.138904,0.132234,0.00667009,True,0.096777625,0.101402,0.0690128,0.150535,0.0421644,0.0842052,0.0846066,0.121206,0.121089,0.00937361,0.00270352,0.0172946,5.53201e-07,6.2917e-07
7,train,3,0,0.13451,0.144001,-0.00949085,False,0.091458425,0.177599,0.0626028,0.0967093,0.0976924,0.0551296,0.112825,0.0751191,0.0539902,-0.00667759,0.00281327,0.0168713,5.53201e-07,2.16034e-07
8,train,0,0,0.133449,0.140463,-0.00701378,False,0.0905672125,0.05877,0.194422,0.0493433,0.099235,0.0478397,0.0691837,0.11159,0.094154,-0.00410994,0.00290383,0.016494,5.532e-07,3.68306e-07
9,train,1,1,0.140481,0.136076,0.00440508,True,0.07119579999999999,0.0629215,0.12943,-2.02623e-26,0.186797,0.0107455,0.0814931,0.0435784,0.0546009,0.00726425,0.00285917,0.0169215,5.53199e-07,5.69388e-07
10,train,2,1,0.14451,0.13794,0.00656992,True,0.096776425,0.101401,0.0690107,0.150534,0.0421629,0.0842043,0.0846055,0.121205,0.121088,0.00968911,0.00311918,0.0165446,5.53197e-07,6.29165e-07
11,train,3,0,0.1404,0.150221,-0.00982053,False,0.0914572125,0.177599,0.0626004,0.0967081,0.0976909,0.0551286,0.112824,0.0751181,0.0539886,-0.00655643,0.0032641,0.0161132,5.53197e-07,2.15827e-07
12,train,0,0,0.142042,0.148756,-0.00671449,False,0.09056616249999999,0.0587686,0.194422,0.049342,0.0992328,0.0478387,0.0691819,0.111591,0.0941523,-0.00352652,0.00318797,0.0157295,5.53196e-07,3.67739e-07
13,train,1,1,0.146409,0.142582,0.00382739,True,0.071194675,0.0629201,0.129429,-2.02617e-26,0.186796,0.0107445,0.081491,0.0435776,0.0545992,0.00714272,0.00331533,0.0161643,5.53195e-07,5.69377e-07
14,train,2,1,0.150997,0.144573,0.00642386,True,0.0967751,0.1014,0.0690085,0.150532,0.0421614,0.0842034,0.0846045,0.121204,0.121087,0.0100802,0.00365638,0.015781,5.53194e-07,6.2916e-07
15,train,3,0,0.147087,0.157304,-0.0102174,False,0.09145617499999999,0.1776,0.0625981,0.096707,0.0976894,0.0551276,0.112823,0.0751172,0.0539871,-0.00636001,0.00385741,0.0153435,5.53193e-07,2.15619e-07
16,final_eval,0,0,0.149216,0.155753,-0.00653642,False,0.0905650375,0.0587672,0.194422,0.0493406,0.0992307,0.0478376,0.0691804,0.111591,0.0941508,,,,,
17,final_eval,1,1,0.153316,0.146259,0.00705704,True,0.0711934125,0.0629186,0.129427,-3.3277e-26,0.186795,0.0107435,0.0814888,0.0435768,0.0545976,,,,,
18,final_eval,2,1,0.154651,0.148328,0.00632305,True,0.0967739625,0.101399,0.0690069,0.150531,0.0421599,0.0842024,0.0846035,0.121203,0.121086,,,,,
19,final_eval,3,0,0.150699,0.157059,-0.00636013,False,0.091455075,0.1776,0.0625963,0.0967058,0.097688,0.0551266,0.112822,0.0751163,0.0539856,,,,,
