cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
11,train,3,0,0.133439,0.140704,-0.00726492,False,0.0914572125,0.177599,0.0626004,0.0967081,0.0976909,0.0551286,0.112824,0.0751181,0.0539886,-0.00673192,0.000533002,0.003434,5.53197e-07,2.11907e-07
12,train,0,0,0.130231,0.137278,-0.00704644,False,0.09056621249999999,0.0587686,0.194422,0.049342,0.0992329,0.0478386,0.0691821,0.111591,0.0941525,-0.00652328,0.000523158,0.00341908,5.53196e-07,3.46272e-07
13,train,1,1,0.137308,0.130474,0.00683399,True,0.071194675,0.0629201,0.129429,-2.02617e-26,0.186796,0.0107445,0.081491,0.0435776,0.0545992,0.00735155,0.000517564,0.00350311,5.53195e-07,5.69377e-07
14,train,2,1,0.138907,0.132237,0.00666979,True,0.0967751,0.1014,0.0690085,0.150532,0.0421614,0.0842034,0.0846045,0.121204,0.121087,0.00719584,0.00052605,0.00348837,5.53194e-07,6.2916e-07
15,train,3,0,0.134199,0.141457,-0.00725707,False,0.09145621250000001,0.1776,0.0625981,0.096707,0.0976895,0.0551276,0.112823,0.0751173,0.0539872,-0.00671246,0.000544617,0.00340412,5.53193e-07,2.0778e-07
16,train,0,0,0.133738,0.140587,-0.00684824,False,0.0905650375,0.0587672,0.194422,0.0493406,0.0992307,0.0478376,0.0691804,0.111591,0.0941508,-0.00649267,0.000355568,0.00338913,5.53193e-07,3.34971e-07
17,train,1,1,0.138344,0.131532,0.0068121,True,0.0711934125,0.0629186,0.129427,-2.02611e-26,0.186795,0.0107435,0.0814888,0.0435768,0.0545976,0.00734349,0.000531396,0.00347358,5.53192e-07,5.69369e-07
18,train,2,1,0.140797,0.134196,0.00660126,True,0.0967738625,0.101399,0.0690063,0.150531,0.0421598,0.0842024,0.0846034,0.121203,0.121086,0.00719319,0.000591933,0.00345876,5.5319e-07,6.29155e-07
19,train,3,0,0.13556,0.142817,-0.00725736,False,0.091455,0.1776,0.0625957,0.0967058,0.097688,0.0551266,0.112822,0.0751163,0.0539856,-0.00669419,0.00056317,0.00337411,5.5319e-07,2.03652e-07
20,train,0,0,0.134826,0.141656,-0.00682976,False,0.09056403750000001,0.0587658,0.194422,0.0493393,0.0992286,0.0478365,0.0691788,0.111592,0.0941493,-0.00646151,0.000368249,0.00335906,5.53189e-07,3.23671e-07
21,train,1,1,0.139408,0.13262,0.00678841,True,0.0711922875,0.0629171,0.129426,-2.02605e-26,0.186794,0.0107425,0.0814867,0.0435761,0.0545959,0.00733426,0.000545844,0.0034439,5.53188e-07,5.6936e-07
22,train,2,1,0.141909,0.135301,0.00660774,True,0.096772525,0.101398,0.0690041,0.150529,0.0421583,0.0842014,0.0846024,0.121202,0.121085,0.00718972,0.00058198,0.00342901,5.53186e-07,6.2915e-07
23,train,3,0,0.136691,0.143944,-0.007253,False,0.091453925,0.177601,0.0625933,0.0967046,0.0976865,0.0551256,0.112821,0.0751153,0.0539841,-0.00667356,0.000579433,0.00334398,5.53186e-07,1.99524e-07
24,final_eval,0,0,0.133416,0.140412,-0.00699569,False,0.090563125,0.0587645,0.194423,0.049338,0.0992267,0.0478354,0.0691774,0.111592,0.094148,,,,,
25,final_eval,1,1,0.140501,0.133174,0.00732724,True,0.07119091250000001,0.0629156,0.129424,-3.32751e-26,0.186792,0.0107415,0.0814846,0.0435753,0.0545943,,,,,
26,final_eval,2,1,0.141607,0.134982,0.00662429,True,0.09677145,0.101397,0.0690026,0.150528,0.0421569,0.0842006,0.0846015,0.121201,0.121084,,,,,
27,final_eval,3,0,0.137268,0.143942,-0.00667369,False,0.09145281250000001,0.177601,0.0625915,0.0967035,0.097685,0.0551246,0.11282,0.0751144,0.0539825,,,,,
