image_size,block_size,stride,blocks,shared_channels,private_channels,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,private_weight_values,private_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,31,0.881,881,8.683518374999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,32,0.874,874,8.92511275,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,33,0.884,884,9.215731708,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,34,0.88,880,9.533973582999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,35,0.876,876,9.885815167,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,36,0.885,885,10.203067167,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,37,0.882,882,10.521866666999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,38,0.884,884,10.893308916999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,39,0.881,881,11.225033208,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,40,0.88,880,11.540881667,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,41,0.886,886,11.903074874999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,42,0.885,885,12.187387708,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,43,0.888,888,12.499778332999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,44,0.886,886,12.82008425,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,45,0.891,891,13.180023583,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,46,0.894,894,13.679724874999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,47,0.883,883,14.154333874999999,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,48,0.882,882,14.452739333,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,49,0.885,885,14.764260375,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,50,0.887,887,15.092861332999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,51,0.894,894,15.462458958,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,52,0.889,889,15.780051999999998,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
7,5,2,4,3,1,4,16,2000,1000,0.02,0.1,0.0,0,53,0.889,889,16.107630125,partial_shared_kernel,75,3,100,4,160,10,352,352,52,756,400,560
