chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.912,912,initial,,0.0017806669999997915
5,20,0.911,911,post_chunk_eval,,0.004304625000000062
10,40,0.911,911,post_chunk_eval,,0.006356708999999849
15,60,0.909,909,post_chunk_eval,,0.008352041999999837
20,80,0.907,907,post_chunk_eval,,0.010274667000000015
25,100,0.907,907,post_chunk_eval,,0.012152041999999863
30,120,0.908,908,post_chunk_eval,,0.014216917000000162
35,140,0.906,906,post_chunk_eval,,0.016169958999999956
40,160,0.905,905,post_chunk_eval,,0.018070084000000097
45,180,0.907,907,post_chunk_eval,,0.01985249999999983
50,200,0.903,903,post_chunk_eval,,0.02163479199999996
53,212,0.901,901,post_chunk_eval,,0.02314808399999979
