bits,levels,vin,cint_f,tau_s,gsum_siemens,sigma_v,adc_vmin,adc_vmax,trials,vint_mean,vint_std,vint_analytic,mean_code_0_1,std_code_0_1,mean_code_bipolar,ecap_j_mean,source,simulator
3,8,-0.039999999999999994,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0040266,0.0,-0.003999999999999999,0.09523791666666666,0.16495691047367744,-0.8095241666666667,8.106769999999999e-20,spice,ngspice-46 : Circuit level simulation program
3,8,0.0,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0,0.0,0.0,0.6666670833333334,0.08247881608075688,0.3333341666666667,0.0,spice,ngspice-46 : Circuit level simulation program
3,8,0.04000000000000001,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0040266,0.0,0.004000000000000001,0.9047620833333333,0.1649569104736775,0.8095241666666666,8.106769999999999e-20,spice,ngspice-46 : Circuit level simulation program
3,8,0.08000000000000002,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00805321,0.0,0.008000000000000002,1.0,0.0,1.0,3.24271e-19,spice,ngspice-46 : Circuit level simulation program
3,8,0.12,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0120798,0.0,0.012,1.0,0.0,1.0,7.296090000000001e-19,spice,ngspice-46 : Circuit level simulation program
3,8,-0.12,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0036239400000000004,5.311484201212962e-19,-0.0036,0.23809541666666667,0.16495691047367747,-0.5238091666666667,6.56648e-20,spice,ngspice-46 : Circuit level simulation program
3,8,-0.07999999999999999,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00241596,0.0,-0.0023999999999999994,0.19047583333333332,0.16495691047367744,-0.6190483333333334,2.91844e-20,spice,ngspice-46 : Circuit level simulation program
3,8,-0.039999999999999994,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00120798,0.0,-0.0011999999999999997,0.3333333333333333,0.21821789023650384,-0.33333333333333337,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
3,8,0.0,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0,0.0,0.0,0.3809520833333333,0.08247881608075698,-0.2380958333333334,0.0,spice,ngspice-46 : Circuit level simulation program
3,8,0.04000000000000001,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00120798,0.0,0.0012000000000000003,0.57142875,0.0,0.14285750000000008,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
3,8,0.08000000000000002,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00241596,0.0,0.0024000000000000007,0.7142862499999999,0.0,0.4285724999999998,2.91844e-20,spice,ngspice-46 : Circuit level simulation program
3,8,0.12,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0036239400000000004,5.311484201212962e-19,0.0036,0.9523808333333333,0.08247881608075694,0.9047616666666667,6.56648e-20,spice,ngspice-46 : Circuit level simulation program
3,8,-0.12,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00120798,0.0,-0.0012000000000000001,0.38095208333333336,0.08247881608075698,-0.23809583333333328,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
3,8,-0.07999999999999999,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.000805321,0.0,-0.0007999999999999999,0.4761904166666666,0.21821843578071792,-0.04761916666666677,3.24271e-21,spice,ngspice-46 : Circuit level simulation program
3,8,-0.039999999999999994,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00040266,0.0,-0.00039999999999999996,0.42857166666666674,0.2474357265544344,-0.14285666666666652,8.106770000000001e-22,spice,ngspice-46 : Circuit level simulation program
3,8,0.0,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0,0.0,0.0,0.4761904166666666,0.21821843578071792,-0.04761916666666677,0.0,spice,ngspice-46 : Circuit level simulation program
3,8,0.04000000000000001,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00040266,0.0,0.00040000000000000013,0.5714287499999999,0.14285749999999994,0.14285749999999986,8.106770000000001e-22,spice,ngspice-46 : Circuit level simulation program
3,8,0.08000000000000002,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.000805321,0.0,0.0008000000000000003,0.6190479166666666,0.16495763216151388,0.23809583333333317,3.24271e-21,spice,ngspice-46 : Circuit level simulation program
3,8,0.12,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00120798,0.0,0.0012000000000000001,0.42857125000000007,0.14285750000000003,-0.14285749999999986,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
4,16,-0.12,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0120798,0.0,-0.012,0.0,0.0,-1.0,7.296090000000001e-19,spice,ngspice-46 : Circuit level simulation program
4,16,-0.07999999999999999,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00805321,0.0,-0.007999999999999998,0.0,0.0,-1.0,3.24271e-19,spice,ngspice-46 : Circuit level simulation program
4,16,-0.039999999999999994,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0040266,0.0,-0.003999999999999999,0.11111125,0.19245033029248743,-0.7777775,8.106769999999999e-20,spice,ngspice-46 : Circuit level simulation program
4,16,0.0,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0,0.0,0.0,0.5111112499999999,0.1677737122398798,0.022222499999999812,0.0,spice,ngspice-46 : Circuit level simulation program
4,16,0.04000000000000001,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0040266,0.0,0.004000000000000001,0.88888875,0.1018350609057976,0.7777775,8.106769999999999e-20,spice,ngspice-46 : Circuit level simulation program
4,16,0.08000000000000002,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00805321,0.0,0.008000000000000002,1.0,0.0,1.0,3.24271e-19,spice,ngspice-46 : Circuit level simulation program
4,16,0.12,3e-15,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0120798,0.0,0.012,1.0,0.0,1.0,7.296090000000001e-19,spice,ngspice-46 : Circuit level simulation program
4,16,-0.12,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.0036239400000000004,5.311484201212962e-19,-0.0036,0.15555541666666664,0.1387775664976902,-0.6888891666666668,6.56648e-20,spice,ngspice-46 : Circuit level simulation program
4,16,-0.07999999999999999,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00241596,0.0,-0.0023999999999999994,0.26666666666666666,0.06666687500097657,-0.4666666666666667,2.91844e-20,spice,ngspice-46 : Circuit level simulation program
4,16,-0.039999999999999994,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00120798,0.0,-0.0011999999999999997,0.3111108333333333,0.13877756649769024,-0.37777833333333344,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
4,16,0.0,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0,0.0,0.0,0.4888891666666666,0.1387775664976902,-0.022221666666666806,0.0,spice,ngspice-46 : Circuit level simulation program
4,16,0.04000000000000001,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00120798,0.0,0.0012000000000000003,0.4888891666666666,0.1387775664976902,-0.022221666666666806,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
4,16,0.08000000000000002,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00241596,0.0,0.0024000000000000007,0.6444445833333333,0.07698027645456228,0.28888916666666664,2.91844e-20,spice,ngspice-46 : Circuit level simulation program
4,16,0.12,1e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0036239400000000004,5.311484201212962e-19,0.0036,0.8888887499999999,0.1018350609057976,0.7777774999999998,6.56648e-20,spice,ngspice-46 : Circuit level simulation program
4,16,-0.12,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00120798,0.0,-0.0012000000000000001,0.44444458333333325,0.07698027645456225,-0.11111083333333349,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
4,16,-0.07999999999999999,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.000805321,0.0,-0.0007999999999999999,0.37777791666666666,0.07697955476672579,-0.24444416666666668,3.24271e-21,spice,ngspice-46 : Circuit level simulation program
4,16,-0.039999999999999994,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,-0.00040266,0.0,-0.00039999999999999996,0.5111112499999999,0.1677737122398798,0.022222499999999812,8.106770000000001e-22,spice,ngspice-46 : Circuit level simulation program
4,16,0.0,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.0,0.0,0.0,0.53333375,0.2,0.0666675000000001,0.0,spice,ngspice-46 : Circuit level simulation program
4,16,0.04000000000000001,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00040266,0.0,0.00040000000000000013,0.6222220833333333,0.03848977738336285,0.24444416666666657,8.106770000000001e-22,spice,ngspice-46 : Circuit level simulation program
4,16,0.08000000000000002,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.000805321,0.0,0.0008000000000000003,0.4666670833333333,0.11547005383792514,-0.06666583333333342,3.24271e-21,spice,ngspice-46 : Circuit level simulation program
4,16,0.12,3e-14,3e-09,1e-07,0.0015,-0.0045,0.0045,3,0.00120798,0.0,0.0012000000000000001,0.4444445833333333,0.10183492452043813,-0.11111083333333338,7.29609e-21,spice,ngspice-46 : Circuit level simulation program
