cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.127309,0.134425,-0.00711635,False,0.0905693875,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941568,,,,,
1,initial_eval,1,1,0.136439,0.129225,0.00721374,True,0.0711982875,0.0629244,0.129433,-3.32793e-26,0.1868,0.0107476,0.0814973,0.0435799,0.0546041,,,,,
2,initial_eval,2,1,0.137404,0.130859,0.00654515,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.042166,0.084206,0.0846074,0.121207,0.12109,,,,,
3,initial_eval,3,0,0.132192,0.138888,-0.00669651,False,0.091459375,0.177598,0.0626051,0.0967102,0.0976937,0.0551305,0.112826,0.0751199,0.0539916,,,,,
4,train,0,0,0.12874,0.13562,-0.00688029,False,0.090568275,0.0587713,0.194422,0.0493446,0.099237,0.0478408,0.0691851,0.11159,0.0941554,-0.0066214,0.000258893,0.00347854,5.53203e-07,3.68873e-07
5,train,2,1,0.137383,0.131335,0.00604837,True,0.0967777375,0.101402,0.0690131,0.150535,0.0421648,0.0842053,0.0846067,0.121206,0.121089,0.00670554,0.000657166,0.00356166,5.53202e-07,6.29171e-07
6,train,1,1,0.137217,0.130128,0.00708922,True,0.0711967,0.0629226,0.129431,-7.17202e-26,0.186798,0.0107462,0.0814947,0.043579,0.0546021,0.00785297,0.000763747,0.0035471,5.53201e-07,5.69395e-07
7,train,3,0,0.131424,0.138687,-0.00726275,False,0.0914583875,0.177599,0.0626028,0.0967091,0.0976923,0.0551296,0.112825,0.0751191,0.0539902,-0.00674495,0.000517807,0.00346373,5.53201e-07,2.16033e-07
8,train,0,0,0.129808,0.13679,-0.00698202,False,0.09056712499999998,0.0587699,0.194422,0.0493433,0.0992348,0.0478397,0.0691835,0.11159,0.0941538,-0.00634755,0.000634469,0.00344889,5.532e-07,3.63222e-07
9,train,2,1,0.138382,0.132361,0.00602081,True,0.0967765375,0.101401,0.069011,0.150534,0.0421633,0.0842044,0.0846056,0.121205,0.121088,0.00669147,0.000670668,0.00353247,5.53198e-07,6.29166e-07
