cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,sum_d_readout_out0_signed,sum_d_readout_out1_signed,d_output_bias_out0_signed,d_output_bias_out1_signed
51,train,3,0,True,True,0.0694418,0.0506146,0.0188271,0.246788,0.217512,0.24367,0.215565,0.0501531,0.0382502,True,0.5017733750000001,0.0694418,0.0506146,0.0188271,True,0.432994,0.769846,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00162385,0.00187172,3.34371e-08,1.2,1.2,0.00094384,1.64372e-10,0.000943839,1.64372e-10,0.00094384,-0.000943839,0.000943839,0.00094384,0.0184843,-0.000342816,0.00178584,5.85795e-07,0.00178584,1.39904e-06,-0.01283231,-0.010832260000000002,-5.76522e-07,-5.85795e-07
52,train,4,0,True,True,0.0686364,0.0501448,0.0184915,0.244401,0.21567,0.241276,0.213924,0.049529,0.0379707,True,0.6073780000000001,0.0686364,0.0501448,0.0184915,True,0.608103,0.769846,0.769846,0.645065,0.08,0.769846,0.446472,0.769846,0.00164237,0.00188857,3.34506e-08,1.2,1.2,0.000944097,1.57181e-13,0.000944097,1.57181e-13,0.000944097,-0.000944097,0.000944097,0.000944097,0.0182893,-0.000202223,0.00177599,5.85792e-07,0.00177599,1.39903e-06,-0.012753440000000001,-0.01075931,-5.7652e-07,-5.85792e-07
53,train,5,0,True,True,0.0702348,0.0453308,0.0249039,0.242025,0.203614,0.238891,0.202178,0.0505118,0.0350887,True,0.545476125,0.0702348,0.0453308,0.0249039,True,0.769846,0.769843,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00166124,0.00201866,3.34296e-08,1.2,1.2,0.00094384,1.50305e-16,0.00094384,1.50305e-16,0.00094384,-0.00094384,0.00094384,0.00094384,0.0236301,-0.00127381,0.00176464,5.8579e-07,0.00176464,1.39902e-06,-0.01266766,-0.01068909,-5.76518e-07,-5.8579e-07
54,train,6,0,True,True,0.0690766,0.0454574,0.0236192,0.239637,0.2032,0.236495,0.201704,0.0496748,0.0351315,True,0.5985944999999999,0.0690766,0.0454574,0.0236192,True,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00168065,0.00202429,3.34474e-08,1.2,1.2,0.000944093,1.4373e-19,0.000944093,1.4373e-19,0.000944093,-0.000944093,0.000944093,0.000944093,0.0221215,-0.00149772,0.00175201,5.85788e-07,0.00175201,1.39902e-06,-0.01258756,-0.01061986,-5.76516e-07,-5.85788e-07
55,train,7,0,True,True,0.0678592,0.0457333,0.0221259,0.23729,0.203142,0.234139,0.201615,0.0488058,0.0352688,True,0.472466125,0.0678592,0.0457333,0.0221259,True,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00170018,0.00202535,3.34675e-08,1.2,1.2,0.000944101,1.3752e-22,0.000944101,1.3752e-22,0.000944101,-0.000944101,0.000944101,0.000944101,0.0206025,-0.00152344,0.00174165,5.85785e-07,0.00174165,1.39901e-06,-0.012497229999999998,-0.01054593,-5.76513e-07,-5.85785e-07
56,train,8,1,True,True,0.0499998,0.0590572,-0.00905746,0.222014,0.207981,0.219937,0.20659,0.0430722,0.037666,False,0.24862142500000003,0.0499998,0.0590572,-0.00905746,False,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00182829,0.00196774,3.36673e-08,1.2,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435,0.0418212,0.0508786,0.0704255,5.85783e-07,0.0704255,1.39901e-06,-0.2939218,0.3916762999999999,-5.76511e-07,-5.85783e-07
57,train,9,1,True,True,0.0591388,0.0487843,0.0103546,0.204893,0.220915,0.199429,0.218674,0.0414998,0.0475186,True,0.21884825,0.0591388,0.0487843,0.0103546,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00205175,0.00184063,1.19999,3.3501e-08,1.2,0.000179755,0.000944102,-0.000764347,0.000944102,0.000179755,0.000764347,0.000764347,0.000944102,0.0107191,0.000364506,0.00200268,5.85781e-07,0.00200268,1.399e-06,-0.011368198999999999,-0.013494579999999999,-5.76509e-07,-5.85781e-07
58,train,10,1,True,True,0.0768897,0.0443657,0.032524,0.205059,0.255107,0.202819,0.252012,0.0345343,0.0555636,True,0.433850625,0.0768897,0.0443657,0.032524,True,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00201109,0.00156248,1.2,3.33472e-08,1.2,1.71892e-07,0.00094384,-0.000943668,0.00094384,1.71892e-07,0.000943668,0.000943668,0.00094384,0.0314725,-0.00105149,0.00189034,5.85778e-07,0.00189034,1.399e-06,-0.0104451,-0.01293268,-5.76506e-07,-5.85778e-07
59,train,11,1,True,True,0.0702198,0.0447016,0.0255182,0.201854,0.241169,0.200108,0.238038,0.0346854,0.050502,True,0.41236612500000003,0.0702198,0.0447016,0.0255182,True,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00204348,0.0016681,1.2,3.34298e-08,1.2,1.64372e-10,0.00094384,-0.000943839,0.00094384,1.64372e-10,0.000943839,0.000943839,0.00094384,0.0239997,-0.00151854,0.0018729,5.85776e-07,0.0018729,1.39899e-06,-0.010368700000000002,-0.012836090000000001,-5.76504e-07,-5.85776e-07
60,train,12,1,True,True,0.0600541,0.047837,0.0122171,0.203135,0.222023,0.201351,0.220038,0.0363006,0.0437276,True,0.2552052,0.0600541,0.047837,0.0122171,True,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.0020285,0.00182731,1.2,3.3636e-08,1.2,1.57181e-13,0.000944102,-0.000944102,0.000944102,1.57181e-13,0.000944102,0.000944102,0.000944102,0.0116411,-0.00057599,0.00185934,5.85774e-07,0.00185934,1.39898e-06,-0.010294129999999999,-0.01273696,-5.76502e-07,-5.85774e-07
61,train,13,1,True,True,0.0744744,0.0428496,0.0316249,0.199277,0.247805,0.197721,0.244685,0.0336597,0.0536283,True,0.339744875,0.0744744,0.0428496,0.0316249,True,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00207287,0.00161613,1.2,3.33746e-08,1.2,1.50305e-16,0.00094384,-0.00094384,0.00094384,1.50305e-16,0.00094384,0.00094384,0.00094384,0.0300615,-0.00156341,0.00185912,5.85771e-07,0.00185912,1.39898e-06,-0.01023012,-0.01267264,-5.76499e-07,-5.85771e-07
62,train,14,1,True,True,0.0731742,0.0431052,0.030069,0.19922,0.245393,0.197678,0.242264,0.0337898,0.0526519,True,0.31750670000000003,0.0731742,0.0431052,0.030069,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769846,0.26136,0.0020734,0.00163467,1.2,3.33902e-08,1.2,1.4373e-19,0.00094384,-0.00094384,0.00094384,1.4373e-19,0.00094384,0.00094384,0.00094384,0.0283358,-0.00173324,0.00184347,5.85769e-07,0.00184347,1.39897e-06,-0.010158239999999999,-0.012578919999999999,-5.76497e-07,-5.85769e-07
63,train,15,1,True,True,0.0718073,0.0434802,0.0283272,0.199438,0.242976,0.197883,0.239839,0.0339852,0.0516355,True,0.258585,0.0718073,0.0434802,0.0283272,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00207085,0.00165368,1.2,3.3408e-08,1.2,1.3752e-22,0.00094384,-0.00094384,0.00094384,1.3752e-22,0.00094384,0.00094384,0.00094384,0.0265353,-0.00179191,0.00183094,5.85767e-07,0.00183094,1.39897e-06,-0.01009101,-0.01249449,-5.76495e-07,-5.85767e-07
64,train,0,0,True,True,0.0457609,0.063976,-0.0182152,0.200517,0.228622,0.199118,0.225433,0.035234,0.0460562,False,0.41148750000000006,0.0457609,0.063976,-0.0182152,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00205557,0.00177647,1.2,3.35455e-08,1.2,1.04435,0.000401055,1.04395,0.000401055,1.04435,-1.04395,1.04395,1.04435,0.0402599,0.0584751,0.0767373,5.85764e-07,0.0767373,1.39896e-06,0.5360252,-0.33240250000000005,-5.76492e-07,-5.85764e-07
65,train,1,0,True,True,0.0821591,0.0419829,0.0401762,0.262567,0.201142,0.259502,0.199393,0.0593553,0.033259,True,0.406035125,0.0821591,0.0419829,0.0401762,True,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00151121,0.00205219,3.33039e-08,1.2,1.2,0.00094384,0.000179755,0.000764084,0.000179755,0.00094384,-0.000764084,0.000764084,0.00094384,0.038147,-0.00202928,0.00202121,5.85762e-07,0.00202121,1.39896e-06,-0.01406706,-0.01086412,-5.7649e-07,-5.85762e-07
66,train,2,0,True,True,0.0804749,0.0426021,0.0378729,0.260047,0.202033,0.256974,0.200409,0.058123,0.0336177,True,0.40224437500000004,0.0804749,0.0426021,0.0378729,True,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00152813,0.00203983,3.33167e-08,1.2,1.2,0.00094384,1.71892e-07,0.000943668,1.71892e-07,0.00094384,-0.000943668,0.000943668,0.00094384,0.0359747,-0.00189819,0.00191328,5.8576e-07,0.00191328,1.39895e-06,-0.01341344,-0.01019579,-5.76488e-07,-5.8576e-07
67,train,3,0,True,True,0.0772642,0.0455013,0.0317629,0.257509,0.208523,0.254427,0.207013,0.0558099,0.0353295,True,0.5017733750000001,0.0772642,0.0455013,0.0317629,True,0.432994,0.769846,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00154557,0.00196298,3.3344e-08,1.2,1.2,0.00094384,1.64372e-10,0.000943839,1.64372e-10,0.00094384,-0.000943839,0.000943839,0.00094384,0.0309531,-0.000809778,0.00189888,5.85757e-07,0.00189888,1.39895e-06,-0.013329710000000002,-0.01013819,-5.76485e-07,-5.85757e-07
