chunk,samples_seen,test_accuracy,test_correct,note,checkpoint,wall_time_s
0,0,0.913,913,initial,,0.0018501249999998137
5,20,0.913,913,post_chunk_eval,,0.003955958999999787
10,40,0.914,914,post_chunk_eval,,0.00614474999999981
15,60,0.913,913,post_chunk_eval,,0.009970249999999847
20,80,0.908,908,post_chunk_eval,,0.012087999999999877
25,100,0.909,909,post_chunk_eval,,0.01403041699999985
30,120,0.905,905,post_chunk_eval,,0.015922583999999684
35,140,0.902,902,post_chunk_eval,,0.01780808399999989
40,160,0.91,910,post_chunk_eval,,0.01985933399999995
45,180,0.907,907,post_chunk_eval,,0.021869499999999764
50,200,0.898,898,post_chunk_eval,,0.023722416999999663
53,212,0.901,901,post_chunk_eval,,0.025230874999999653
