cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.136888,0.143856,-0.0069673,False,0.073889175,0.048455,0.0339794,0.0957334,0.0986194,0.0264578,0.115028,0.0495894,0.123251,,,,,
1,initial_eval,1,1,0.146241,0.138678,0.00756383,True,0.06602413500000001,0.00976508,0.0922227,0.0414842,0.0620142,0.045209,0.0685538,0.15117,0.0577741,,,,,
2,initial_eval,2,1,0.13812,0.131355,0.00676466,True,0.0842920125,0.0824653,0.0362473,0.114253,0.115929,0.0423374,0.161943,0.0507381,0.070423,,,,,
3,initial_eval,3,0,0.143792,0.151158,-0.00736556,False,0.06642228250000001,0.0525103,0.113086,0.0707992,0.0559016,0.0591261,0.0783082,0.0931413,0.00850556,,,,,
4,train,0,0,0.136887,0.143855,-0.00696727,False,0.0738877375,0.0484537,0.033978,0.0957326,0.0986182,0.0264564,0.115026,0.049588,0.123249,0.0334974,0.0404646,0.15528,5.4028e-07,2.01255e-07
5,train,1,1,0.146156,0.178786,-0.03263,False,0.06602267625000001,0.00976391,0.0922202,0.0414828,0.0620123,0.0452083,0.0685517,0.15117,0.0577722,0.00628351,0.0389135,0.159616,5.40279e-07,2.66741e-07
6,train,2,1,0.175293,0.169771,0.00552215,True,0.0842909375,0.0824641,0.0362458,0.114252,0.115929,0.042336,0.161942,0.0507365,0.0704221,0.10832,0.102798,0.121553,5.40278e-07,6.65684e-07
7,train,3,0,0.185874,0.299313,-0.113439,False,0.06642090249999999,0.0525092,0.113084,0.0707982,0.0559001,0.059125,0.0783063,0.0931403,0.00850412,-0.00667457,0.106765,0.117394,5.40277e-07,3.01359e-37
8,final_eval,0,0,0.281668,0.287645,-0.00597725,False,0.07388655,0.0484524,0.0339766,0.0957318,0.098617,0.0264551,0.115025,0.0495865,0.123248,,,,,
9,final_eval,1,1,0.289194,0.282587,0.00660693,True,0.0660216175,0.00976274,0.0922181,0.0414818,0.0620107,0.0452079,0.0685501,0.151171,0.0577706,,,,,
10,final_eval,2,1,0.27864,0.273419,0.00522028,True,0.08428972500000001,0.082463,0.0362443,0.114251,0.115928,0.0423345,0.161941,0.0507349,0.0704211,,,,,
11,final_eval,3,0,0.29267,0.299345,-0.00667476,False,0.06641966375000001,0.0525082,0.113083,0.0707973,0.0558985,0.0591239,0.0783044,0.0931393,0.00850271,,,,,
