cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.32064e-114,-1.77072e-114,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,True,0.07119832499999999,0.0629245,0.129433,-3.32793e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,2.16854e-162,-2.90759e-162,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846075,0.121207,0.12109,0.341442,0.341417,9.56514e-183,7.5258e-199,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670613,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.57388e-230,1.23832e-246,,,,,,,
4,train,0,0,True,False,0.128787,0.135701,-0.00691319,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,-1.30783e-96,-9.1313e-97,3.68873e-07,,,,,,
5,train,1,1,False,False,0.135687,0.128409,0.00727766,True,0.071197075,0.062923,0.129432,-2.02108e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,-9.44114e-146,-6.59183e-146,5.69398e-07,,,,,,
6,train,2,1,False,False,0.137388,0.130803,0.00658475,True,0.09677767500000001,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846065,0.121206,0.121089,0.341484,0.341459,-6.80144e-195,-4.74879e-195,6.29169e-07,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670609,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,3.12411e-199,-1.09349e-198,2.16034e-07,-0.00665832,4.77719e-05,0.0798568,3.40893e-06,0.0798568,5.52558e-07
8,train,0,0,True,False,0.128693,0.135431,-0.00673771,False,0.09056709999999998,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691836,0.11159,0.094154,0.339388,0.339306,-4.60128e-114,7.8604e-115,1.72655e-07,,,,,,
9,train,1,1,False,False,0.135939,0.128452,0.00748699,True,0.0711959625,0.0629216,0.129431,-2.02103e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339598,0.339341,-1.08731e-158,9.91726e-159,6.72215e-07,,,,,,
10,train,2,1,False,False,0.137387,0.130805,0.00658153,True,0.0967765375,0.101401,0.0690117,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341471,0.341459,-3.61297e-181,6.17157e-172,6.29164e-07,,,,,,
11,train,3,0,False,True,0.131563,0.138222,-0.00665836,False,0.09145738750000001,0.177599,0.0626016,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.339965,0.339902,6.52499e-199,9.28781e-198,9.80347e-09,-0.00660584,5.25243e-05,0.0796972,3.4089e-06,0.0796972,5.52555e-07
12,train,0,0,True,False,0.12896,0.135439,-0.00647935,False,0.0905660125,0.0587687,0.19442,0.0493421,0.099233,0.0478387,0.0691821,0.111591,0.0941525,0.339321,0.33929,-1.03714e-105,2.41989e-105,7.13192e-07,,,,,,
13,train,1,1,False,False,0.136258,0.128509,0.0077496,True,0.0711947,0.0629201,0.129429,-2.02097e-26,0.186796,0.0107444,0.0814912,0.0435776,0.0545993,0.339537,0.339251,-7.48857e-155,1.74689e-154,1.04052e-06,,,,,,
14,train,2,1,False,False,0.137386,0.130808,0.00657787,True,0.0967752875,0.1014,0.0690101,0.150532,0.0421615,0.0842033,0.0846044,0.121204,0.121087,0.341455,0.341459,6.82362e-181,8.01273e-172,6.29159e-07,,,,,,
15,train,3,0,False,True,0.131624,0.13823,-0.00660589,False,0.0914564125,0.1776,0.0625998,0.0967069,0.0976895,0.0551277,0.112823,0.0751172,0.0539872,0.339937,0.339884,1.98046e-199,7.73548e-198,1.96284e-07,-0.00654821,5.76755e-05,0.0795341,3.40886e-06,0.0795341,5.52551e-07
16,final_eval,0,0,False,False,0.129334,0.13545,-0.00611649,False,0.0905648,0.0587673,0.194419,0.0493408,0.099231,0.0478377,0.0691806,0.111591,0.094151,0.339189,0.339227,-2.42027e-105,-8.97813e-106,,,,,,,
17,final_eval,1,1,False,False,0.136676,0.128588,0.00808805,True,0.07119358749999999,0.0629186,0.129428,-3.32755e-26,0.186795,0.0107434,0.0814891,0.0435769,0.0545977,0.339412,0.339091,-3.97418e-153,-1.47424e-153,,,,,,,
18,final_eval,2,1,False,False,0.137385,0.130812,0.00657367,True,0.09677416250000001,0.101399,0.0690085,0.150531,0.04216,0.0842024,0.0846034,0.121203,0.121086,0.341395,0.341416,-6.53925e-201,-2.42577e-201,,,,,,,
19,final_eval,3,0,False,False,0.131314,0.137883,-0.00656876,False,0.0914553625,0.1776,0.0625981,0.0967058,0.0976881,0.0551267,0.112822,0.0751164,0.0539858,0.339863,0.33982,-2.53019e-105,-1.82815e-105,,,,,,,
